,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469751,101001241168,01/02/2015 10:52:19 AM,,01/02/2015 10:53:20 AM,ONTIME,Closed,Case Closed Case Resolved  - Apartment ceiling leaking,Front Desk Interactions,Civil Rights,Call Inquiry,OCR Front Desk Interactions,HS_OCR_FrontDesk_Interactions,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
469839,101001241284,01/02/2015 12:36:50 PM,,01/02/2015 12:37:11 PM,ONTIME,Closed,Case Closed Case Resolved  -,Front Desk Interactions,Civil Rights,Call Inquiry,OCR Front Desk Interactions,HS_OCR_FrontDesk_Interactions,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
469841,101001241286,01/02/2015 12:37:23 PM,,01/02/2015 12:37:37 PM,ONTIME,Closed,Case Closed Case Resolved  -,Front Desk Interactions,Civil Rights,Call Inquiry,OCR Front Desk Interactions,HS_OCR_FrontDesk_Interactions,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
469857,101001241321,01/02/2015 01:12:16 PM,,01/02/2015 01:12:33 PM,ONTIME,Closed,Case Closed Case Resolved  -,Front Desk Interactions,Civil Rights,Call Inquiry,OCR Front Desk Interactions,HS_OCR_FrontDesk_Interactions,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
469864,101001241332,01/02/2015 01:19:02 PM,,01/02/2015 01:19:50 PM,ONTIME,Closed,Case Closed Case Resolved  - COnstituient requesting directions to office  wishes to speak to someone in person re Metrolist services.,Front Desk Interactions,Civil Rights,Call Inquiry,OCR Front Desk Interactions,HS_OCR_FrontDesk_Interactions,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
469888,101001241367,01/02/2015 01:53:47 PM,,01/02/2015 01:54:25 PM,ONTIME,Closed,Case Closed Case Resolved  - Constituent requested updated Metrolist.,Front Desk Interactions,Civil Rights,Call Inquiry,OCR Front Desk Interactions,HS_OCR_FrontDesk_Interactions,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
469892,101001241371,01/02/2015 01:54:32 PM,,01/02/2015 01:55:00 PM,ONTIME,Closed,Case Closed Case Resolved  - Constituent requested updated Metrolist.,Front Desk Interactions,Civil Rights,Call Inquiry,OCR Front Desk Interactions,HS_OCR_FrontDesk_Interactions,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
469953,101001241479,01/02/2015 03:39:33 PM,,01/02/2015 03:39:50 PM,ONTIME,Closed,Case Closed Case Resolved  -,Front Desk Interactions,Civil Rights,Call Inquiry,OCR Front Desk Interactions,HS_OCR_FrontDesk_Interactions,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
469954,101001241480,01/02/2015 03:40:23 PM,,01/02/2015 03:40:42 PM,ONTIME,Closed,Case Closed Case Resolved  -,Front Desk Interactions,Civil Rights,Call Inquiry,OCR Front Desk Interactions,HS_OCR_FrontDesk_Interactions,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
469967,101001241501,01/02/2015 04:13:43 PM,,01/02/2015 04:14:08 PM,ONTIME,Closed,Case Closed Case Resolved  -,Front Desk Interactions,Civil Rights,Call Inquiry,OCR Front Desk Interactions,HS_OCR_FrontDesk_Interactions,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
