,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
472974,101001245811,01/12/2015 09:35:56 AM,,04/23/2015 09:31:52 AM,ONTIME,Closed,Case Closed Case Resolved,OCR Metrolist Inquiries,Civil Rights,Metrolist,OCR Metrolist,HS_OCR_Metrolist,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
478460,101001254156,01/26/2015 11:21:04 AM,,01/26/2015 11:23:20 AM,ONTIME,Closed,Case Closed Case Resolved Sent requested information.,OCR Metrolist Inquiries,Civil Rights,Metrolist,OCR Metrolist,HS_OCR_Metrolist,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
478464,101001254165,01/26/2015 11:26:59 AM,,01/26/2015 11:58:17 AM,ONTIME,Closed,Case Closed Case Resolved Requested information sent.,OCR Metrolist Inquiries,Civil Rights,Metrolist,OCR Metrolist,HS_OCR_Metrolist,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
523318,101001317521,02/26/2015 11:07:08 AM,,,ONTIME,Open,,OCR Metrolist Inquiries,Civil Rights,Metrolist,OCR Metrolist,HS_OCR_Metrolist,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
523327,101001317537,02/26/2015 11:14:22 AM,,,ONTIME,Open,,OCR Metrolist Inquiries,Civil Rights,Metrolist,OCR Metrolist,HS_OCR_Metrolist,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
524555,101001319306,02/27/2015 02:26:36 PM,,,ONTIME,Open,,OCR Metrolist Inquiries,Civil Rights,Metrolist,OCR Metrolist,HS_OCR_Metrolist,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
541115,101001343486,03/27/2015 12:00:35 PM,,03/27/2015 12:25:47 PM,ONTIME,Closed,Case Closed Case Resolved JFc sent requested info.,OCR Metrolist Inquiries,Civil Rights,Metrolist,OCR Metrolist,HS_OCR_Metrolist,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
545072,101001348983,04/03/2015 03:54:51 PM,,04/23/2015 09:30:58 AM,ONTIME,Closed,Case Closed Case Resolved,OCR Metrolist Inquiries,Civil Rights,Metrolist,OCR Metrolist,HS_OCR_Metrolist,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
548540,101001353628,04/10/2015 01:01:21 PM,,04/10/2015 01:29:46 PM,ONTIME,Closed,Case Closed Case Resolved JFC sent info and requested household to complete intake form,OCR Metrolist Inquiries,Civil Rights,Metrolist,OCR Metrolist,HS_OCR_Metrolist,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
605013,101001504402,08/05/2015 04:18:15 PM,,,ONTIME,Open,,OCR Metrolist Inquiries,Civil Rights,Metrolist,OCR Metrolist,HS_OCR_Metrolist,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
654311,101001623666,10/29/2015 04:16:40 PM,,,ONTIME,Open,,OCR Metrolist Inquiries,Civil Rights,Metrolist,OCR Metrolist,HS_OCR_Metrolist,HS_O,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
