,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470563,101001242349,01/05/2015 11:27:02 AM,05/05/2015 11:27:02 AM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,21 Mackin St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2205.0,R3,21 Mackin St,2135.0,Address,267102.0,42.3609,-71.1447,Self Service,"(42.3609, -71.1447)"
471197,101001243265,01/06/2015 03:52:49 PM,05/06/2015 03:52:49 PM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,47 Prince St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1909.0,R2,47 Prince St,2130.0,Address,113093.0,42.3108,-71.1209,Constituent Call,"(42.3108, -71.1209)"
471201,101001243269,01/06/2015 03:55:59 PM,05/06/2015 03:55:59 PM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,53 Prince St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1909.0,R2,53 Prince St,2130.0,Address,113101.0,42.311,-71.121,Constituent Call,"(42.311, -71.121)"
500469,101001285013,02/10/2015 10:36:44 AM,06/10/2015 10:36:44 AM,03/05/2015 01:51:22 PM,ONTIME,Closed,Case Closed :,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,26 Hildreth St  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1405.0,R3,26 Hildreth St,2124.0,Address,251967.0,42.2828,-71.0869,Constituent Call,"(42.2828, -71.0869)"
502520,101001287905,02/11/2015 10:04:13 AM,06/11/2015 10:04:13 AM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,117 Harrishof St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1202.0,R3,117 Harrishof St,2121.0,Address,247489.0,42.3171,-71.089,Constituent Call,"(42.3171, -71.089)"
509005,101001297083,02/16/2015 07:23:47 AM,06/16/2015 07:23:47 AM,03/12/2015 03:43:53 PM,ONTIME,Closed,Case Closed :,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,678 Bennington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,111.0,R2,678 Bennington St,2128.0,Address,14872.0,42.3845,-71.0141,Constituent Call,"(42.3845, -71.0141)"
519798,101001312420,02/23/2015 01:35:03 PM,06/23/2015 01:35:02 PM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,10 Bowdoin St  Boston  MA  02119,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,306.0,CD,10 Bowdoin St,2119.0,Address,17493.0,42.3605,-71.0625,Self Service,"(42.3605, -71.0625)"
552899,101001359855,04/19/2015 06:09:19 PM,08/17/2015 06:09:18 PM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,156 Calumet St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1005.0,R2,156 Calumet St,2120.0,Address,200588.0,42.3298,-71.1023,Constituent Call,"(42.3298, -71.1023)"
554960,101001362638,04/23/2015 03:10:50 PM,08/21/2015 03:10:50 PM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,44 Arbutus St  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1412.0,R3,44 Arbutus St,2124.0,Address,4500.0,42.2875,-71.0876,Constituent Call,"(42.2875, -71.0876)"
558964,101001368321,05/01/2015 03:19:05 PM,08/29/2015 03:19:05 PM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,45 Hooker St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2201.0,R3,45 Hooker St,2134.0,Address,253253.0,42.3583,-71.1282,Self Service,"(42.3583, -71.1282)"
561020,101001371387,05/06/2015 11:02:00 AM,09/03/2015 11:02:45 AM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,12 Jewett St  Roslindale  MA  02131,12.0,02,5.0,E18,Roslindale,10.0,Ward 18,1807.0,R2,12 Jewett St,2131.0,Address,259453.0,42.286,-71.1171,Self Service,"(42.286, -71.1171)"
561241,101001371745,05/06/2015 03:09:28 PM,09/03/2015 03:09:28 PM,05/06/2015 03:21:35 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-06 15:21:35.973 Case Invalid Case opened in error,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,61 Stratton St  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1410.0,R3,61 Stratton St,2124.0,Address,131617.0,42.2891,-71.0868,Constituent Call,"(42.2891, -71.0868)"
565584,101001378198,05/15/2015 10:09:08 AM,09/12/2015 10:09:08 AM,05/15/2015 10:22:39 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-15 10:22:39.733 Case Invalid Eform would not load,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,16 Astoria St  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1405.0,R3,16 Astoria St,2126.0,Address,5626.0,42.2803,-71.0865,Constituent Call,"(42.2803, -71.0865)"
565591,101001378211,05/15/2015 10:19:37 AM,09/12/2015 10:19:37 AM,05/15/2015 10:22:28 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-15 10:22:28.687 Case Invalid Eform would not load,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,16 Astoria St  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1405.0,R3,16 Astoria St,2126.0,Address,5626.0,42.2803,-71.0865,Constituent Call,"(42.2803, -71.0865)"
568947,101001383217,05/22/2015 11:31:00 AM,09/19/2015 11:31:21 AM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,32 Ashcroft St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,R2,32 Ashcroft St,2130.0,Address,179677.0,42.3202,-71.1137,Self Service,"(42.3202, -71.1137)"
569908,101001394656,05/26/2015 10:14:00 AM,09/23/2015 10:14:59 AM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,186 Heath St  Jamaica Plain  MA  02130,9.0,10A,6.0,E13,Jamaica Plain,11.0,Ward 10,1006.0,RC,186 Heath St,2130.0,Address,156205.0,42.326,-71.1051,Constituent Call,"(42.326, -71.1051)"
570716,101001395790,05/27/2015 11:08:48 AM,09/24/2015 11:08:48 AM,05/27/2015 11:11:58 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-27 11:11:58.077 Case Invalid LAGAN ERROR,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,29 Gibson St  Dorchester  MA  02122,7.0,07,3.0,C11,Dorchester,7.0,Ward 16,1601.0,CD,29 Gibson St,2122.0,Address,63614.0,42.2974,-71.0596,Constituent Call,"(42.2974, -71.0596)"
580064,101001409594,06/15/2015 09:26:00 AM,10/13/2015 09:26:44 AM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,99 Neponset Ave  Roslindale  MA  02131,12.0,02,5.0,E18,Roslindale,10.0,Ward 18,1807.0,R2,99 Neponset Ave,2131.0,Address,340342.0,42.2863,-71.1138,Constituent Call,"(42.2863, -71.1138)"
587228,101001420178,06/30/2015 09:17:00 AM,10/28/2015 09:17:37 AM,08/17/2015 10:46:03 AM,ONTIME,Closed,Case Closed. Closed date : 2015-08-17 10:46:03.35 :,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,4 Saxton St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1309.0,R3,4 Saxton St,2125.0,Address,306960.0,42.3125,-71.055,Constituent Call,"(42.3125, -71.055)"
590254,101001424418,07/07/2015 10:54:00 AM,11/04/2015 10:54:01 AM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,154 Calumet St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1005.0,R3,154 Calumet St,2120.0,Address,24943.0,42.3299,-71.1024,Constituent Call,"(42.3299, -71.1024)"
593655,101001429082,07/14/2015 11:52:00 AM,11/11/2015 11:52:49 AM,08/17/2015 12:57:43 PM,ONTIME,Closed,Case Closed. Closed date : 2015-08-17 12:57:43.103 NOVIO: No Violation Found/No Cause,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,44 Greycliff Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2208.0,R1,44 Greycliff Rd,2135.0,Address,67196.0,42.342,-71.1604,Constituent Call,"(42.342, -71.1604)"
595009,101001430837,07/16/2015 10:58:00 AM,11/13/2015 10:58:52 AM,08/21/2015 11:03:22 AM,ONTIME,Closed,Case Closed. Closed date : 2015-08-21 11:03:22.397 VIOISS: Violation Filed,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,11 Ticknor St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,701.0,R3,11 Ticknor St,2127.0,Address,135955.0,42.3301,-71.0358,Constituent Call,"(42.3301, -71.0358)"
597653,101001434346,07/21/2015 03:27:31 PM,11/18/2015 03:27:31 PM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,599-601 E Fifth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,606.0,R3,599-601 E Fifth St,2127.0,Address,57910.0,42.3338,-71.0364,Constituent Call,"(42.3338, -71.0364)"
597654,101001434348,07/21/2015 03:27:56 PM,11/18/2015 03:27:57 PM,,OVERDUE,Open,,Overcrowding,Inspectional Services,Housing,Overcrowding,ISD_Housing (INTERNAL),ISD,,,599-601 E Fifth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,606.0,R3,599-601 E Fifth St,2127.0,Address,57910.0,42.3338,-71.0364,Constituent Call,"(42.3338, -71.0364)"
