,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469786,101001241218,01/02/2015 11:26:47 AM,01/06/2015 11:26:47 AM,01/14/2015 08:30:27 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,34 Church St  Boston  MA  02116,4.0,1C,2.0,A1,Back Bay,6.0,Ward 5,501.0,R1,34 Church St,2116.0,Address,32640.0,42.3492,-71.0684,Constituent Call,"(42.3492, -71.0684)"
470322,101001241991,01/04/2015 08:00:09 PM,01/07/2015 08:30:00 AM,01/14/2015 11:29:05 AM,OVERDUE,Closed,Case Closed VIOCOR: Violation Corrected,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,1400 Columbia Rd  South Boston  MA  02127,6.0,05,2.0,C6,South Boston,5.0,07,703.0,,1400 Columbia Rd,2127.0,Address,163546.0,42.3307,-71.0439,Self Service,"(42.3307, -71.0439)"
471335,101001243437,01/07/2015 08:06:05 AM,01/09/2015 08:30:00 AM,01/10/2015 02:18:46 PM,OVERDUE,Closed,Case Closed Case Resolved,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,PWDx_Empty Litter Basket,PWDx,,,505 Tremont St  Boston  MA  02116,4.0,1C,2.0,D4,Boston,6.0,05,501.0,CM,505 Tremont St,2116.0,Address,137486.0,42.345,-71.0704,Self Service,"(42.345, -71.0704)"
472230,101001244729,01/09/2015 09:46:51 AM,01/13/2015 09:46:51 AM,01/14/2015 08:32:44 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,1430 VFW Pkwy  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2016.0,CL,1430 VFW Pkwy,2132.0,Address,140289.0,42.271,-71.1719,Constituent Call,"(42.271, -71.1719)"
472886,101001245702,01/12/2015 08:42:36 AM,01/14/2015 08:42:36 AM,,OVERDUE,Open,,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,64 Lawrence Ave  Dorchester  MA  02121,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1401.0,R3,64 Lawrence Ave,2121.0,Address,84547.0,42.3118,-71.0762,Constituent Call,"(42.3118, -71.0762)"
472899,101001245717,01/12/2015 08:50:41 AM,01/14/2015 08:50:41 AM,09/16/2015 02:15:11 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-09-16 14:15:11.983 NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,248 Bowdoin St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1503.0,RC,248 Bowdoin St,2125.0,Address,158045.0,42.3064,-71.0671,Constituent Call,"(42.3064, -71.0671)"
472906,101001245725,01/12/2015 08:55:48 AM,01/14/2015 08:55:48 AM,02/04/2015 08:59:27 AM,OVERDUE,Closed,Case Closed CORR: Corrected,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,70 Hamilton St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1503.0,R3,70 Hamilton St,2125.0,Address,68483.0,42.3084,-71.0696,Constituent Call,"(42.3084, -71.0696)"
472915,101001245735,01/12/2015 09:00:32 AM,01/14/2015 09:00:32 AM,,OVERDUE,Open,,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,75 Sydney St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1310.0,E,75 Sydney St,2125.0,Address,133332.0,42.3141,-71.0525,Constituent Call,"(42.3141, -71.0525)"
474190,101001247647,01/15/2015 08:37:07 AM,01/20/2015 08:37:07 AM,04/24/2015 01:48:54 PM,OVERDUE,Closed,Case Closed VIOCOR: Violation Corrected,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,44 Sunnyside St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1819.0,R1,44 Sunnyside St,2136.0,Address,132638.0,42.2509,-71.1332,Constituent Call,"(42.2509, -71.1332)"
476258,101001250480,01/20/2015 02:08:45 PM,01/22/2015 02:08:43 PM,01/23/2015 09:13:16 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,INTERSECTION of Navarre St & Navarre Pl  Hyde Park  MA,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,,INTERSECTION Navarre St & Navarre Pl,,Intersection,7493.0,42.2755,-71.1172,Constituent Call,"(42.2755, -71.1172)"
476858,101001251419,01/21/2015 04:14:00 PM,01/23/2015 04:14:00 PM,01/22/2015 11:44:17 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,86 Crawford St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1209.0,A,86 Crawford St,2121.0,Address,44130.0,42.3129,-71.089,Constituent Call,"(42.3129, -71.089)"
477310,101001252127,01/22/2015 04:33:31 PM,01/26/2015 04:33:30 PM,04/01/2015 07:45:21 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,1509 Blue Hill Ave  Mattapan  MA  02126,8.0,07,5.0,B3,Greater Mattapan,9.0,Ward 18,1821.0,C,1509 Blue Hill Ave,2126.0,Address,156519.0,42.2724,-71.0939,Constituent Call,"(42.2724, -71.0939)"
485245,101001262877,01/29/2015 06:01:29 PM,02/03/2015 08:30:00 AM,01/30/2015 09:15:20 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,1254 Commonwealth Ave  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2105.0,CD,1254 Commonwealth Ave,2134.0,Address,37144.0,42.3494,-71.132,Self Service,"(42.3494, -71.132)"
485652,101001263510,01/30/2015 06:00:47 AM,02/03/2015 08:30:00 AM,01/31/2015 02:26:51 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,713 Dudley St  Dorchester  MA  02125,7.0,03,7.0,B2,Dorchester,13.0,Ward 13,1305.0,A,713 Dudley St,2125.0,Address,49831.0,42.318,-71.0679,Self Service,"(42.318, -71.0679)"
486266,101001264604,01/30/2015 12:43:59 PM,02/03/2015 12:43:59 PM,02/05/2015 03:16:25 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,116 Homestead St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1209.0,A,116 Homestead St,2121.0,Address,75081.0,42.3116,-71.0893,Constituent Call,"(42.3116, -71.0893)"
487125,101001265922,01/31/2015 01:14:29 PM,02/04/2015 08:30:00 AM,02/09/2015 10:20:48 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,1254 Commonwealth Ave  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2105.0,CD,1254 Commonwealth Ave,2134.0,Address,37144.0,42.3494,-71.132,Self Service,"(42.3494, -71.132)"
489314,101001268823,02/02/2015 11:08:08 PM,02/05/2015 08:30:00 AM,02/05/2015 05:13:55 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,505 Tremont St  Boston  MA  02116,4.0,1C,2.0,D4,Boston,6.0,05,501.0,CM,505 Tremont St,2116.0,Address,137486.0,42.345,-71.0704,Self Service,"(42.345, -71.0704)"
496013,101001278669,02/05/2015 04:51:24 PM,02/09/2015 04:51:24 PM,,OVERDUE,Open,,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,31 South St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2209.0,A,31 South St,2135.0,Address,128439.0,42.3401,-71.157,Self Service,"(42.3401, -71.157)"
497511,101001281002,02/06/2015 06:49:21 PM,02/11/2015 08:30:00 AM,02/12/2015 07:36:29 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,505 Tremont St  Boston  MA  02116,4.0,1C,2.0,D4,Boston,6.0,05,501.0,CM,505 Tremont St,2116.0,Address,137486.0,42.345,-71.0704,Self Service,"(42.345, -71.0704)"
497561,101001281107,02/06/2015 08:35:51 PM,02/11/2015 08:30:00 AM,02/12/2015 07:36:28 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,INTERSECTION of Clarendon St & Tremont St  Boston  MA,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,,INTERSECTION Clarendon St & Tremont St,,Intersection,3080.0,42.3439,-71.0718,Self Service,"(42.3439, -71.0718)"
497711,101001281349,02/07/2015 09:15:00 AM,02/11/2015 08:30:00 AM,02/13/2015 07:34:34 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,875 Huntington Ave  Boston  MA  02115,4.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1004.0,EA,875 Huntington Ave,2115.0,Address,76464.0,42.3328,-71.1112,Self Service,"(42.3328, -71.1112)"
498140,101001282065,02/07/2015 08:41:04 PM,02/11/2015 08:30:00 AM,02/12/2015 07:36:30 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Overflowing or Un-kept Dumpster,Inspectional Services,Environmental Services,Overflowing or Un-kept Dumpster,ISD_Environmental Services (INTERNAL),ISD,,,505 Tremont St  Boston  MA  02116,4.0,1C,2.0,D4,Boston,6.0,05,501.0,CM,505 Tremont St,2116.0,Address,137486.0,42.345,-71.0704,Self Service,"(42.345, -71.0704)"
