,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471510,101001243704,01/07/2015 01:27:49 PM,,,ONTIME,Open,,Misc.:Boston Common: granite stone reset,Parks & Recreation Department,Park Maintenance & Safety,Park Improvement Requests,PARK_Park Improvement Requests,PARK,,,139 Tremont St  Boston  MA  02108,3.0,1C,8.0,A1,Beacon Hill,14.0,05,503.0,E,139 Tremont St,2108.0,Address,341542.0,42.3554,-71.0638,Employee Generated,"(42.3554, -71.0638)"
472323,101001244849,01/09/2015 11:20:45 AM,,01/09/2015 11:21:35 AM,ONTIME,Closed,Case Closed Case Invalid,Park Improvement Requests,Parks & Recreation Department,Park Maintenance & Safety,Park Improvement Requests,PARK_Park Improvement Requests,PARK,,,2207 Dorchester Ave  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 17,1713.0,R3,2207 Dorchester Ave,2124.0,Address,48551.0,42.2752,-71.0675,Employee Generated,"(42.2752, -71.0675)"
473457,101001246570,01/13/2015 11:16:15 AM,,02/26/2015 09:07:35 AM,ONTIME,Closed,Case Closed Case Noted Thank you for your suggestion  unfortunately we are unable to include that in the plans for that location at this time.,Misc.: Public Garden: Park Improvement: Public Garden,Parks & Recreation Department,Park Maintenance & Safety,Park Improvement Requests,PARK_Park Improvement Requests,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
487925,101001267193,02/02/2015 11:07:56 AM,,04/23/2015 09:46:05 AM,ONTIME,Closed,Case Closed Case Noted,Misc.:Back Bay Fens:Park Improvement:,Parks & Recreation Department,Park Maintenance & Safety,Park Improvement Requests,PARK_Park Improvement Requests,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
500582,101001285164,02/10/2015 11:18:10 AM,,05/04/2015 10:02:58 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-04 10:02:58.08 Case Resolved hoop has been righted    court to be fixed in time for bnbl,Park Improvement: Franklin Park,Parks & Recreation Department,Park Maintenance & Safety,Park Improvement Requests,PARK_Park Improvement Requests,PARK,,,450 Walnut Ave  Jamaica Plain  MA  02130,9.0,02,7.0,B2,Greater Mattapan,13.0,12,1207.0,,450 Walnut Ave,2130.0,Address,342004.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
529070,101001326165,03/06/2015 02:02:24 PM,,03/09/2015 07:58:08 AM,ONTIME,Closed,Case Closed Case Noted No e-form.,Park Improvement Requests,Parks & Recreation Department,Park Maintenance & Safety,Park Improvement Requests,PARK_Park Improvement Requests,PARK,,,38 Beacon St  Boston  MA  02108,3.0,1C,8.0,A1,Beacon Hill,14.0,05,503.0,E,38 Beacon St,2108.0,Address,341748.0,42.3559,-71.0657,Constituent Call,"(42.3559, -71.0657)"
540138,101001342023,03/25/2015 03:48:27 PM,,01/05/2016 03:53:48 PM,ONTIME,Closed,Case Closed. Closed date : 2016-01-05 15:53:48.197 Case Resolved,Park Improvement: East Boston Memorial Stadium,Parks & Recreation Department,Park Maintenance & Safety,Park Improvement Requests,PARK_Park Improvement Requests,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
540520,101001342582,03/26/2015 11:26:19 AM,,03/26/2015 11:28:59 AM,ONTIME,Closed,Case Closed Case Invalid Opened in error,Park Improvement Requests,Parks & Recreation Department,Park Maintenance & Safety,Park Improvement Requests,PARK_Park Improvement Requests,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
540991,101001343324,03/27/2015 10:11:29 AM,,05/06/2015 12:51:19 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-06 12:51:19.83 Case Resolved court will be resurfaced for bnbl,Park Improvement: Franklin Park,Parks & Recreation Department,Park Maintenance & Safety,Park Improvement Requests,PARK_Park Improvement Requests,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
541778,101001344393,03/29/2015 04:49:01 PM,,05/06/2015 12:50:25 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-06 12:50:25.977 Case Resolved no info,Park Improvements:,Parks & Recreation Department,Park Maintenance & Safety,Park Improvement Requests,PARK_Park Improvement Requests,PARK,,,INTERSECTION of American Legion Hwy & Parkway St  Dorchester  MA,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1409.0,,INTERSECTION American Legion Hwy & Parkway St,,Intersection,398.0,42.2967,-71.0916,City Worker App,"(42.2967, -71.0916)"
