,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469709,101001241104,01/02/2015 09:55:52 AM,,01/07/2015 09:29:30 AM,ONTIME,Closed,"Case Closed Case Noted Dog rules signs apply to park.  ""No dogs allowed"" signs apply to the fenced in ball field area.  If you have any questions  please contact the Parkline at 617-635-7275. Thank you.",Parks General Request,Parks & Recreation Department,Administrative & General Requests,Parks General Request,PARK_Maintenance_Trades,PARK,,,239 Parker Hill Ave  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,10,1005.0,,239 Parker Hill Ave,2120.0,Address,342517.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
470955,101001242908,01/06/2015 09:44:25 AM,,01/06/2015 01:18:42 PM,ONTIME,Closed,Case Closed Case Resolved case resolved by verizon 1-6-15,Parks General Request,Parks & Recreation Department,Administrative & General Requests,Parks General Request,PARK_Administration,PARK,,,115 Boylston St  Boston  MA  02108,3.0,1C,8.0,A1,Beacon Hill,14.0,05,503.0,,115 Boylston St,2108.0,Address,342696.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
474075,101001247477,01/14/2015 04:25:57 PM,,01/15/2015 09:40:46 AM,ONTIME,Closed,Case Closed Case Noted The tree i front of 51 Charlotte St. will be removed in the Spring.  If you have any questions  please contact the Parkline at 617-635-7275. Thank you.,Parks General Request,Parks & Recreation Department,Administrative & General Requests,Parks General Request,PARK_Administration,PARK,,,52 Charlotte St  Dorchester  MA  02121,7.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1407.0,R3,52 Charlotte St,2121.0,Address,29893.0,42.299,-71.084,Constituent Call,"(42.299, -71.084)"
475916,101001249939,01/20/2015 07:34:14 AM,,01/22/2015 07:37:22 AM,ONTIME,Closed,Case Closed Case Resolved document the incidents if we get luckie and catch the person  we can go fouther with it.,Ground Maintenance: Franklin Park  William J. Devine Golf Course,Parks & Recreation Department,Administrative & General Requests,Parks General Request,PARK_Maintenance_Region 3,PARK,,,1 Jewish War Veterans Dr  Jamaica Plain  MA  02130,9.0,02,7.0,B2,Greater Mattapan,13.0,12,1207.0,E,1 Jewish War Veterans Dr,2130.0,Address,163434.0,42.301,-71.0886,Constituent Call,"(42.301, -71.0886)"
476144,101001250289,01/20/2015 12:04:12 PM,,01/20/2015 12:50:54 PM,ONTIME,Closed,Case Closed Case Noted Lead items such granite and metal need to be fabricated.  Visible work on the site will probably start in late January.  Contract is set up for winter placement of concrete  so it should be open for use in early spring.  If you have any questions  please contact Parks and Recreation Design and Cosntruction Division at 617-635-4505. Thank you.,Parks General Request,Parks & Recreation Department,Administrative & General Requests,Parks General Request,PARK_Administration,PARK,,,33 Beacon St  Boston  MA  02108,3.0,1B,8.0,A1,Downtown / Financial District,14.0,Ward 5,503.0,E,33 Beacon St,2108.0,Address,11072.0,42.3574,-71.0648,Constituent Call,"(42.3574, -71.0648)"
476259,101001250482,01/20/2015 02:10:00 PM,,,ONTIME,Open,,Parks General Request,Parks & Recreation Department,Administrative & General Requests,Parks General Request,PARK_Maintenance_Ground Maintenance,PARK,,,550 Bennington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,1,111.0,,550 Bennington St,2128.0,Address,342518.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
476504,101001250861,01/21/2015 09:19:10 AM,,01/22/2015 07:38:36 AM,ONTIME,Closed,Case Closed Case Noted The Boston Parks Department does not fix  repair or pay for pipes to be fixed. The Boston Parks Department will only remove the tree and grind the stump once proper documentation is received. For the Boston Parks Department to remove a healthy shade tree we need proof of the roots damaging the pipes. Proof would include pictures and bills from a plumber that show the roots from the City tree growing into the pipes. Until then the tree will not be removed. Proof can be sent to 1010 Massachusetts Ave Boston  MA 02118 3rd floor. Attn: Tree Maintenance Division.,Parks General Request,Parks & Recreation Department,Administrative & General Requests,Parks General Request,PARK_Tree Maintenance Request,PARK,,,2 Saint Charles St  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 5,501.0,R1,2 Saint Charles St,2116.0,Address,120987.0,42.347,-71.0721,Constituent Call,"(42.347, -71.0721)"
477371,101001252225,01/22/2015 11:26:12 PM,,01/23/2015 08:38:05 AM,ONTIME,Closed,Case Closed Case Resolved,Parks General Request,Parks & Recreation Department,Administrative & General Requests,Parks General Request,PARK_Administration,PARK,,,38 Beacon St  Boston  MA  02108,3.0,1C,8.0,A1,Beacon Hill,14.0,05,503.0,E,38 Beacon St,2108.0,Address,341748.0,42.3559,-71.0657,Constituent Call,"(42.3559, -71.0657)"
483811,101001260795,01/29/2015 09:05:13 AM,,01/29/2015 04:54:14 PM,ONTIME,Closed,Case Closed Case Resolved Walkways plowed Jan 29  2015.,Ground Maintenance: Ringer Playground  Ringer Playground,Parks & Recreation Department,Administrative & General Requests,Parks General Request,PARK_Maintenance_Region 4,PARK,,,85 Allston St  Allston  MA  02134,11.0,04,9.0,D14,Allston,15.0,21,2106.0,,85 Allston St,2134.0,Address,342014.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
485968,101001264109,01/30/2015 09:59:55 AM,,02/04/2015 02:45:28 PM,ONTIME,Closed,Case Closed Case Resolved done,Ground Maintenance: Peters Park  Peter's Park,Parks & Recreation Department,Administrative & General Requests,Parks General Request,PARK_Maintenance_Region 5,PARK,,,230 Shawmut Ave  Roxbury  MA  02118,4.0,1C,2.0,D4,Roxbury,4.0,3,307.0,,230 Shawmut Ave,2118.0,Address,342571.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
