,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471598,101001243838,01/07/2015 05:31:46 PM,01/15/2015 08:30:00 AM,01/08/2015 08:29:17 AM,ONTIME,Closed,Case Closed Case Noted Your request for pavement marking replacement has been inspected by the traffic investigator and has been determined that it is in poor condition. A new Service Request has been created 101001243941 and will be added to an active list for re-painting  weather condition pending.,Pavement Marking Inspection,Transportation - Traffic Division,Operations,Pavement Marking Inspection,BTDT_District 03,BTDT,,,INTERSECTION of Massachusetts Ave & Saint Stephen St  Boston  MA,4.0,1C,7.0,D4,Back Bay,14.0,Ward 4,405.0,,INTERSECTION Massachusetts Ave & Saint Stephen St,,Intersection,7139.0,42.3434,-71.0858,Constituent Call,"(42.3434, -71.0858)"
472443,101001245042,01/09/2015 02:18:17 PM,01/16/2015 02:18:16 PM,01/12/2015 02:08:52 PM,ONTIME,Closed,Case Closed Case Noted Your request for pavement marking replacement has been inspected by the traffic investigator and has been determined that it is in poor condition. A new Service Request has been created 101001246107 and will be added to an active list for re-painting  weather condition pending.,Pavement Marking Inspection,Transportation - Traffic Division,Operations,Pavement Marking Inspection,BTDT_District 03,BTDT,,,INTERSECTION of Albany St & Hampden St  Roxbury  MA,7.0,10B,7.0,D4,Roxbury,13.0,Ward 8,803.0,,INTERSECTION Albany St & Hampden St,,Intersection,200.0,42.332,-71.0756,Constituent Call,"(42.332, -71.0756)"
473388,101001246465,01/13/2015 09:31:29 AM,01/21/2015 09:31:29 AM,01/13/2015 02:15:00 PM,ONTIME,Closed,Case Closed Case Noted Your request for pavement marking replacement has been inspected by the traffic investigator and has been determined that it is in poor condition. A new Service Request has been created 101001246708 and will be added to an active list for re-painting  weather condition pending.,Pavement Marking Inspection,Transportation - Traffic Division,Operations,Pavement Marking Inspection,BTDT_District 03,BTDT,,,INTERSECTION of Massachusetts Ave & Saint Stephen St  Boston  MA,4.0,1C,7.0,D4,Back Bay,14.0,Ward 4,405.0,,INTERSECTION Massachusetts Ave & Saint Stephen St,,Intersection,7139.0,42.3434,-71.0858,Constituent Call,"(42.3434, -71.0858)"
474486,101001248074,01/15/2015 04:02:29 PM,01/23/2015 04:02:28 PM,01/16/2015 07:56:24 AM,ONTIME,Closed,Case Closed Case Noted Your request for pavement marking replacement has been inspected by the traffic investigator and has been determined that it is in poor condition. A new Service Request has been created 101001248230 and will be added to an active list for re-painting  weather condition pending.,Pavement Marking Inspection,Transportation - Traffic Division,Operations,Pavement Marking Inspection,BTDT_District 04,BTDT,,,INTERSECTION of Harvard St & Millet St  Dorchester  MA,8.0,03,4.0,B3,Dorchester,8.0,Ward 14,1402.0,,INTERSECTION Harvard St & Millet St,,Intersection,5759.0,42.2969,-71.0778,Constituent Call,"(42.2969, -71.0778)"
476330,101001250577,01/20/2015 03:27:17 PM,01/27/2015 03:27:17 PM,02/27/2015 10:05:31 AM,OVERDUE,Closed,Case Closed Case Resolved Mark Cardarelli called the constituent and explained that the crosswalk before the paving took place did not meet ADA standards.    You need a ramp on either side of the crosswalk. in this case one side had edge stone. This would not allow a person in a wheel chair to cross.    That is why PWD  did not restore after paving.    Mark suggested they contact BTD Engineering about the possibility of putting in a ramp.     Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Pavement Marking Inspection,Transportation - Traffic Division,Operations,Pavement Marking Inspection,PWDx_Contractor Complaints,PWDx,,,INTERSECTION of King St & Malcolm X Blvd  Mission Hill  MA,7.0,10B,7.0,B2,Roxbury,13.0,Ward 9,905.0,,INTERSECTION King St & Malcolm X Blvd,,Intersection,6652.0,42.3313,-71.0929,Constituent Call,"(42.3313, -71.0929)"
501601,101001286533,02/10/2015 05:39:30 PM,02/19/2015 08:30:00 AM,02/11/2015 08:31:43 AM,ONTIME,Closed,Case Closed Duplicate of Existing Case %1286824,Pavement Marking Inspection,Transportation - Traffic Division,Operations,Pavement Marking Inspection,BTDT_District 02,BTDT,,,INTERSECTION of Centre St & Oakview Ter  Jamaica Plain  MA,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1901.0,,INTERSECTION Centre St & Oakview Ter,,Intersection,2689.0,42.3203,-71.1111,Constituent Call,"(42.3203, -71.1111)"
501809,101001286824,02/10/2015 08:13:31 PM,02/19/2015 08:30:00 AM,02/11/2015 08:27:53 AM,ONTIME,Closed,Case Closed Case Noted Your request for pavement marking replacement has been inspected by the traffic investigator and has been determined that it is in poor condition. A new Service Request has been created 101001287450 and will be added to an active list for re-painting  weather condition pending.,Pavement Marking Inspection,Transportation - Traffic Division,Operations,Pavement Marking Inspection,BTDT_District 02,BTDT,,,INTERSECTION of Centre St & Oakview Ter  Jamaica Plain  MA,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1901.0,,INTERSECTION Centre St & Oakview Ter,,Intersection,2689.0,42.3203,-71.1111,Constituent Call,"(42.3203, -71.1111)"
531205,101001329514,03/10/2015 06:10:08 PM,06/18/2015 08:30:00 AM,03/11/2015 07:45:23 AM,ONTIME,Closed,Case Closed Case Noted Your request for pavement marking replacement has been inspected by the traffic investigator and has been determined that it is in poor condition. A new Service Request has been created 101001329706 and will be added to an active list for re-painting  weather condition pending.,Pavement Marking Inspection,Transportation - Traffic Division,Operations,Pavement Marking Inspection,BTDT_District 06,BTDT,,,INTERSECTION of Medford St & Tufts St  Charlestown  MA,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,202.0,,INTERSECTION Medford St & Tufts St,,Intersection,7224.0,42.3791,-71.0567,Constituent Call,"(42.3791, -71.0567)"
538045,101001339194,03/22/2015 03:22:26 PM,03/30/2015 08:30:00 AM,03/23/2015 08:14:00 AM,ONTIME,Closed,Case Closed Case Noted Your request for pavement marking replacement has been inspected by the traffic investigator and has been determined that it is in poor condition. A new Service Request has been created 101001339351 and will be added to an active list for re-painting  weather condition pending.,Pavement Marking Inspection,Transportation - Traffic Division,Operations,Pavement Marking Inspection,BTDT_District 04,BTDT,,,INTERSECTION of Dunlap St & Washington St  Dorchester  MA,8.0,07,4.0,C11,Dorchester,9.0,Ward 17,1703.0,,INTERSECTION Dunlap St & Washington St,,Intersection,4317.0,42.2933,-71.0719,Constituent Call,"(42.2933, -71.0719)"
548597,101001353701,04/10/2015 02:40:46 PM,04/17/2015 02:40:46 PM,04/13/2015 07:09:45 AM,ONTIME,Closed,Case Closed Case Noted Your request for pavement marking replacement has been inspected by the traffic investigator and has been determined that it is in poor condition. A new Service Request has been created 101001354545 and will be added to an active list for re-painting  weather condition pending.,Pavement Marking Inspection,Transportation - Traffic Division,Operations,Pavement Marking Inspection,BTDT_District 02,BTDT,,,362 Baker St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2017.0,R1,362 Baker St,2132.0,Address,7722.0,42.282,-71.1692,Constituent Call,"(42.282, -71.1692)"
