,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471670,101001243941,01/08/2015 08:28:58 AM,04/08/2015 08:28:58 AM,03/18/2015 01:18:56 PM,ONTIME,Closed,Case Closed Case Resolved This request already exists; please follow case #101001248691,Repaint Lane Markings SW - Poor Condition,Transportation - Traffic Division,Operations,Pavement Marking Maintenance,BTDT_Pavement Marking_Maintenance,BTDT,,,INTERSECTION of Massachusetts Ave & Saint Stephen St  Boston  MA,4.0,1C,7.0,D4,Back Bay,14.0,Ward 4,405.0,,INTERSECTION Massachusetts Ave & Saint Stephen St,,Intersection,7139.0,42.3434,-71.0858,Constituent Call,"(42.3434, -71.0858)"
473149,101001246107,01/12/2015 02:08:41 PM,04/12/2015 02:08:41 PM,,OVERDUE,Open,,Repaint Crosswalk - Poor Condition,Transportation - Traffic Division,Operations,Pavement Marking Maintenance,BTDT_Pavement Marking_Maintenance,BTDT,,,INTERSECTION of Albany St & Hampden St  Roxbury  MA,7.0,10B,7.0,D4,Roxbury,13.0,Ward 8,803.0,,INTERSECTION Albany St & Hampden St,,Intersection,200.0,42.332,-71.0756,Constituent Call,"(42.332, -71.0756)"
473547,101001246708,01/13/2015 02:14:51 PM,04/13/2015 02:14:50 PM,03/18/2015 01:18:26 PM,ONTIME,Closed,Case Closed Case Resolved This request already exists; please follow case #101001248691,Repaint Lane Markings DY and SW - Poor Condition,Transportation - Traffic Division,Operations,Pavement Marking Maintenance,BTDT_Pavement Marking_Maintenance,BTDT,,,INTERSECTION of Massachusetts Ave & Saint Stephen St  Boston  MA,4.0,1C,7.0,D4,Back Bay,14.0,Ward 4,405.0,,INTERSECTION Massachusetts Ave & Saint Stephen St,,Intersection,7139.0,42.3434,-71.0858,Constituent Call,"(42.3434, -71.0858)"
474601,101001248229,01/16/2015 07:55:27 AM,04/16/2015 07:55:27 AM,03/18/2015 12:50:41 PM,ONTIME,Closed,Case Closed Case Resolved This request already exists; please follow case #101001248230,Repaint Crosswalk - Poor Condition,Transportation - Traffic Division,Operations,Pavement Marking Maintenance,BTDT_Pavement Marking_Maintenance,BTDT,,,INTERSECTION of Harvard St & Millet St  Dorchester  MA,8.0,03,4.0,B3,Dorchester,8.0,Ward 14,1402.0,,INTERSECTION Harvard St & Millet St,,Intersection,5759.0,42.2969,-71.0778,Constituent Call,"(42.2969, -71.0778)"
474602,101001248230,01/16/2015 07:56:11 AM,04/16/2015 07:56:11 AM,07/08/2015 02:00:32 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-07-08 14:00:32.957 Case Resolved Crosswalk was repainted,Repaint Crosswalk - Poor Condition,Transportation - Traffic Division,Operations,Pavement Marking Maintenance,BTDT_Pavement Marking_Maintenance,BTDT,,,INTERSECTION of Harvard St & Millet St  Dorchester  MA,8.0,03,4.0,B3,Dorchester,8.0,Ward 14,1402.0,,INTERSECTION Harvard St & Millet St,,Intersection,5759.0,42.2969,-71.0778,Constituent Call,"(42.2969, -71.0778)"
474912,101001248688,01/16/2015 01:51:50 PM,04/16/2015 01:51:50 PM,,OVERDUE,Open,,Repaint Crosswalk - Poor Condition,Transportation - Traffic Division,Operations,Pavement Marking Maintenance,BTDT_Pavement Marking_Maintenance,BTDT,,,INTERSECTION of Elm Hill Ave & Homestead St  Dorchester  MA,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1207.0,,INTERSECTION Elm Hill Ave & Homestead St,,Intersection,4532.0,42.3099,-71.0872,City Worker App,"(42.3099, -71.0872)"
474914,101001248691,01/16/2015 01:53:18 PM,04/16/2015 01:53:18 PM,,OVERDUE,Open,,Repaint Lane Markings DY - Poor Condition,Transportation - Traffic Division,Operations,Pavement Marking Maintenance,BTDT_Pavement Marking_Maintenance,BTDT,,,300 Massachusetts Ave  Boston  MA  02115,4.0,1C,7.0,D4,Back Bay,14.0,Ward 4,405.0,C,300 Massachusetts Ave,2115.0,Address,271148.0,42.3432,-71.0851,Employee Generated,"(42.3432, -71.0851)"
474915,101001248693,01/16/2015 01:54:33 PM,04/16/2015 01:54:32 PM,09/08/2015 03:13:33 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-09-08 15:13:33.17 Case Resolved,Repaint Crosswalk - Poor Condition,Transportation - Traffic Division,Operations,Pavement Marking Maintenance,BTDT_Pavement Marking_Maintenance,BTDT,,,INTERSECTION of Beacon St & Massachusetts Ave  Boston  MA,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,509.0,,INTERSECTION Beacon St & Massachusetts Ave,,Intersection,1094.0,42.3508,-71.0895,Employee Generated,"(42.3508, -71.0895)"
474927,101001248715,01/16/2015 02:38:41 PM,04/16/2015 02:38:41 PM,09/28/2015 12:19:09 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-09-28 12:19:09.203 Case Resolved,Repaint Crosswalk - Poor Condition,Transportation - Traffic Division,Operations,Pavement Marking Maintenance,BTDT_Pavement Marking_Maintenance,BTDT,,,INTERSECTION of W Broadway & D St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,,INTERSECTION W Broadway & D St,,Intersection,1999.0,42.3388,-71.0508,Employee Generated,"(42.3388, -71.0508)"
476244,101001250456,01/20/2015 02:01:50 PM,04/20/2015 02:01:50 PM,,OVERDUE,Open,,Repaint Crosswalk - Poor Condition,Transportation - Traffic Division,Operations,Pavement Marking Maintenance,BTDT_Pavement Marking_Maintenance,BTDT,,,335 Huntington Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R1,335 Huntington Ave,2136.0,Address,76545.0,42.2666,-71.1169,City Worker App,"(42.2666, -71.1169)"
