,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469829,101001241274,01/02/2015 12:18:04 PM,05/02/2015 12:18:03 PM,03/05/2015 03:35:56 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Pest Infestation - Residential,Inspectional Services,Housing,Pest Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,227-229 River St  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,18,1801.0,,227-229 River St,2126.0,Address,340974.0,42.2752,-71.0834,Constituent Call,"(42.2752, -71.0834)"
470717,101001242571,01/05/2015 03:40:14 PM,05/05/2015 03:40:14 PM,,OVERDUE,Open,,Pest Infestation - Residential,Inspectional Services,Housing,Pest Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,19 Colonel Michael J. McDonough Way  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,07,707.0,E,19 Colonel Michael J. McDonough Way,2127.0,Address,273161.0,42.3281,-71.0536,Constituent Call,"(42.3281, -71.0536)"
472487,101001245106,01/09/2015 03:33:26 PM,05/09/2015 03:33:26 PM,,OVERDUE,Open,,Pest Infestation - Residential,Inspectional Services,Housing,Pest Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,14 Logan Way  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,707.0,E,14 Logan Way,2127.0,Address,173766.0,42.3272,-71.0535,Constituent Call,"(42.3272, -71.0535)"
473349,101001246407,01/13/2015 08:46:36 AM,05/13/2015 08:46:35 AM,,OVERDUE,Open,,Pest Infestation - Residential,Inspectional Services,Housing,Pest Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,11 Peterborough St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,502.0,A,11 Peterborough St,2215.0,Address,292648.0,42.3443,-71.0958,Constituent Call,"(42.3443, -71.0958)"
474191,101001247648,01/15/2015 08:37:08 AM,05/15/2015 08:37:08 AM,07/30/2015 12:41:05 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-07-30 12:41:05.417 VIOLFND: Violation Found,Pest Infestation - Residential,Inspectional Services,Housing,Pest Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,27 Saint Lukes Rd  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,14.0,Ward 21,2103.0,A,27 Saint Lukes Rd,2134.0,Address,121296.0,42.3513,-71.1274,Constituent Call,"(42.3513, -71.1274)"
474219,101001247700,01/15/2015 09:33:34 AM,05/15/2015 09:33:33 AM,,OVERDUE,Open,,Pest Infestation - Residential,Inspectional Services,Housing,Pest Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,2 Ditmus Ct  Roxbury  MA  02118,7.0,10B,7.0,D4,Roxbury,13.0,09,903.0,E,2 Ditmus Ct,2118.0,Address,164342.0,42.3367,-71.0823,Constituent Call,"(42.3367, -71.0823)"
474427,101001247980,01/15/2015 02:04:01 PM,05/15/2015 02:04:01 PM,03/30/2015 01:41:31 PM,ONTIME,Closed,Case Closed :,Pest Infestation - Residential,Inspectional Services,Housing,Pest Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,50 Lyon St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1509.0,R4,50 Lyon St,2122.0,Address,87958.0,42.306,-71.0612,Constituent Call,"(42.306, -71.0612)"
476075,101001250177,01/20/2015 10:41:01 AM,05/20/2015 10:41:01 AM,01/20/2015 11:03:06 AM,ONTIME,Closed,Case Closed Case Invalid Opened in Error,Pest Infestation - Residential,Inspectional Services,Housing,Pest Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,784 Washington St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1709.0,E,784 Washington St,2124.0,Address,332688.0,42.2842,-71.0709,Constituent Call,"(42.2842, -71.0709)"
477085,101001251769,01/22/2015 10:37:04 AM,05/22/2015 10:37:04 AM,02/05/2015 12:02:26 PM,ONTIME,Closed,Case Closed :,Pest Infestation - Residential,Inspectional Services,Housing,Pest Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,30-52 Margaretta Dr  Hyde Park  MA  02136,12.0,08,5.0,E5,West Roxbury,10.0,18,1823.0,,30-52 Margaretta Dr,2136.0,Address,344102.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
479438,101001255526,01/27/2015 04:31:25 PM,05/27/2015 04:31:25 PM,07/30/2015 12:37:47 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-07-30 12:37:47.35 VIOLFND: Violation Found,Pest Infestation - Residential,Inspectional Services,Housing,Pest Infestation - Residential,ISD_Housing (INTERNAL),ISD,,,1 Saint Mark St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1110.0,R1,1 Saint Mark St,2130.0,Address,172939.0,42.3022,-71.1142,Constituent Call,"(42.3022, -71.1142)"
