,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471182,101001243241,01/06/2015 03:28:33 PM,,02/05/2015 03:26:08 PM,ONTIME,Closed,Case Closed Case Resolved,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
477113,101001251813,01/22/2015 11:10:16 AM,,01/22/2015 11:31:19 AM,ONTIME,Closed,Case Closed Case Invalid Error with E-Form. Please see case #1251835.,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
501445,101001286309,02/10/2015 04:29:00 PM,,02/11/2015 02:51:18 PM,ONTIME,Closed,Case Closed Case Resolved Registration number 1WK847 does not have a Resident Parking Permit for South Boston.,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
504760,101001291298,02/12/2015 01:06:31 PM,,02/12/2015 02:10:43 PM,ONTIME,Closed,Case Closed Case Noted there is no information provided,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
504796,101001291362,02/12/2015 01:40:30 PM,,02/12/2015 02:12:02 PM,ONTIME,Closed,Case Closed Case Noted currently still waiting to receive fax of signed apartment lease,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
522384,101001316180,02/25/2015 01:54:18 PM,,02/25/2015 02:01:12 PM,ONTIME,Closed,Case Closed Case Invalid Wrong eform. Please see case #1316183.,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
538690,101001340073,03/23/2015 04:37:44 PM,,03/27/2015 12:07:14 PM,ONTIME,Closed,Case Closed Case Noted Name/address/ & plate number will be investigated to be sure the proper sticker has been issued.,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
541631,101001344167,03/28/2015 04:04:26 PM,,04/01/2015 02:20:49 PM,ONTIME,Closed,Case Closed Case Noted incomplete case - no information provided from call in,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,18-20 Sunset St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1004.0,CM,18-20 Sunset St,2120.0,Address,132709.0,42.3311,-71.1085,Constituent Call,"(42.3311, -71.1085)"
567255,101001380626,05/19/2015 11:14:46 AM,,05/21/2015 03:01:01 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-21 15:01:01.0 Case Resolved Ticket has been dismissed & a $40 refund is being processed,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
588614,101001422063,07/02/2015 10:23:00 AM,,07/30/2015 04:28:39 PM,ONTIME,Closed,Case Closed. Closed date : 2015-07-30 16:28:39.387 Case Resolved tickets dismissed,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,20 Fuller St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 17,1704.0,R1,20 Fuller St,2124.0,Address,61140.0,42.2835,-71.0659,Constituent Call,"(42.2835, -71.0659)"
588662,101001422135,07/02/2015 11:17:00 AM,,07/30/2015 04:28:17 PM,ONTIME,Closed,Case Closed. Closed date : 2015-07-30 16:28:17.787 Case Resolved ticket dismissed,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,INTERSECTION of E Broadway & O St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,607.0,,INTERSECTION E Broadway & O St,,Intersection,1989.0,42.3357,-71.0292,Constituent Call,"(42.3357, -71.0292)"
597739,101001434460,07/21/2015 05:37:19 PM,,08/03/2015 10:28:16 AM,ONTIME,Closed,Case Closed. Closed date : 2015-08-03 10:28:16.73 Case Resolved rental permit issued 7/22/15,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
599984,101001437667,07/27/2015 02:17:28 PM,,07/30/2015 04:54:01 PM,ONTIME,Closed,Case Closed. Closed date : 2015-07-30 16:54:01.357 Case Noted This is a case that should be reported to enforcement for ticketing,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
608642,101001519320,08/12/2015 11:36:00 AM,,09/04/2015 11:48:56 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-04 11:48:56.653 Case Noted ticket has been paid & the enforcement officer included pictures of the vehicle without a HP Placard being displayed nor does the registered owner of the vehicle have a HP placard on file with the RMV,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,INTERSECTION of Washington St & Marginal Rd  Boston  MA,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,,INTERSECTION Washington St & Marginal Rd,,Intersection,6063.0,42.3473,-71.0644,Constituent Call,"(42.3473, -71.0644)"
613419,101001525436,08/19/2015 02:41:48 PM,,09/04/2015 11:08:42 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-04 11:08:42.84 Case Resolved hearing date scheduled on 8/5/15 @ 2PM,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
651428,101001619481,10/23/2015 08:45:00 PM,,01/06/2016 02:47:05 PM,ONTIME,Closed,Case Closed. Closed date : 2016-01-06 14:47:05.023 Case Resolved,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,261-263 Hanover St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,303.0,RC,261-263 Hanover St,2113.0,Address,69074.0,42.3633,-71.0547,Constituent Call,"(42.3633, -71.0547)"
667997,101001643483,11/27/2015 11:39:05 AM,,01/06/2016 02:52:57 PM,ONTIME,Closed,Case Closed. Closed date : 2016-01-06 14:52:57.793 Case Resolved awaiting a date and time to be scheduled for the hearing,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
669108,101001655018,11/30/2015 03:04:21 PM,,01/06/2016 03:38:39 PM,ONTIME,Closed,"Case Closed. Closed date : 2016-01-06 15:38:39.64 Case Resolved ticket was issued for double parking and the enforcement officer indicated that the driver ""drove off"".    Ticket is on hold awaiting a time & date to assigned",Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
681651,101001683833,12/29/2015 02:46:32 PM,,01/06/2016 03:20:28 PM,ONTIME,Closed,Case Closed. Closed date : 2016-01-06 15:20:28.02 Case Resolved sign verification indicates the sign is posted and a hearing has been scheduled for further dispute of the ticket in question,Phone Bank Service Inquiry,Transportation - Traffic Division,Office of The Parking Clerk,Phone Bank Service Inquiry,BTDT_OPC_Phone Bank Service,BTDT,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
