,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469507,101001240816,01/01/2015 01:09:57 PM,01/05/2015 08:30:00 AM,01/02/2015 06:32:22 PM,ONTIME,Closed,Case Closed Case Resolved i went to location could not find dead animal,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 02: Jamaica Plain,PWDx,,https://cityworker.cityofboston.gov:8443/attachments/report/54a58d79d052affa7e491713/closed_photo/Report.jpg,INTERSECTION of Centre St & Seaverns Ave  Jamaica Plain  MA,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1905.0,,INTERSECTION Centre St & Seaverns Ave,,Intersection,2672.0,42.3123,-71.1142,Constituent Call,"(42.3123, -71.1142)"
469511,101001240820,01/01/2015 01:20:39 PM,01/05/2015 08:30:00 AM,01/01/2015 06:15:01 PM,ONTIME,Closed,Case Closed Case Resolved Nothing was found,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 03: North Dorchester,PWDx,,,75-79 Stoughton St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1306.0,C,75-79 Stoughton St,2125.0,Address,131121.0,42.3158,-71.0627,Constituent Call,"(42.3158, -71.0627)"
469527,101001240839,01/01/2015 02:39:04 PM,01/05/2015 08:30:00 AM,01/01/2015 06:13:10 PM,ONTIME,Closed,Case Closed Case Resolved Animal picked up,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 03: North Dorchester,PWDx,,,53 Elmont St  Dorchester  MA  02121,7.0,03,4.0,B3,Dorchester,8.0,Ward 14,1402.0,R1,53 Elmont St,2121.0,Address,53389.0,42.2994,-71.0775,Constituent Call,"(42.2994, -71.0775)"
469583,101001240915,01/02/2015 07:26:14 AM,01/05/2015 08:30:00 AM,01/02/2015 12:31:05 PM,ONTIME,Closed,Case Closed Case Resolved picked up by s gleeson,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 05: South Boston,PWDx,,,INTERSECTION of Dorchester St & Rogers St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,706.0,,INTERSECTION Dorchester St & Rogers St,,Intersection,4195.0,42.3301,-71.0559,Citizens Connect App,"(42.3301, -71.0559)"
469596,101001240932,01/02/2015 07:59:48 AM,01/05/2015 08:30:00 AM,01/02/2015 08:44:07 AM,ONTIME,Closed,Case Closed Case Noted need better location found no white bag or cat,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 10B: Roxbury,PWDx,,,51-57 Crestwood Park  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,12,1202.0,,51-57 Crestwood Park,2121.0,Address,343535.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
469735,101001241141,01/02/2015 10:31:38 AM,01/05/2015 10:31:37 AM,01/02/2015 10:42:35 AM,ONTIME,Closed,Case Closed Case Resolved Picked up,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 04: Allston/Brighton,PWDx,,,INTERSECTION of Foster St & Foster Ter  Brighton  MA,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2209.0,,INTERSECTION Foster St & Foster Ter,,Intersection,5024.0,42.3471,-71.1578,City Worker App,"(42.3471, -71.1578)"
469883,101001241358,01/02/2015 01:45:29 PM,01/05/2015 01:45:29 PM,01/02/2015 02:01:24 PM,ONTIME,Closed,Case Closed Case Invalid nothing found at this location,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 07: South Dorchester,PWDx,,,INTERSECTION of Harvard St & Morton St  Dorchester  MA,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1411.0,,INTERSECTION Harvard St & Morton St,,Intersection,5749.0,42.2876,-71.0939,Constituent Call,"(42.2876, -71.0939)"
470001,101001241555,01/02/2015 08:48:12 PM,01/06/2015 08:30:00 AM,01/02/2015 09:30:25 PM,ONTIME,Closed,Case Closed Case Resolved it is all set,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 04: Allston/Brighton,PWDx,,https://cityworker.cityofboston.gov:8443/attachments/report/54a74a64d052affa7e49398b/closed_photo/Report.jpg,INTERSECTION of N Harvard St & Western Ave  Allston  MA,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2201.0,,INTERSECTION N Harvard St & Western Ave,,Intersection,5767.0,42.3632,-71.1298,Constituent Call,"(42.3632, -71.1298)"
470037,101001241601,01/03/2015 09:33:40 AM,01/06/2015 08:30:00 AM,01/03/2015 10:57:16 AM,ONTIME,Closed,Case Closed Case Resolved animal picked up,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 10B: Roxbury,PWDx,,,73 Walnut Ave  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1203.0,R3,73 Walnut Ave,2119.0,Address,141968.0,42.3227,-71.085,Constituent Call,"(42.3227, -71.085)"
470058,101001241636,01/03/2015 11:18:40 AM,01/06/2015 08:30:00 AM,01/03/2015 12:40:56 PM,ONTIME,Closed,Case Closed Case Resolved animal picked up,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 1B: North End,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a8164804855a39b2f894ce/photo_20150103_111650.jpg,,INTERSECTION of Revere St & Thompson's Ct  Boston  MA,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,504.0,,INTERSECTION Revere St & Thompson's Ct,,Intersection,8085.0,42.3595,-71.0683,Citizens Connect App,"(42.3595, -71.0683)"
