,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
473328,101001246359,01/13/2015 08:05:36 AM,02/12/2015 08:05:36 AM,06/08/2015 12:39:27 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-06-08 12:39:27.177 VIOCOR: Violation Corrected,Pigeon Infestation,Inspectional Services,Environmental Services,Pigeon Infestation,ISD_Environmental Services (INTERNAL),ISD,,,10 Knapp St  Boston  MA  02111,4.0,1C,2.0,A1,Boston,4.0,03,308.0,C,10 Knapp St,2111.0,Address,261883.0,42.3511,-71.0623,Constituent Call,"(42.3511, -71.0623)"
474169,101001247603,01/15/2015 07:23:41 AM,02/14/2015 07:23:41 AM,02/24/2015 10:26:06 AM,OVERDUE,Closed,Case Closed VIOCOR: Violation Corrected,Pigeon Infestation,Inspectional Services,Environmental Services,Pigeon Infestation,ISD_Environmental Services (INTERNAL),ISD,,,47 Houghton St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1605.0,R3,47 Houghton St,2122.0,Address,75449.0,42.2948,-71.0516,Constituent Call,"(42.2948, -71.0516)"
477237,101001252002,01/22/2015 02:17:25 PM,02/21/2015 02:17:25 PM,,OVERDUE,Open,,Pigeon Infestation,Inspectional Services,Environmental Services,Pigeon Infestation,ISD_Environmental Services (INTERNAL),ISD,,,9-15 Battery St  Boston  MA  02109,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,301.0,CM,9-15 Battery St,2109.0,Address,8790.0,42.3662,-71.0523,Constituent Call,"(42.3662, -71.0523)"
497182,101001280490,02/06/2015 02:08:36 PM,03/08/2015 02:08:35 PM,02/20/2015 10:06:38 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Pigeon Infestation,Inspectional Services,Environmental Services,Pigeon Infestation,ISD_Environmental Services (INTERNAL),ISD,,,200 Hancock St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1306.0,A,200 Hancock St,2125.0,Address,68900.0,42.3105,-71.0611,Constituent Call,"(42.3105, -71.0611)"
505290,101001292144,02/12/2015 06:29:08 PM,03/14/2015 06:29:08 PM,,OVERDUE,Open,,Pigeon Infestation,Inspectional Services,Environmental Services,Pigeon Infestation,ISD_Environmental Services (INTERNAL),ISD,,,INTERSECTION of Dorchester St & W Fourth St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,704.0,,INTERSECTION Dorchester St & W Fourth St,,Intersection,4212.0,42.3349,-71.0468,Constituent Call,"(42.3349, -71.0468)"
516690,101001307769,02/19/2015 09:58:41 PM,03/21/2015 09:58:41 PM,,OVERDUE,Open,,Pigeon Infestation,Inspectional Services,Environmental Services,Pigeon Infestation,ISD_Environmental Services (INTERNAL),ISD,,,24 Everett St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2205.0,R4,24 Everett St,2135.0,Address,231927.0,42.3548,-71.139,Self Service,"(42.3548, -71.139)"
519792,101001312406,02/23/2015 01:29:56 PM,03/25/2015 01:29:56 PM,,OVERDUE,Open,,Pigeon Infestation,Inspectional Services,Environmental Services,Pigeon Infestation,ISD_Environmental Services (INTERNAL),ISD,,,INTERSECTION of E Fourth St & National St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,704.0,,INTERSECTION E Fourth St & National St,,Intersection,5039.0,42.3349,-71.0467,Constituent Call,"(42.3349, -71.0467)"
527266,101001323509,03/04/2015 09:15:58 AM,04/03/2015 09:15:58 AM,04/28/2015 09:30:07 AM,OVERDUE,Closed,Case Closed CLOSED: Closed/No Permit,Pigeon Infestation,Inspectional Services,Environmental Services,Pigeon Infestation,ISD_Environmental Services (INTERNAL),ISD,,,39 Allston St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,205.0,R2,39 Allston St,2129.0,Address,2691.0,42.3807,-71.0631,Constituent Call,"(42.3807, -71.0631)"
536774,101001337396,03/19/2015 01:04:20 PM,04/18/2015 01:04:20 PM,,OVERDUE,Open,,Pigeon Infestation,Inspectional Services,Environmental Services,Pigeon Infestation,ISD_Environmental Services (INTERNAL),ISD,,,INTERSECTION of Dorchester St & W Fourth St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,704.0,,INTERSECTION Dorchester St & W Fourth St,,Intersection,4212.0,42.3349,-71.0468,Constituent Call,"(42.3349, -71.0468)"
536917,101001337606,03/19/2015 03:34:53 PM,04/18/2015 03:34:53 PM,,OVERDUE,Open,,Pigeon Infestation,Inspectional Services,Environmental Services,Pigeon Infestation,ISD_Environmental Services (INTERNAL),ISD,,,39 Allston St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,205.0,R2,39 Allston St,2129.0,Address,2691.0,42.3807,-71.0631,Constituent Call,"(42.3807, -71.0631)"
