,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
476589,101001250975,01/21/2015 10:41:31 AM,,,ONTIME,Open,,Planting: Oak Square,Parks & Recreation Department,Park Maintenance & Safety,Planting,PARK_New Tree Requests,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54bfc8a6d052fe3c4d00fb2c/photo/Report.jpg,,430 Faneuil St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,22,2213.0,,430 Faneuil St,2135.0,Address,342556.0,42.3594,-71.0587,City Worker App,"(0, 0)"
520553,101001313563,02/24/2015 08:56:27 AM,03/03/2015 08:56:27 AM,05/02/2015 08:09:06 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-05-02 20:09:06.457 Case Invalid no info,Planting: Childe Hassam Park,Parks & Recreation Department,Park Maintenance & Safety,Planting,INFO_Reallocation From Dept,INFO,https://cityworker.cityofboston.gov:8443/attachments/report/54ec8305d052841a638ffa14/photo/Report.jpg,,324 Columbus Ave  Boston  MA  02116,4.0,1C,2.0,D4,Boston,6.0,4,401.0,,324 Columbus Ave,2116.0,Address,344496.0,42.3594,-71.0587,City Worker App,"(0, 0)"
538395,101001339696,03/23/2015 11:47:52 AM,03/30/2015 11:47:52 AM,03/23/2015 12:29:08 PM,ONTIME,Closed,Case Closed Case Noted There is no information to process this case.  Please re-submit if necessary.,Planting: Evergreen Cemetery,Parks & Recreation Department,Park Maintenance & Safety,Planting,PARK_Maintenance_Horticulture,PARK,,,2060 Commonwealth Ave  Brighton  MA  02135,11.0,04,9.0,D14,Brighton,15.0,21,2116.0,E,2060 Commonwealth Ave,2135.0,Address,39624.0,42.3397,-71.1613,City Worker App,"(42.3397, -71.1613)"
550724,101001356714,04/15/2015 08:55:41 AM,04/23/2015 08:55:39 AM,04/29/2015 09:56:44 AM,OVERDUE,Closed,Case Closed Case Resolved These shrubs are not dead. They are Rosa Begosa and are just starting to show early spring growth. Do not remove these. The other shrub is a mugo pine which is a slow grower and does not require pruning.,Planting,Parks & Recreation Department,Park Maintenance & Safety,Planting,PARK_Maintenance_Horticulture,PARK,,,75 Alford St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,02,,,75 Alford St,2129.0,Address,342631.0,42.3594,-71.0587,Employee Generated,"(0, 0)"
554043,101001361436,04/22/2015 12:56:00 PM,04/29/2015 12:56:39 PM,09/09/2015 02:12:16 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-09-09 14:12:16.383 Case Resolved The new tree was planted by Leahy Landscaping in the Spring of 2015. The tree is under warranty until Spring 2017.,Planting:,Parks & Recreation Department,Park Maintenance & Safety,Planting,PARK_New Tree Requests,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/5537d2c470b4ba4e84f4b33b/photo/Report.jpg,,38-42 Lorne St  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1409.0,A,38-42 Lorne St,2124.0,Address,87435.0,42.2937,-71.0912,City Worker App,"(42.2937, -71.0912)"
554564,101001362141,04/23/2015 09:46:41 AM,04/30/2015 09:46:38 AM,04/27/2015 10:00:22 AM,ONTIME,Closed,Case Closed Case Resolved These ruts are from removal of debris from the swan boat pond. This area is scheduled to be repaired this week.,Planting,Parks & Recreation Department,Park Maintenance & Safety,Planting,PARK_Maintenance_Horticulture,PARK,,,4 Charles St  Boston  MA  02108,3.0,1C,8.0,A1,Boston,14.0,5,503.0,,4 Charles St,2108.0,Address,342578.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
558148,101001367133,04/30/2015 10:16:26 AM,05/07/2015 10:16:26 AM,04/30/2015 11:07:21 AM,ONTIME,Closed,Case Closed Case Noted Thank you  I will pass this on to the horticulture crew.,Planting/Horticulture:,Parks & Recreation Department,Park Maintenance & Safety,Planting,PARK_Maintenance_Horticulture,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
564537,101001376739,05/13/2015 01:53:00 PM,05/20/2015 01:53:06 PM,10/19/2015 11:51:09 AM,,Closed,Case Closed. Closed date : 2015-10-19 11:51:09.303 Case Noted There are no empty tree pits at this location,Planting: Carter Playground,Parks & Recreation Department,Park Maintenance & Safety,Planting,PARK_New Tree Requests,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/55538f88d05256bfb76db4a9/photo/Report.jpg,,14 Warwick St  Mission Hill  MA  02120,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,R1,14 Warwick St,2120.0,Address,143356.0,42.3363,-71.0838,City Worker App,"(42.3363, -71.0838)"
570830,101001395933,05/27/2015 12:28:00 PM,06/03/2015 12:29:07 PM,05/28/2015 11:56:03 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-28 11:56:03.97 Case Resolved Spoke to Meg. The greenhouse will deliver 1 yard of mulch and she will pick up grass seed when the water situation is resolved.,Planting,Parks & Recreation Department,Park Maintenance & Safety,Planting,PARK_Maintenance_Horticulture,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
573591,101001399887,06/01/2015 02:20:51 PM,06/08/2015 02:20:51 PM,06/10/2015 01:31:04 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-06-10 13:31:04.243 Case Resolved Steve Facillio says Doherty will be mowed tomorrow.,Planting/Horticulture: Doherty Playground,Parks & Recreation Department,Park Maintenance & Safety,Planting,PARK_Maintenance_Horticulture,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
575305,101001402470,06/04/2015 11:47:00 AM,06/11/2015 11:47:17 AM,06/10/2015 08:57:24 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-10 08:57:24.247 Case Resolved The Park Dept. does not plant ot maintain any planting beds in Oak Square.,Planting,Parks & Recreation Department,Park Maintenance & Safety,Planting,PARK_Maintenance_Horticulture,PARK,,,430 Faneuil St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,22,2213.0,,430 Faneuil St,2135.0,Address,342556.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
