,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470731,101001242597,01/05/2015 04:07:12 PM,01/12/2015 04:07:12 PM,03/18/2015 01:45:31 PM,OVERDUE,Closed,Case Closed :,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,121 Old Harbor St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,07,704.0,E,121 Old Harbor St,2127.0,Address,286744.0,42.3308,-71.0476,Self Service,"(42.3308, -71.0476)"
472067,101001244484,01/08/2015 05:24:14 PM,01/16/2015 08:30:00 AM,01/09/2015 09:18:38 AM,ONTIME,Closed,Case Closed CORR: Corrected,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,236 Orient Ave  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,113.0,R1,236 Orient Ave,2128.0,Address,105606.0,42.3913,-71.0099,Self Service,"(42.3913, -71.0099)"
472866,101001245673,01/12/2015 08:31:35 AM,01/20/2015 08:31:34 AM,01/13/2015 02:59:27 PM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,99 Rivermoor St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2005.0,I,99 Rivermoor St,2132.0,Address,116828.0,42.2791,-71.1767,Constituent Call,"(42.2791, -71.1767)"
473522,101001246670,01/13/2015 01:26:39 PM,01/21/2015 01:26:39 PM,01/14/2015 09:17:22 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,98 Medford St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,02,202.0,,98 Medford St,2129.0,Address,350584.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
474068,101001247467,01/14/2015 04:13:19 PM,01/22/2015 04:13:19 PM,01/16/2015 03:31:15 PM,ONTIME,Closed,Case Closed CLOSED: Closed/No Permit,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,8 Dwight St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,CD,8 Dwight St,2118.0,Address,50439.0,42.3439,-71.0682,Self Service,"(42.3439, -71.0682)"
476637,101001251057,01/21/2015 11:28:33 AM,01/28/2015 11:28:33 AM,01/22/2015 08:58:52 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,37 Cook St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,205.0,R1,37 Cook St,2129.0,Address,42333.0,42.381,-71.0635,Constituent Call,"(42.381, -71.0635)"
478109,101001253335,01/24/2015 07:24:18 PM,02/02/2015 08:30:00 AM,,OVERDUE,Open,,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,30 Stockwell St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1004.0,R2,30 Stockwell St,2120.0,Address,314587.0,42.3321,-71.1078,Constituent Call,"(42.3321, -71.1078)"
478897,101001254892,01/27/2015 11:51:25 AM,02/03/2015 11:51:25 AM,02/03/2015 03:39:20 PM,OVERDUE,Closed,Case Closed CORR: Corrected,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,5 Edwin St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1606.0,A,5 Edwin St,2124.0,Address,228452.0,42.2887,-71.0629,Constituent Call,"(42.2887, -71.0629)"
487386,101001266328,02/01/2015 05:44:40 AM,02/09/2015 08:30:00 AM,02/03/2015 03:30:40 PM,ONTIME,Closed,Case Closed CORR: Corrected,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,1245 Adams St  Mattapan  MA  02126,8.0,07,3.0,C11,Dorchester,7.0,Ward 17,1714.0,A,1245 Adams St,2126.0,Address,580.0,42.2711,-71.0686,Constituent Call,"(42.2711, -71.0686)"
487398,101001266356,02/01/2015 10:45:54 AM,02/09/2015 08:30:00 AM,02/03/2015 03:43:18 PM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,16 Chestnut Hill Ave  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2203.0,R3,16 Chestnut Hill Ave,2135.0,Address,31660.0,42.3485,-71.1535,Constituent Call,"(42.3485, -71.1535)"
494667,101001276565,02/04/2015 10:40:29 PM,02/12/2015 08:30:00 AM,03/11/2015 08:09:47 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,97 Williston Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2112.0,R2,97 Williston Rd,2135.0,Address,150175.0,42.3414,-71.1414,Self Service,"(42.3414, -71.1414)"
501593,101001286524,02/10/2015 05:37:03 PM,02/19/2015 08:30:00 AM,03/11/2015 08:09:45 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,168 Harvard Ave  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2105.0,C,168 Harvard Ave,2134.0,Address,156932.0,42.3515,-71.1314,Constituent Call,"(42.3515, -71.1314)"
504072,101001290229,02/12/2015 08:15:41 AM,02/20/2015 08:30:00 AM,02/13/2015 09:35:39 AM,ONTIME,Closed,Case Closed CORR: Corrected,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,274 Main St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,206.0,A,274 Main St,2129.0,Address,167270.0,42.3774,-71.0672,Constituent Call,"(42.3774, -71.0672)"
510725,101001299192,02/16/2015 05:17:32 PM,02/24/2015 08:30:00 AM,02/20/2015 08:18:37 AM,ONTIME,Closed,Case Closed CORR: Corrected,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,51 Parkton Rd  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,R3,51 Parkton Rd,2130.0,Address,290977.0,42.3229,-71.1146,Constituent Call,"(42.3229, -71.1146)"
510729,101001299197,02/16/2015 05:19:10 PM,02/24/2015 08:30:00 AM,03/16/2015 02:57:10 PM,OVERDUE,Closed,Case Closed :,Plumbing,Inspectional Services,Building,Plumbing,ISD_Building (INTERNAL),ISD,,,28 Stockwell St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1004.0,R2,28 Stockwell St,2120.0,Address,130806.0,42.3321,-71.1078,Constituent Call,"(42.3321, -71.1078)"
