,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
474014,101001247383,01/14/2015 03:04:41 PM,,01/14/2015 03:04:42 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 04: Allston/Brighton,PWDx,,,100-102 Brooks St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2207.0,R3,100-102 Brooks St,2135.0,Address,22357.0,42.3542,-71.1626,Employee Generated,"(42.3542, -71.1626)"
474016,101001247385,01/14/2015 03:05:05 PM,,01/14/2015 03:05:05 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,90-92 Orient Ave  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,113.0,R3,90-92 Orient Ave,2128.0,Address,105645.0,42.3899,-71.0034,Employee Generated,"(42.3899, -71.0034)"
474017,101001247386,01/14/2015 03:05:30 PM,,01/14/2015 03:05:31 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,90-92 Orient Ave  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,113.0,R3,90-92 Orient Ave,2128.0,Address,105645.0,42.3899,-71.0034,Employee Generated,"(42.3899, -71.0034)"
474018,101001247387,01/14/2015 03:05:34 PM,,01/14/2015 03:05:35 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,90-92 Orient Ave  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,113.0,R3,90-92 Orient Ave,2128.0,Address,105645.0,42.3899,-71.0034,Employee Generated,"(42.3899, -71.0034)"
474019,101001247388,01/14/2015 03:05:55 PM,,01/14/2015 03:05:56 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,125 Lexington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,107.0,R2,125 Lexington St,2128.0,Address,85517.0,42.3784,-71.0352,Employee Generated,"(42.3784, -71.0352)"
474020,101001247390,01/14/2015 03:06:24 PM,,01/14/2015 03:06:25 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,126 Putnam St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,R3,126 Putnam St,2128.0,Address,113617.0,42.3787,-71.032,Employee Generated,"(42.3787, -71.032)"
474025,101001247395,01/14/2015 03:07:39 PM,,01/14/2015 03:07:39 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,32 Paris St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,103.0,E,32 Paris St,2128.0,Address,106565.0,42.3702,-71.0401,Employee Generated,"(42.3702, -71.0401)"
474026,101001247396,01/14/2015 03:07:53 PM,,01/14/2015 03:07:53 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,96 Moore St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,111.0,R1,96 Moore St,2128.0,Address,97239.0,42.3815,-71.0179,Employee Generated,"(42.3815, -71.0179)"
474027,101001247397,01/14/2015 03:08:12 PM,,01/14/2015 03:08:12 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,116-120 Moore St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,111.0,A,116-120 Moore St,2128.0,Address,97210.0,42.3809,-71.0174,Employee Generated,"(42.3809, -71.0174)"
474028,101001247398,01/14/2015 03:08:38 PM,,01/14/2015 03:08:38 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,202-204 Gladstone St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,113.0,R2,202-204 Gladstone St,2128.0,Address,63844.0,42.3899,-71.009,Employee Generated,"(42.3899, -71.009)"
474029,101001247399,01/14/2015 03:09:01 PM,,01/14/2015 03:09:01 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,86 Boardman St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,111.0,E,86 Boardman St,2128.0,Address,158227.0,42.3889,-71.0108,Employee Generated,"(42.3889, -71.0108)"
474030,101001247400,01/14/2015 03:09:18 PM,,01/14/2015 03:09:19 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,103 Boardman St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,113.0,,103 Boardman St,2128.0,Address,346508.0,42.3594,-71.0587,Employee Generated,"(0, 0)"
474031,101001247401,01/14/2015 03:10:45 PM,,01/14/2015 03:10:45 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,190 Waldemar Ave  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,113.0,E,190 Waldemar Ave,2128.0,Address,174565.0,42.393,-71.0078,Employee Generated,"(42.393, -71.0078)"
474032,101001247402,01/14/2015 03:11:07 PM,,01/14/2015 03:11:08 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,110-112 Bayswater St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,112.0,R3,110-112 Bayswater St,2128.0,Address,9225.0,42.3839,-71.0023,Employee Generated,"(42.3839, -71.0023)"
474034,101001247404,01/14/2015 03:15:42 PM,,01/14/2015 03:15:43 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,524 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,R3,524 Saratoga St,2128.0,Address,122697.0,42.3807,-71.0258,Employee Generated,"(42.3807, -71.0258)"
474036,101001247407,01/14/2015 03:17:13 PM,,01/14/2015 03:17:13 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,1041-1045 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,112.0,C,1041-1045 Saratoga St,2128.0,Address,122392.0,42.3859,-71.0051,Employee Generated,"(42.3859, -71.0051)"
474037,101001247408,01/14/2015 03:17:33 PM,,01/14/2015 03:17:34 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,1007-1009 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,112.0,C,1007-1009 Saratoga St,2128.0,Address,122387.0,42.3864,-71.0065,Employee Generated,"(42.3864, -71.0065)"
474038,101001247410,01/14/2015 03:17:50 PM,,01/14/2015 03:17:50 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,1007-1009 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,112.0,C,1007-1009 Saratoga St,2128.0,Address,122387.0,42.3864,-71.0065,Employee Generated,"(42.3864, -71.0065)"
474039,101001247411,01/14/2015 03:18:14 PM,,01/14/2015 03:18:15 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,24 Bremen St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,103.0,,24 Bremen St,2128.0,Address,346024.0,42.3594,-71.0587,Employee Generated,"(0, 0)"
474040,101001247413,01/14/2015 03:19:04 PM,,01/14/2015 03:19:05 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,14-16 Saint Andrew Rd  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,112.0,R2,14-16 Saint Andrew Rd,2128.0,Address,120549.0,42.3854,-71.0046,Employee Generated,"(42.3854, -71.0046)"
474042,101001247415,01/14/2015 03:19:25 PM,,01/14/2015 03:19:26 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,4-6 Barnes Ave  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,112.0,R2,4-6 Barnes Ave,2128.0,Address,8263.0,42.3859,-71.0068,Employee Generated,"(42.3859, -71.0068)"
474043,101001247416,01/14/2015 03:19:28 PM,,01/14/2015 03:19:28 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,4-6 Barnes Ave  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,112.0,R2,4-6 Barnes Ave,2128.0,Address,8263.0,42.3859,-71.0068,Employee Generated,"(42.3859, -71.0068)"
474044,101001247417,01/14/2015 03:20:08 PM,,01/14/2015 03:20:09 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,INTERSECTION of Bremen St & George R. Visconti Rd  East Boston  MA,1.0,09,1.0,A7,East Boston,1.0,Ward 1,105.0,,INTERSECTION Bremen St & George R. Visconti Rd,,Intersection,1908.0,42.3728,-71.0343,Employee Generated,"(42.3728, -71.0343)"
474045,101001247418,01/14/2015 03:20:28 PM,,01/14/2015 03:20:28 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,INTERSECTION of Paris St & George R. Visconti Rd  East Boston  MA,1.0,09,1.0,A7,East Boston,1.0,Ward 1,105.0,,INTERSECTION Paris St & George R. Visconti Rd,,Intersection,7775.0,42.3737,-71.0361,Employee Generated,"(42.3737, -71.0361)"
474046,101001247420,01/14/2015 03:20:49 PM,,01/14/2015 03:20:49 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,INTERSECTION of London St & George R. Visconti Rd  East Boston  MA,1.0,09,1.0,A7,East Boston,1.0,Ward 1,106.0,,INTERSECTION London St & George R. Visconti Rd,,Intersection,6924.0,42.3744,-71.0377,Employee Generated,"(42.3744, -71.0377)"
474047,101001247421,01/14/2015 03:21:06 PM,,01/14/2015 03:21:06 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,,,34 Shelby St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,R4,34 Shelby St,2128.0,Address,126636.0,42.3802,-71.0273,Employee Generated,"(42.3802, -71.0273)"
474738,101001248479,01/16/2015 12:01:38 PM,,01/16/2015 12:01:38 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,INTERSECTION of Bussey St & South St  Jamaica Plain  MA,12.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1902.0,,INTERSECTION Bussey St & South St,,Intersection,2256.0,42.2956,-71.122,Employee Generated,"(42.2956, -71.122)"
474740,101001248481,01/16/2015 12:01:43 PM,,01/16/2015 12:01:44 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,INTERSECTION of Bussey St & South St  Jamaica Plain  MA,12.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1902.0,,INTERSECTION Bussey St & South St,,Intersection,2256.0,42.2956,-71.122,Employee Generated,"(42.2956, -71.122)"
