,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
484426,101001261664,01/29/2015 12:07:00 PM,02/03/2015 12:07:59 PM,,OVERDUE,Open,,Private Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Private Parking Lot Complaints,BTDT_Parking Lot_PrivateParkingLotComplaints,BTDT,,,800 Boylston St  Boston  MA  02199,4.0,1C,2.0,D4,Back Bay,6.0,04,402.0,,800 Boylston St,2199.0,Address,157244.0,42.3473,-71.0815,Constituent Call,"(42.3473, -71.0815)"
486596,101001265131,01/30/2015 04:30:24 PM,02/04/2015 04:30:24 PM,02/11/2015 10:38:02 AM,OVERDUE,Closed,Case Closed Case Invalid Not BTD's jurisdiction,Private Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Private Parking Lot Complaints,BTDT_Parking Lot_PrivateParkingLotComplaints,BTDT,,,125 Lincoln St  Boston  MA  02111,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,C,125 Lincoln St,2111.0,Address,264651.0,42.3514,-71.0586,Constituent Call,"(42.3514, -71.0586)"
489610,101001269185,02/03/2015 08:25:00 AM,02/06/2015 08:30:00 AM,,OVERDUE,Open,,Private Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Private Parking Lot Complaints,BTDT_Parking Lot_PrivateParkingLotComplaints,BTDT,,,800 Boylston St  Boston  MA  02199,4.0,1C,2.0,D4,Back Bay,6.0,04,402.0,,800 Boylston St,2199.0,Address,157244.0,42.3473,-71.0815,Constituent Call,"(42.3473, -71.0815)"
498999,101001283239,02/09/2015 12:12:53 PM,02/12/2015 12:12:53 PM,02/11/2015 10:35:47 AM,ONTIME,Closed,Case Closed Case Invalid No complaint stated,Private Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Private Parking Lot Complaints,BTDT_Parking Lot_PrivateParkingLotComplaints,BTDT,,,461 Walnut Ave  Jamaica Plain  MA  02130,9.0,02,7.0,E13,Jamaica Plain,11.0,11,1105.0,E,461 Walnut Ave,2130.0,Address,141960.0,42.3116,-71.0981,Constituent Call,"(42.3116, -71.0981)"
502972,101001288582,02/11/2015 01:40:00 PM,02/17/2015 01:40:06 PM,10/22/2015 05:41:47 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-22 17:41:47.99 Case Resolved Mr. Riccio was charged the appropriate overnight rate. The $1 rate only applies to South Boston residents when the Mayor declares a snow emergency.,Private Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Private Parking Lot Complaints,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,12 Dry Dock Ave  Boston  MA  02210,6.0,05,2.0,C6,Boston,5.0,06,601.0,E,12 Dry Dock Ave,2210.0,Address,341291.0,42.345,-71.0344,Constituent Call,"(42.345, -71.0344)"
541968,101001344671,03/30/2015 09:25:57 AM,04/02/2015 09:25:57 AM,03/30/2015 09:53:27 AM,ONTIME,Closed,Case Closed Case Resolved Parking facility is licensed by the City of Boston and therefore is operating legally,Private Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Private Parking Lot Complaints,BTDT_Parking Lot_PrivateParkingLotComplaints,BTDT,,,1350 Boylston St  Boston  MA  02215,4.0,10A,8.0,D4,Boston,14.0,05,,C,1350 Boylston St,2215.0,Address,18095.0,42.3438,-71.0995,Constituent Call,"(42.3438, -71.0995)"
552304,101001358924,04/17/2015 12:27:02 PM,04/23/2015 12:27:01 PM,04/23/2015 08:35:35 AM,ONTIME,Closed,Case Closed Case Invalid Not a City of Boston parking facility,Private Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Private Parking Lot Complaints,BTDT_Parking Lot_PrivateParkingLotComplaints,BTDT,,,12 Dade St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,09,904.0,,12 Dade St,2119.0,Address,351634.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
579401,101001408582,06/12/2015 02:11:00 PM,06/17/2015 02:11:00 PM,06/12/2015 02:12:44 PM,ONTIME,Closed,Case Closed. Closed date : 2015-06-12 14:12:44.977 Case Invalid,Private Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Private Parking Lot Complaints,BTDT_Parking Lot_PrivateParkingLotComplaints,BTDT,,,INTERSECTION of Allston St & Brighton Ave  Allston  MA,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2106.0,,INTERSECTION Allston St & Brighton Ave,,Intersection,323.0,42.3532,-71.1344,Employee Generated,"(42.3532, -71.1344)"
593731,101001429175,07/14/2015 12:50:00 PM,07/17/2015 12:50:10 PM,07/14/2015 03:00:09 PM,ONTIME,Closed,Case Closed. Closed date : 2015-07-14 15:00:09.073 Case Resolved Operator notified and verbal warning issued,Private Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Private Parking Lot Complaints,BTDT_Parking Lot_PrivateParkingLotComplaints,BTDT,,,326-330 Congress St  Boston  MA  02210,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,C,326-330 Congress St,2210.0,Address,42100.0,42.3512,-71.0493,Constituent Call,"(42.3512, -71.0493)"
617009,101001530114,08/25/2015 02:52:00 PM,08/28/2015 02:52:15 PM,,OVERDUE,Open,,Private Parking Lot Complaints,Transportation - Traffic Division,Parking Complaints,Private Parking Lot Complaints,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,20 Clinton St  Boston  MA  02109,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,301.0,C,20 Clinton St,2109.0,Address,163505.0,42.361,-71.0549,Constituent Call,"(42.361, -71.0549)"
