,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470938,101001242883,01/06/2015 09:31:45 AM,01/13/2015 09:31:45 AM,02/27/2015 03:14:00 PM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Protection of Adjoining Property,Inspectional Services,Building,Protection of Adjoining Property,ISD_Building (INTERNAL),ISD,,,329 W Fourth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,603.0,CM,329 W Fourth St,2127.0,Address,171584.0,42.3375,-71.0511,Constituent Call,"(42.3375, -71.0511)"
471130,101001243173,01/06/2015 02:30:33 PM,01/13/2015 02:30:33 PM,01/06/2015 03:04:32 PM,ONTIME,Closed,Case Closed Case Invalid No-E form,Protection of Adjoining Property,Inspectional Services,Building,Protection of Adjoining Property,ISD_Building (INTERNAL),ISD,,,108 Hammond St  Mission Hill  MA  02120,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,904.0,R3,108 Hammond St,2120.0,Address,68521.0,42.3369,-71.0839,Constituent Call,"(42.3369, -71.0839)"
471161,101001243215,01/06/2015 03:09:07 PM,01/13/2015 03:09:07 PM,01/12/2015 09:55:49 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Protection of Adjoining Property,Inspectional Services,Building,Protection of Adjoining Property,ISD_Building (INTERNAL),ISD,,,108 Hammond St  Mission Hill  MA  02120,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,904.0,R3,108 Hammond St,2120.0,Address,68521.0,42.3369,-71.0839,Constituent Call,"(42.3369, -71.0839)"
471417,101001243557,01/07/2015 10:51:29 AM,01/14/2015 10:51:29 AM,04/07/2015 11:35:57 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Protection of Adjoining Property,Inspectional Services,Building,Protection of Adjoining Property,ISD_Building (INTERNAL),ISD,,,INTERSECTION of E Berkeley St & Harrison Ave  Roxbury  MA,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,,INTERSECTION E Berkeley St & Harrison Ave,,Intersection,1370.0,42.3435,-71.0644,Constituent Call,"(42.3435, -71.0644)"
471419,101001243564,01/07/2015 11:01:44 AM,01/14/2015 11:01:43 AM,01/15/2015 09:48:16 AM,OVERDUE,Closed,Case Closed CORR: Corrected,Protection of Adjoining Property,Inspectional Services,Building,Protection of Adjoining Property,ISD_Building (INTERNAL),ISD,,,54 Willow St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2018.0,R1,54 Willow St,2132.0,Address,150304.0,42.2881,-71.1528,Constituent Call,"(42.2881, -71.1528)"
471676,101001243952,01/08/2015 08:42:07 AM,01/15/2015 08:42:07 AM,01/08/2015 10:24:10 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Protection of Adjoining Property,Inspectional Services,Building,Protection of Adjoining Property,ISD_Building (INTERNAL),ISD,,,200 Warren Ave  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 4,403.0,A,200 Warren Ave,2118.0,Address,328366.0,42.3435,-71.077,Constituent Call,"(42.3435, -71.077)"
472643,101001245325,01/10/2015 02:19:19 PM,01/20/2015 08:30:00 AM,01/14/2015 08:31:30 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Protection of Adjoining Property,Inspectional Services,Building,Protection of Adjoining Property,ISD_Building (INTERNAL),ISD,,,219 Lexington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,109.0,R3,219 Lexington St,2128.0,Address,85596.0,42.3796,-71.0318,Constituent Call,"(42.3796, -71.0318)"
472782,101001245544,01/11/2015 03:54:45 PM,01/20/2015 08:30:00 AM,01/14/2015 08:55:38 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Protection of Adjoining Property,Inspectional Services,Building,Protection of Adjoining Property,ISD_Building (INTERNAL),ISD,,,INTERSECTION of Bunker Hill St & Boswell Ln  Charlestown  MA,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,204.0,,INTERSECTION Bunker Hill St & Boswell Ln,,Intersection,2197.0,42.3782,-71.0602,Self Service,"(42.3782, -71.0602)"
473016,101001245870,01/12/2015 10:15:56 AM,01/20/2015 10:15:55 AM,01/15/2015 07:57:52 AM,ONTIME,Closed,Case Closed NOBASE: No Basis,Protection of Adjoining Property,Inspectional Services,Building,Protection of Adjoining Property,ISD_Building (INTERNAL),ISD,,,38 Baldwin St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,207.0,R1,38 Baldwin St,2129.0,Address,7879.0,42.3812,-71.0713,Constituent Call,"(42.3812, -71.0713)"
474055,101001247452,01/14/2015 03:57:50 PM,01/22/2015 03:57:50 PM,02/04/2015 10:34:08 AM,OVERDUE,Closed,Case Closed CORR: Corrected,Protection of Adjoining Property,Inspectional Services,Building,Protection of Adjoining Property,ISD_Building (INTERNAL),ISD,,,104 G St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,703.0,R2,104 G St,2127.0,Address,61559.0,42.3323,-71.044,Constituent Call,"(42.3323, -71.044)"
