,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
552864,101001359787,04/19/2015 02:03:30 PM,,,ONTIME,Open,,Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,209-213 Sumner St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,103.0,E,209-213 Sumner St,2128.0,Address,170108.0,42.3687,-71.0402,Constituent Call,"(42.3687, -71.0402)"
587612,101001420676,06/30/2015 02:47:00 PM,,,ONTIME,Open,,Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,198 Strathmore Rd  Brighton  MA  02135,11.0,04,9.0,D14,Brighton,15.0,21,2116.0,E,198 Strathmore Rd,2135.0,Address,131370.0,42.3401,-71.1547,Constituent Call,"(42.3401, -71.1547)"
596075,101001432229,07/17/2015 04:49:00 PM,,,ONTIME,Open,,Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,151 Tremont St  Boston  MA  02111,3.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,E,151 Tremont St,2111.0,Address,136988.0,42.3544,-71.0634,Constituent Call,"(42.3544, -71.0634)"
596350,101001432626,07/19/2015 12:39:00 PM,,,ONTIME,Open,,Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,148-150 Tremont St  Boston  MA  02111,3.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,C,148-150 Tremont St,2111.0,Address,136849.0,42.3548,-71.0631,Constituent Call,"(42.3548, -71.0631)"
599310,101001436740,07/26/2015 12:10:00 AM,,,ONTIME,Open,,Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,1 Morrell St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2016.0,CL,1 Morrell St,2132.0,Address,97474.0,42.2737,-71.1693,Constituent Call,"(42.2737, -71.1693)"
606559,101001516523,08/08/2015 11:13:00 PM,,,ONTIME,Open,,Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Battery St & Hanover St  Boston  MA,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,301.0,,INTERSECTION Battery St & Hanover St,,Intersection,1017.0,42.3662,-71.0528,Constituent Call,"(42.3662, -71.0528)"
629522,101001577721,09/14/2015 10:56:00 AM,,,ONTIME,Open,,Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,1195 Centre St  Roslindale  MA  02131,9.0,02,6.0,E5,West Roxbury,12.0,Ward 20,2006.0,,1195 Centre St,2131.0,Address,157484.0,42.2989,-71.1298,Constituent Call,"(42.2989, -71.1298)"
640668,101001603780,10/02/2015 04:01:00 PM,,,ONTIME,Open,,Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,270 Mount Vernon St  Dorchester  MA  02125,6.0,03,3.0,C6,Dorchester,7.0,Ward 13,1303.0,A,270 Mount Vernon St,2125.0,Address,156264.0,42.3191,-71.0451,Constituent Call,"(42.3191, -71.0451)"
644905,101001610138,10/12/2015 01:25:00 PM,,,ONTIME,Open,,Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Beacon St & Charles St  Boston  MA,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,503.0,,INTERSECTION Beacon St & Charles St,,Intersection,1106.0,42.3562,-71.0694,Constituent Call,"(42.3562, -71.0694)"
647972,101001614551,10/18/2015 04:11:00 AM,,,ONTIME,Open,,Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,48 Winter St  Boston  MA  02111,3.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,C,48 Winter St,2111.0,Address,155968.0,42.3559,-71.0619,Constituent Call,"(42.3559, -71.0619)"
