,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469734,101001241138,01/02/2015 10:30:05 AM,,03/27/2015 02:32:30 PM,ONTIME,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001343742 for status of the request.,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling Cart Inquiry,PWDx,,,15 W Selden St  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1802.0,R2,15 W Selden St,2126.0,Address,308666.0,42.2801,-71.0837,Constituent Call,"(42.2801, -71.0837)"
469847,101001241300,01/02/2015 12:51:07 PM,,03/27/2015 12:26:20 PM,ONTIME,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001343530 for status of the request.,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling Cart Inquiry,PWDx,,,40 Shirley St  Roxbury  MA  02119,7.0,03,7.0,B2,Roxbury,13.0,Ward 8,805.0,R2,40 Shirley St,2119.0,Address,127204.0,42.3239,-71.0719,Constituent Call,"(42.3239, -71.0719)"
470555,101001242336,01/05/2015 11:10:23 AM,,03/31/2015 09:47:31 AM,ONTIME,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001345652 for status of the request.,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling Cart Inquiry,PWDx,,,34-36 Lenoxdale Ave  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1612.0,R2,34-36 Lenoxdale Ave,2124.0,Address,85096.0,42.281,-71.054,Constituent Call,"(42.281, -71.054)"
471416,101001243556,01/07/2015 10:51:24 AM,,09/24/2015 10:58:02 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-24 10:58:02.41 Case Noted please call back if cart is still needed,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling,PWDx,,,95 Parkton Rd  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,R1,95 Parkton Rd,2130.0,Address,108213.0,42.3217,-71.1148,Constituent Call,"(42.3217, -71.1148)"
471448,101001243602,01/07/2015 11:44:20 AM,,03/27/2015 02:53:22 PM,ONTIME,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001343772 for status of the request.,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling Cart Inquiry,PWDx,,,10 Gleason St  Dorchester  MA  02121,7.0,03,4.0,B3,Greater Mattapan,8.0,14,1402.0,,10 Gleason St,2121.0,Address,352000.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
471455,101001243609,01/07/2015 11:47:15 AM,,03/27/2015 03:00:22 PM,ONTIME,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001343786 for status of the request.,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling Cart Inquiry,PWDx,,,10 Gleason St  Dorchester  MA  02121,7.0,03,4.0,B3,Greater Mattapan,8.0,14,1402.0,,10 Gleason St,2121.0,Address,352000.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
471551,101001243777,01/07/2015 03:22:42 PM,,03/20/2015 08:58:35 AM,ONTIME,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001337987 for status of the request.,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling Cart Inquiry,PWDx,,,251 Commonwealth Ave  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,508.0,R4,251 Commonwealth Ave,2116.0,Address,216562.0,42.3509,-71.0834,Constituent Call,"(42.3509, -71.0834)"
471570,101001243804,01/07/2015 03:56:12 PM,,03/20/2015 09:03:11 AM,ONTIME,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001337995 for status of the request.,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling Cart Inquiry,PWDx,,,4 Kemble Pl  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,607.0,R1,4 Kemble Pl,2127.0,Address,81023.0,42.3378,-71.0275,Constituent Call,"(42.3378, -71.0275)"
471905,101001244267,01/08/2015 01:03:31 PM,,03/20/2015 09:48:04 AM,ONTIME,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001338070 for status of the request.,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling Cart Inquiry,PWDx,,,263 Webster St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,101.0,R3,263 Webster St,2128.0,Address,333577.0,42.3646,-71.0313,Constituent Call,"(42.3646, -71.0313)"
472034,101001244449,01/08/2015 04:18:00 PM,09/20/2015 12:00:00 AM,09/22/2015 09:10:11 AM,OVERDUE,Closed,Case Closed Duplicate of Existing Case  already delivered,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling,PWDx,,,12 Riley Rd  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1820.0,R1,12 Riley Rd,2136.0,Address,116076.0,42.2369,-71.1289,Constituent Call,"(42.2369, -71.1289)"
472282,101001244799,01/09/2015 10:50:37 AM,,09/24/2015 10:57:41 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-24 10:57:41.803 Case Noted please call back if cart is still needed,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling,PWDx,,,23 Abbot St  Dorchester  MA  02124,7.0,03,4.0,B3,Greater Mattapan,9.0,Ward 14,1409.0,R3,23 Abbot St,2124.0,Address,79.0,42.2966,-71.086,Constituent Call,"(42.2966, -71.086)"
472987,101001245827,01/12/2015 09:47:57 AM,,09/24/2015 10:57:15 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-24 10:57:15.19 Case Noted please call back if cart is still needed,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling,PWDx,,,70-72 Mount Vernon St  Boston  MA  02108,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,503.0,CM,70-72 Mount Vernon St,2108.0,Address,98679.0,42.358,-71.0677,Constituent Call,"(42.358, -71.0677)"
473138,101001246093,01/12/2015 01:42:58 PM,,09/24/2015 10:56:54 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-24 10:56:54.007 Case Noted please call back if cart is still needed,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling,PWDx,,,6 Ruthven St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1208.0,R2,6 Ruthven St,2121.0,Address,302585.0,42.3144,-71.0932,Constituent Call,"(42.3144, -71.0932)"
473199,101001246199,01/12/2015 04:23:13 PM,,03/27/2015 01:44:29 PM,ONTIME,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001343638 for status of the request.,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling Cart Inquiry,PWDx,,,15 Grayson St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1612.0,R1,15 Grayson St,2124.0,Address,66131.0,42.2828,-71.0505,Constituent Call,"(42.2828, -71.0505)"
473500,101001246638,01/13/2015 12:45:33 PM,,04/28/2015 10:21:21 AM,ONTIME,Closed,Case Closed Duplicate of Existing Case  reference # 101001354777,Recycling Cart Inquiry,Public Works Department,Recycling,Recycling Cart Inquiry,PWDx_Recycling,PWDx,,,25 Brinsley St  Dorchester  MA  02121,7.0,03,4.0,C11,Roxbury,8.0,Ward 14,1404.0,R3,25 Brinsley St,2121.0,Address,20431.0,42.3055,-71.0784,Constituent Call,"(42.3055, -71.0784)"
