,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470959,101001242913,01/06/2015 09:48:19 AM,01/21/2015 09:48:19 AM,01/06/2015 09:48:23 AM,ONTIME,Closed,Case Closed Case Resolved Created Request for Recycling Bin,Recycling Cart Return,Public Works Department,Recycling,Recycling Cart Return,PWDx_IPL Damaged Cart Replacement,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54abf5b1d052065cdb4cf231/photo/Report.jpg,,93 N St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,608.0,R1,93 N St,2127.0,Address,100152.0,42.3352,-71.0315,City Worker App,"(42.3352, -71.0315)"
473481,101001246610,01/13/2015 12:10:30 PM,01/28/2015 12:10:30 PM,01/13/2015 12:10:34 PM,ONTIME,Closed,Case Closed Case Resolved Created Request for Recycling Bin,Recycling Cart Return,Public Works Department,Recycling,Recycling Cart Return,PWDx_IPL Damaged Cart Replacement,PWDx,,,9 Stanton St  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,17,1707.0,E,9 Stanton St,2124.0,Address,130247.0,42.2829,-71.0787,City Worker App,"(42.2829, -71.0787)"
473513,101001246654,01/13/2015 01:05:09 PM,01/28/2015 01:05:09 PM,01/13/2015 01:05:13 PM,ONTIME,Closed,Case Closed Case Resolved Created Request for Recycling Bin,Recycling Cart Return,Public Works Department,Recycling,Recycling Cart Return,PWDx_IPL Damaged Cart Replacement,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54b55e52d052065cdb4d20c7/photo/Report.jpg,,134 Redlands Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2020.0,R2,134 Redlands Rd,2132.0,Address,297758.0,42.2912,-71.1543,City Worker App,"(42.2912, -71.1543)"
476439,101001250737,01/21/2015 07:49:55 AM,02/04/2015 08:30:00 AM,01/21/2015 07:50:04 AM,ONTIME,Closed,Case Closed Case Resolved Created Request for Recycling Bin,Recycling Cart Return,Public Works Department,Recycling,Recycling Cart Return,PWDx_IPL Damaged Cart Replacement,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54bfa071d052fe3c4d00f4eb/photo/Report.jpg,,524 E Fifth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,606.0,R1,524 E Fifth St,2127.0,Address,57847.0,42.334,-71.0395,City Worker App,"(42.334, -71.0395)"
476739,101001251220,01/21/2015 01:53:31 PM,02/04/2015 01:53:30 PM,01/21/2015 01:53:35 PM,ONTIME,Closed,Case Closed Case Resolved Created Request for Recycling Bin,Recycling Cart Return,Public Works Department,Recycling,Recycling Cart Return,PWDx_IPL Damaged Cart Replacement,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54bff5a5d052fe3c4d01012f/photo/Report.jpg,,81 Devon St  Dorchester  MA  02121,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1401.0,R3,81 Devon St,2121.0,Address,223902.0,42.3096,-71.0795,City Worker App,"(42.3096, -71.0795)"
477430,101001252329,01/23/2015 08:47:59 AM,02/06/2015 08:47:59 AM,01/23/2015 08:48:04 AM,ONTIME,Closed,Case Closed Case Resolved Created Request for Recycling Bin,Recycling Cart Return,Public Works Department,Recycling,Recycling Cart Return,PWDx_IPL Damaged Cart Replacement,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54c2510ad0522e4ef0e339ea/photo/Report.jpg,,INTERSECTION of Farnham St & Reading St  Roxbury  MA,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,803.0,,INTERSECTION Farnham St & Reading St,,Intersection,4807.0,42.3304,-71.074,City Worker App,"(42.3304, -71.074)"
477434,101001252332,01/23/2015 08:49:24 AM,02/06/2015 08:49:24 AM,01/23/2015 08:49:27 AM,ONTIME,Closed,Case Closed Case Resolved Created Request for Recycling Bin,Recycling Cart Return,Public Works Department,Recycling,Recycling Cart Return,PWDx_IPL Damaged Cart Replacement,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54c25160d0522e4ef0e339fc/photo/Report.jpg,,11-13 Farnham St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,803.0,CL,11-13 Farnham St,2119.0,Address,56382.0,42.3304,-71.0742,City Worker App,"(42.3304, -71.0742)"
477589,101001252581,01/23/2015 11:41:05 AM,02/06/2015 11:41:05 AM,02/17/2015 03:46:40 PM,OVERDUE,Closed,Case Closed Case Resolved,Recycling Cart Return,Public Works Department,Recycling,Recycling Cart Return,PWDx_Recycling,PWDx,,,56 Marion St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,107.0,R1,56 Marion St,2128.0,Address,90050.0,42.379,-71.0377,Constituent Call,"(42.379, -71.0377)"
504438,101001290817,02/12/2015 10:28:20 AM,02/27/2015 10:28:20 AM,05/04/2015 03:17:58 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-05-04 15:17:58.227 Case Resolved NO CART OUT 05/04/2015,Recycling Cart Return,Public Works Department,Recycling,Recycling Cart Return,PWDx_IPL Damaged Cart Replacement,PWDx,,,34 Shelby St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,R4,34 Shelby St,2128.0,Address,126636.0,42.3802,-71.0273,Constituent Call,"(42.3802, -71.0273)"
513899,101001303637,02/18/2015 09:55:10 AM,02/25/2015 09:55:09 AM,02/18/2015 09:55:16 AM,ONTIME,Closed,Case Closed Case Resolved Created Request for Recycling Bin,Recycling Cart Return,Public Works Department,Recycling,Recycling Cart Return,PWDx_IPL Damaged Cart Replacement,PWDx,,,140 Reservation Rd  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,18,1819.0,,140 Reservation Rd,2136.0,Address,347352.0,42.3594,-71.0587,City Worker App,"(0, 0)"
