,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
473772,101001247024,01/14/2015 08:55:40 AM,04/14/2015 08:55:40 AM,,OVERDUE,Open,,Rental Unit Delivery Conditions,Inspectional Services,Housing,Rental Unit Delivery Conditions,ISD_Housing (INTERNAL),ISD,,,72 Ashford St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2104.0,R4,72 Ashford St,2134.0,Address,179785.0,42.3545,-71.125,Self Service,"(42.3545, -71.125)"
530619,101001328627,03/10/2015 09:20:45 AM,06/08/2015 09:20:44 AM,03/10/2015 09:21:34 AM,ONTIME,Closed,Case Closed Case Noted Case made under different service request type,Rental Unit Delivery Conditions,Inspectional Services,Housing,Rental Unit Delivery Conditions,ISD_Housing (INTERNAL),ISD,,,31 Browning Ave  Dorchester  MA  02124,8.0,03,4.0,B3,Greater Mattapan,8.0,Ward 14,1407.0,R4,31 Browning Ave,2124.0,Address,198761.0,42.2942,-71.0822,Constituent Call,"(42.2942, -71.0822)"
545190,101001349135,04/03/2015 08:13:01 PM,07/02/2015 08:13:01 PM,,OVERDUE,Open,,Rental Unit Delivery Conditions,Inspectional Services,Housing,Rental Unit Delivery Conditions,ISD_Housing (INTERNAL),ISD,,,886 Huntington Ave  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,11.0,Ward 10,1008.0,A,886 Huntington Ave,2120.0,Address,256352.0,42.3322,-71.1114,Self Service,"(42.3322, -71.1114)"
554683,101001362275,04/23/2015 10:52:56 AM,07/22/2015 10:52:56 AM,,OVERDUE,Open,,Rental Unit Delivery Conditions,Inspectional Services,Housing,Rental Unit Delivery Conditions,ISD_Housing (INTERNAL),ISD,,,68 Hillside St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1005.0,R3,68 Hillside St,2120.0,Address,74258.0,42.3301,-71.1021,Constituent Call,"(42.3301, -71.1021)"
554699,101001362295,04/23/2015 11:01:19 AM,07/22/2015 11:01:19 AM,,OVERDUE,Open,,Rental Unit Delivery Conditions,Inspectional Services,Housing,Rental Unit Delivery Conditions,ISD_Housing (INTERNAL),ISD,,,15 Briarcliff Ter  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1804.0,R2,15 Briarcliff Ter,2126.0,Address,160891.0,42.2711,-71.0864,Constituent Call,"(42.2711, -71.0864)"
555407,101001363297,04/24/2015 02:22:54 PM,07/23/2015 02:22:54 PM,,OVERDUE,Open,,Rental Unit Delivery Conditions,Inspectional Services,Housing,Rental Unit Delivery Conditions,ISD_Housing (INTERNAL),ISD,,,4-4A Maynard St  Roslindale  MA  02131,12.0,08,5.0,E18,Roslindale,10.0,Ward 18,1809.0,R2,4-4A Maynard St,2131.0,Address,93292.0,42.2765,-71.1244,Constituent Call,"(42.2765, -71.1244)"
556523,101001364885,04/27/2015 03:53:07 PM,07/26/2015 03:53:07 PM,,OVERDUE,Open,,Rental Unit Delivery Conditions,Inspectional Services,Housing,Rental Unit Delivery Conditions,ISD_Housing (INTERNAL),ISD,,,7 Moraine St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1903.0,R2,7 Moraine St,2130.0,Address,97330.0,42.3199,-71.1122,Constituent Call,"(42.3199, -71.1122)"
557820,101001366665,04/29/2015 03:00:05 PM,07/28/2015 03:00:05 PM,,OVERDUE,Open,,Rental Unit Delivery Conditions,Inspectional Services,Housing,Rental Unit Delivery Conditions,ISD_Housing (INTERNAL),ISD,,,4 Lorraine Ter  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2109.0,A,4 Lorraine Ter,2134.0,Address,266481.0,42.3478,-71.1389,Self Service,"(42.3478, -71.1389)"
559839,101001369724,05/04/2015 02:38:00 PM,08/02/2015 02:38:20 PM,,OVERDUE,Open,,Rental Unit Delivery Conditions,Inspectional Services,Housing,Rental Unit Delivery Conditions,ISD_Housing (INTERNAL),ISD,,,6 Ridgewood St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1507.0,R3,6 Ridgewood St,2122.0,Address,298705.0,42.3019,-71.0673,Constituent Call,"(42.3019, -71.0673)"
562362,101001373483,05/08/2015 01:26:00 PM,08/06/2015 01:26:03 PM,,OVERDUE,Open,,Rental Unit Delivery Conditions,Inspectional Services,Housing,Rental Unit Delivery Conditions,ISD_Housing (INTERNAL),ISD,,,31 Jacob St  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1413.0,R1,31 Jacob St,2124.0,Address,79204.0,42.2856,-71.0837,Constituent Call,"(42.2856, -71.0837)"
