,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469816,101001241258,01/02/2015 11:52:36 AM,02/02/2015 11:52:36 AM,03/27/2015 02:22:22 PM,OVERDUE,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001343718 for status of the request.,Recyling Cart Inquiry,Public Works Department,Recycling,Request for Recycling Cart,PWDx_Recycling Cart Inquiry,PWDx,,,23-25 Holman St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2201.0,R2,23-25 Holman St,2134.0,Address,74773.0,42.359,-71.1298,Constituent Call,"(42.359, -71.1298)"
469915,101001241407,01/02/2015 02:43:01 PM,05/27/2015 02:43:00 PM,05/12/2015 12:15:11 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-12 12:15:11.053 Case Resolved cart requested filled new cart # 0415302938 05/11/2015,Recycling Cart Inquiry,Public Works Department,Recycling,Request for Recycling Cart,PWDx_Recycling,PWDx,,,195 South St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1110.0,CD,195 South St,2130.0,Address,128772.0,42.3034,-71.1149,Self Service,"(42.3034, -71.1149)"
470011,101001241568,01/02/2015 10:21:50 PM,02/03/2015 08:30:00 AM,03/27/2015 12:29:51 PM,OVERDUE,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001343535 for status of the request.,Recycling Cart Inquiry,Public Works Department,Recycling,Request for Recycling Cart,PWDx_Recycling Cart Inquiry,PWDx,,,28 Hawthorne St  Roxbury  MA  02119,9.0,10B,7.0,B2,Roxbury,13.0,Ward 11,1102.0,R3,28 Hawthorne St,2119.0,Address,158952.0,42.3241,-71.0917,Self Service,"(42.3241, -71.0917)"
470099,101001241691,01/03/2015 02:53:48 PM,02/03/2015 08:30:00 AM,03/27/2015 12:31:38 PM,OVERDUE,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001343540 for status of the request.,recycling Cart Inquiry,Public Works Department,Recycling,Request for Recycling Cart,PWDx_Recycling Cart Inquiry,PWDx,,,209 D St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,603.0,CM,209 D St,2127.0,Address,45453.0,42.3376,-71.052,Self Service,"(42.3376, -71.052)"
470263,101001241909,01/04/2015 12:17:01 PM,02/03/2015 08:30:00 AM,01/09/2015 02:42:35 PM,ONTIME,Closed,Case Closed Case Resolved Cart was dropped off by PWD inspector.,Request for Recycling Cart,Public Works Department,Recycling,Request for Recycling Cart,PWDx_Recycling,PWDx,,,16-18 Donnybrook Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2210.0,R2,16-18 Donnybrook Rd,2135.0,Address,48047.0,42.3541,-71.1592,Self Service,"(42.3541, -71.1592)"
470305,101001241969,01/04/2015 05:40:40 PM,05/27/2015 08:30:00 AM,05/01/2015 01:08:36 PM,ONTIME,Closed,Case Closed Case Resolved cart requested filled new cart#0714423704 04/30/2015,Recycling Cart Inquiry,Public Works Department,Recycling,Request for Recycling Cart,PWDx_Recycling,PWDx,,,40 Dennison St  Roxbury  MA  02119,9.0,10B,7.0,B2,Roxbury,13.0,11,1103.0,,40 Dennison St,2119.0,Address,345970.0,42.3594,-71.0587,Self Service,"(0, 0)"
470642,101001242457,01/05/2015 01:36:50 PM,02/03/2015 01:36:50 PM,04/23/2015 11:50:38 AM,OVERDUE,Closed,Case Closed Case Resolved request filled new cart # 0714423823 04/17/2015,Recycling Cart Inquiry,Public Works Department,Recycling,Request for Recycling Cart,PWDx_Recycling Cart Inquiry,PWDx,,,36 Dudley St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 9,905.0,R1,36 Dudley St,2119.0,Address,49711.0,42.3295,-71.0884,Self Service,"(42.3295, -71.0884)"
470774,101001242650,01/05/2015 05:30:18 PM,02/04/2015 08:30:00 AM,03/27/2015 02:45:54 PM,OVERDUE,Closed,Case Closed Case Resolved This request has been approved. Request for Recycling Cart has been created. See case #101001343759 for status of the request.,Recycling Cart Inquiry,Public Works Department,Recycling,Request for Recycling Cart,PWDx_Recycling Cart Inquiry,PWDx,,,33 Sackville St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,205.0,R1,33 Sackville St,2129.0,Address,120391.0,42.3815,-71.0643,Self Service,"(42.3815, -71.0643)"
470960,101001242914,01/06/2015 09:48:21 AM,02/04/2015 09:48:21 AM,05/12/2015 02:27:51 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-05-12 14:27:51.1 Case Resolved no broken cart out 5/12/2015,Request for Recycling Cart,Public Works Department,Recycling,Request for Recycling Cart,PWDx_IPL Damaged Cart Replacement,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54abf5b4d052556a652f2f5d/photo/Report.jpg,,796 E Fourth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,608.0,R1,796 E Fourth St,2127.0,Address,59994.0,42.335,-71.0314,City Worker App,"(42.335, -71.0314)"
471012,101001242986,01/06/2015 10:44:34 AM,02/04/2015 10:44:33 AM,03/27/2015 02:48:00 PM,OVERDUE,Closed,Case Closed Case Resolved Already recieved a cart,Recycling Cart Inquiry,Public Works Department,Recycling,Request for Recycling Cart,PWDx_Recycling Cart Inquiry,PWDx,,,35 Parkton Rd  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,R3,35 Parkton Rd,2130.0,Address,290963.0,42.3226,-71.1141,Self Service,"(42.3226, -71.1141)"
