,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
472454,101001245060,01/09/2015 02:42:37 PM,,01/14/2015 09:43:30 AM,ONTIME,Closed,Case Closed Case Resolved filled tree pit,Roadway Repair,Public Works Department,Highway Maintenance,Roadway Repair,PWDx_Highway Construction,PWDx,,https://cityworker.cityofboston.gov:8443/attachments/report/54b02f32d052affa7e49dca4/closed_photo/Report.jpg,20-38 Sojourner Truth Ct  Mission Hill  MA  02120,9.0,10B,7.0,B2,Roxbury,13.0,09,904.0,,20-38 Sojourner Truth Ct,2120.0,Address,344023.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
476085,101001250192,01/20/2015 10:52:04 AM,,01/20/2015 11:02:09 AM,ONTIME,Closed,Case Closed Case Invalid Opened in Error,Roadway Repair,Public Works Department,Highway Maintenance,Roadway Repair,PWDx_Roadway Repair,PWDx,,,150 Byron St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,112.0,E,150 Byron St,2128.0,Address,24584.0,42.3832,-71.0151,Constituent Call,"(42.3832, -71.0151)"
477265,101001252048,01/22/2015 03:11:49 PM,,10/13/2015 01:09:49 PM,ONTIME,Closed,Case Closed. Closed date : 2015-10-13 13:09:49.353 Case Noted A City Engineer has inspected your street resurfacing request and indicated that it meets the criteria for asphalt resurfacing.  This street has been submitted to the utility companies for review and clearance.  Pending the clearance process your street will be scheduled for resurfacing within the next two construction seasons.  If you have any further questions concerning the resurfacing you can contact the Construction Management Division of Public Works at 617-635-4950.  Sincerely   Kevin Linskey Senior Civil Engineer Boston Public Works Department 617-635-4951 Office,Roadway Repair,Public Works Department,Highway Maintenance,Roadway Repair,PWDx_Roadway Repair,PWDx,,,51 Ledge Hill Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2016.0,R1,51 Ledge Hill Rd,2132.0,Address,84787.0,42.2721,-71.1685,Constituent Call,"(42.2721, -71.1685)"
488218,101001267576,02/02/2015 01:59:02 PM,,10/13/2015 12:36:12 PM,ONTIME,Closed,Case Closed. Closed date : 2015-10-13 12:36:12.24 Case Resolved The City engineers have determined your street is a private way.  The PWD cannot perform any patching or resurfacing on a private way.  Any patching or resurfacing to be done on a  private way is the responsibility of the property owners.  Sincerely   Kevin Linskey Senior Civil Engineer Boston Public Works Department 617-635-4951 Office,Roadway Repair,Public Works Department,Highway Maintenance,Roadway Repair,PWDx_Roadway Repair,PWDx,,,10 Noyes Pl  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,304.0,R2,10 Noyes Pl,2113.0,Address,104293.0,42.3651,-71.056,Constituent Call,"(42.3651, -71.056)"
496519,101001279431,02/06/2015 08:32:00 AM,,,ONTIME,Open,,Roadway Repair,Public Works Department,Highway Maintenance,Roadway Repair,PWDx_Roadway Repair,PWDx,,,11-17 Bennington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,106.0,C,11-17 Bennington St,2128.0,Address,14563.0,42.375,-71.0382,Constituent Call,"(42.375, -71.0382)"
497818,101001281512,02/07/2015 11:15:01 AM,,,ONTIME,Open,,Roadway Repair,Public Works Department,Highway Maintenance,Roadway Repair,PWDx_Roadway Repair,PWDx,,,33-35 Fayston St  Dorchester  MA  02121,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1401.0,R3,33-35 Fayston St,2121.0,Address,57052.0,42.3131,-71.0776,Constituent Call,"(42.3131, -71.0776)"
506149,101001293364,02/13/2015 11:43:46 AM,,10/14/2015 01:23:40 PM,ONTIME,Closed,Case Closed. Closed date : 2015-10-14 13:23:40.627 Case Noted A City Engineer has inspected this Street and indicates it meets the criteria for asphalt resurfacing.  The street has been submitted to the utility companies for review and clearance. Pending the clearance process  it will be scheduled for resurfacing within the next two construction seasons.  Any further questions concerning the resurfacing can be directed to the Construction Management Division of Public Works at 617-635-4950.  Sincerely    Kevin Linskey  Senior Civil Engineer  Boston Public Works Department  617-635-4951 Office,Roadway Repair,Public Works Department,Highway Maintenance,Roadway Repair,PWDx_Roadway Repair,PWDx,,,INTERSECTION of Washington St & Marvin St  Roxbury  MA,7.0,10B,7.0,B2,Roxbury,13.0,Ward 9,905.0,,INTERSECTION Washington St & Marvin St,,Intersection,6037.0,42.3299,-71.0845,Maximo Integration,"(42.3299, -71.0845)"
507384,101001295130,02/14/2015 03:17:27 PM,,10/14/2015 01:13:46 PM,ONTIME,Closed,Case Closed. Closed date : 2015-10-14 13:13:46.213 Case Noted A City Engineer has inspected this Street and indicates it meets the criteria for asphalt resurfacing.  The street has been submitted to the utility companies for review and clearance. Pending the clearance process  it will be scheduled for resurfacing within the next two construction seasons.  Any further questions concerning the resurfacing can be directed to the Construction Management Division of Public Works at 617-635-4950.  Sincerely    Kevin Linskey  Senior Civil Engineer  Boston Public Works Department  617-635-4951 Office,Roadway Repair,Public Works Department,Highway Maintenance,Roadway Repair,PWDx_Roadway Repair,PWDx,,,81 O St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,608.0,R1,81 O St,2127.0,Address,104450.0,42.3354,-71.0294,Constituent Call,"(42.3354, -71.0294)"
516166,101001307049,02/19/2015 02:57:02 PM,,,ONTIME,Open,,Roadway Repair,Public Works Department,Highway Maintenance,Roadway Repair,PWDx_Roadway Repair,PWDx,,,INTERSECTION of Dorchester St & W Third St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,604.0,,INTERSECTION Dorchester St & W Third St,,Intersection,4214.0,42.3362,-71.0446,Constituent Call,"(42.3362, -71.0446)"
519174,101001311494,02/23/2015 07:50:19 AM,,10/14/2015 01:21:53 PM,ONTIME,Closed,Case Closed. Closed date : 2015-10-14 13:21:53.683 Case Noted A City Engineer has inspected this Street and indicates it meets the criteria for asphalt resurfacing.  The street has been submitted to the utility companies for review and clearance. Pending the clearance process  it will be scheduled for resurfacing within the next two construction seasons.  Any further questions concerning the resurfacing can be directed to the Construction Management Division of Public Works at 617-635-4950.  Sincerely    Kevin Linskey  Senior Civil Engineer  Boston Public Works Department  617-635-4951 Office,Roadway Repair,Public Works Department,Highway Maintenance,Roadway Repair,PWDx_Roadway Repair,PWDx,,,30-32 Fayston St  Dorchester  MA  02121,7.0,03,7.0,B2,Roxbury,13.0,Ward 13,1301.0,R2,30-32 Fayston St,2121.0,Address,57051.0,42.3134,-71.0775,Constituent Call,"(42.3134, -71.0775)"
