,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469466,101001240760,01/01/2015 08:48:34 AM,,01/07/2015 04:36:11 PM,ONTIME,Closed,Case Closed Bulk Item Automation,Schedule Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup SS,PWDx_Schedule a Bulk Item Pickup,PWDx,,,18 Harvard St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,201.0,CD,18 Harvard St,2129.0,Address,70468.0,42.3722,-71.0632,Self Service,"(42.3722, -71.0632)"
469483,101001240783,01/01/2015 10:52:25 AM,,01/03/2015 04:36:22 PM,ONTIME,Closed,Case Closed Bulk Item Automation,Schedule Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup SS,PWDx_Schedule a Bulk Item Pickup,PWDx,,,14 Bolster St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,R3,14 Bolster St,2130.0,Address,159642.0,42.3222,-71.1055,Self Service,"(42.3222, -71.1055)"
469487,101001240789,01/01/2015 11:13:08 AM,,01/08/2015 04:36:45 PM,ONTIME,Closed,Case Closed Bulk Item Automation,Schedule Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup SS,PWDx_Schedule a Bulk Item Pickup,PWDx,,,641 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,111.0,R2,641 Saratoga St,2128.0,Address,122735.0,42.3821,-71.0212,Self Service,"(42.3821, -71.0212)"
469494,101001240799,01/01/2015 12:06:45 PM,,01/08/2015 04:36:49 PM,ONTIME,Closed,Case Closed Bulk Item Automation,Schedule Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup SS,PWDx_Schedule a Bulk Item Pickup,PWDx,,,52 O St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,607.0,CD,52 O St,2127.0,Address,104422.0,42.3367,-71.0291,Self Service,"(42.3367, -71.0291)"
469539,101001240855,01/01/2015 04:12:08 PM,,01/06/2015 04:36:38 PM,ONTIME,Closed,Case Closed Bulk Item Automation,Schedule Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup SS,PWDx_Schedule a Bulk Item Pickup,PWDx,,,5 Appleton St  Boston  MA  02116,4.0,1C,2.0,D4,South End,6.0,Ward 5,501.0,CD,5 Appleton St,2116.0,Address,4035.0,42.3467,-71.0698,Self Service,"(42.3467, -71.0698)"
469546,101001240864,01/01/2015 05:17:34 PM,,01/09/2015 04:35:20 PM,ONTIME,Closed,Case Closed Bulk Item Automation,Schedule Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup SS,PWDx_Schedule a Bulk Item Pickup,PWDx,,,62 Brookside Ave  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1106.0,R3,62 Brookside Ave,2130.0,Address,22620.0,42.3126,-71.1038,Self Service,"(42.3126, -71.1038)"
469559,101001240884,01/01/2015 07:37:34 PM,,01/08/2015 04:37:00 PM,ONTIME,Closed,Case Closed Bulk Item Automation,Schedule Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup SS,PWDx_Schedule a Bulk Item Pickup,PWDx,,,60 Hillock St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 20,2008.0,R1,60 Hillock St,2131.0,Address,74087.0,42.2832,-71.1401,Self Service,"(42.2832, -71.1401)"
469561,101001240887,01/01/2015 08:32:16 PM,,01/05/2015 04:37:36 PM,ONTIME,Closed,Case Closed Bulk Item Automation,Schedule Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup SS,PWDx_Schedule a Bulk Item Pickup,PWDx,,,96 Vermont St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2012.0,R1,96 Vermont St,2132.0,Address,140063.0,42.2885,-71.1634,Self Service,"(42.2885, -71.1634)"
469563,101001240889,01/01/2015 08:57:33 PM,,01/05/2015 04:37:39 PM,ONTIME,Closed,Case Closed Bulk Item Automation,Schedule Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup SS,PWDx_Schedule a Bulk Item Pickup,PWDx,,,1 Unity St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,302.0,R4,1 Unity St,2113.0,Address,139416.0,42.3665,-71.0538,Self Service,"(42.3665, -71.0538)"
469575,101001240906,01/02/2015 06:16:21 AM,,01/05/2015 04:37:46 PM,ONTIME,Closed,Case Closed Bulk Item Automation,Schedule Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup SS,PWDx_Schedule a Bulk Item Pickup,PWDx,,,78 Loring St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1817.0,R1,78 Loring St,2136.0,Address,87332.0,42.2463,-71.1227,Self Service,"(42.2463, -71.1227)"
