,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470954,101001242907,01/06/2015 09:44:11 AM,01/07/2015 09:44:11 AM,01/06/2015 09:51:53 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Short Measure - Gas,Inspectional Services,Weights and Measures,Short Measure - Gas,ISD_Weights and Measures (INTERNAL),ISD,,,264 Neponset Valley Pkwy  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1820.0,C,264 Neponset Valley Pkwy,2136.0,Address,100975.0,42.2364,-71.1277,Constituent Call,"(42.2364, -71.1277)"
475965,101001250003,01/20/2015 08:56:34 AM,01/21/2015 08:56:33 AM,01/22/2015 09:00:59 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Short Measure - Gas,Inspectional Services,Weights and Measures,Short Measure - Gas,ISD_Weights and Measures (INTERNAL),ISD,,,23 Folsom St  Dorchester  MA  02125,7.0,03,7.0,B2,Roxbury,13.0,Ward 13,1302.0,R1,23 Folsom St,2125.0,Address,59152.0,42.3186,-71.072,Constituent Call,"(42.3186, -71.072)"
477245,101001252013,01/22/2015 02:37:21 PM,01/23/2015 02:37:20 PM,02/02/2015 10:48:04 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Short Measure - Gas,Inspectional Services,Weights and Measures,Short Measure - Gas,ISD_Weights and Measures (INTERNAL),ISD,,,INTERSECTION of Geneva Ave & Park St  Dorchester  MA,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1601.0,,INTERSECTION Geneva Ave & Park St,,Intersection,5261.0,42.2981,-71.0625,Constituent Call,"(42.2981, -71.0625)"
518128,101001309832,02/21/2015 10:29:16 AM,02/24/2015 08:30:00 AM,02/23/2015 08:32:10 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Short Measure - Gas,Inspectional Services,Weights and Measures,Short Measure - Gas,ISD_Weights and Measures (INTERNAL),ISD,,,269 Bolton St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,604.0,CD,269 Bolton St,2127.0,Address,16866.0,42.3374,-71.0459,Self Service,"(42.3374, -71.0459)"
525626,101001321033,03/02/2015 10:03:52 AM,03/03/2015 10:03:52 AM,03/02/2015 10:05:41 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Short Measure - Gas,Inspectional Services,Weights and Measures,Short Measure - Gas,ISD_Weights and Measures (INTERNAL),ISD,,,111-119 Cambridge St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,207.0,C,111-119 Cambridge St,2129.0,Address,25074.0,42.3825,-71.08,Constituent Call,"(42.3825, -71.08)"
530544,101001328530,03/10/2015 08:42:22 AM,03/11/2015 08:42:22 AM,03/10/2015 08:44:02 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Short Measure - Gas,Inspectional Services,Weights and Measures,Short Measure - Gas,ISD_Weights and Measures (INTERNAL),ISD,,,4139 Washington St  Roslindale  MA  02131,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1911.0,C,4139 Washington St,2131.0,Address,145129.0,42.2893,-71.1256,Constituent Call,"(42.2893, -71.1256)"
538916,101001340392,03/24/2015 09:28:04 AM,03/25/2015 09:28:04 AM,03/24/2015 09:31:43 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Short Measure - Gas,Inspectional Services,Weights and Measures,Short Measure - Gas,ISD_Weights and Measures (INTERNAL),ISD,,,5315 Washington St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,20,2015.0,,5315 Washington St,2132.0,Address,347464.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
538929,101001340408,03/24/2015 09:33:53 AM,03/25/2015 09:33:53 AM,03/24/2015 09:34:35 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Short Measure - Gas,Inspectional Services,Weights and Measures,Short Measure - Gas,ISD_Weights and Measures (INTERNAL),ISD,,,151 Old Colony Ave  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,705.0,C,151 Old Colony Ave,2127.0,Address,105068.0,42.3346,-71.0553,Constituent Call,"(42.3346, -71.0553)"
542017,101001344742,03/30/2015 10:23:20 AM,03/31/2015 10:23:20 AM,03/30/2015 10:24:39 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Short Measure - Gas,Inspectional Services,Weights and Measures,Short Measure - Gas,ISD_Weights and Measures (INTERNAL),ISD,,,500 Western Ave  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2205.0,C,500 Western Ave,2135.0,Address,171743.0,42.3615,-71.1439,Constituent Call,"(42.3615, -71.1439)"
558160,101001367147,04/30/2015 10:26:17 AM,05/01/2015 10:26:17 AM,04/30/2015 10:27:27 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Short Measure - Gas,Inspectional Services,Weights and Measures,Short Measure - Gas,ISD_Weights and Measures (INTERNAL),ISD,,,5315 Washington St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,20,2015.0,,5315 Washington St,2132.0,Address,347464.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
