,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
474013,101001247382,01/14/2015 03:04:30 PM,01/14/2016 03:04:29 PM,01/14/2015 03:04:31 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 09: East Boston,PWDx,,,100 Brooks St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,106.0,R2,100 Brooks St,2128.0,Address,22418.0,42.3776,-71.0344,Employee Generated,"(42.3776, -71.0344)"
474021,101001247391,01/14/2015 03:06:51 PM,01/14/2016 03:06:51 PM,01/14/2015 03:06:52 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 09: East Boston,PWDx,,,254 Sumner St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,103.0,R3,254 Sumner St,2128.0,Address,316111.0,42.3683,-71.038,Employee Generated,"(42.3683, -71.038)"
474022,101001247392,01/14/2015 03:07:11 PM,01/14/2016 03:07:11 PM,01/14/2015 03:07:12 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 09: East Boston,PWDx,,,191-191A Chelsea St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,105.0,R2,191-191A Chelsea St,2128.0,Address,30378.0,42.3743,-71.0334,Employee Generated,"(42.3743, -71.0334)"
474023,101001247393,01/14/2015 03:07:23 PM,01/14/2016 03:07:23 PM,01/14/2015 03:07:24 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 09: East Boston,PWDx,,,191-191A Chelsea St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,105.0,R2,191-191A Chelsea St,2128.0,Address,30378.0,42.3743,-71.0334,Employee Generated,"(42.3743, -71.0334)"
474749,101001248490,01/16/2015 12:02:48 PM,01/16/2016 12:02:48 PM,01/16/2015 12:02:49 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,3500 Washington St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1108.0,R1,3500 Washington St,2130.0,Address,144939.0,42.3061,-71.1076,Employee Generated,"(42.3061, -71.1076)"
474750,101001248491,01/16/2015 12:03:01 PM,01/16/2016 12:03:01 PM,01/16/2015 12:03:02 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,3500 Washington St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1108.0,R1,3500 Washington St,2130.0,Address,144939.0,42.3061,-71.1076,Employee Generated,"(42.3061, -71.1076)"
474751,101001248492,01/16/2015 12:03:19 PM,01/16/2016 12:03:19 PM,01/16/2015 12:03:20 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,3500 Washington St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1108.0,R1,3500 Washington St,2130.0,Address,144939.0,42.3061,-71.1076,Employee Generated,"(42.3061, -71.1076)"
474752,101001248493,01/16/2015 12:03:36 PM,01/16/2016 12:03:36 PM,01/16/2015 12:03:37 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,3500 Washington St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1108.0,R1,3500 Washington St,2130.0,Address,144939.0,42.3061,-71.1076,Employee Generated,"(42.3061, -71.1076)"
474753,101001248495,01/16/2015 12:03:57 PM,01/16/2016 12:03:57 PM,01/16/2015 12:04:02 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,7 Carolina Ave  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1109.0,R3,7 Carolina Ave,2130.0,Address,26014.0,42.3076,-71.1151,Employee Generated,"(42.3076, -71.1151)"
474754,101001248497,01/16/2015 12:04:20 PM,01/16/2016 12:04:20 PM,01/16/2015 12:04:21 PM,ONTIME,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Sidewalk Repair (Internal),Public Works Department,Highway Maintenance,Sidewalk Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,,,7 Carolina Ave  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1109.0,R3,7 Carolina Ave,2130.0,Address,26014.0,42.3076,-71.1151,Employee Generated,"(42.3076, -71.1151)"
