,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470348,101001242028,01/05/2015 06:39:42 AM,01/05/2016 06:39:42 AM,01/13/2015 08:09:16 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) investigated and determined the following:    BWSC repaired an emergency water leak at 46 Garden St.  The City does not allow brick restoration to be done during the winter.   BWSC will come back in the Spring and restore the bricks.      The location has been entered into the CIU data base that tracks repairs to be made by utility companies or private contractors.    The CIU will monitor the progress of the repair.    The city apologizes for the inconvenience this necessary work caused.    Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office              Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Contractor Complaints,PWDx,,,46 Garden St  Boston  MA  02114,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,504.0,R4,46 Garden St,2114.0,Address,62518.0,42.36,-71.0667,Employee Generated,"(42.36, -71.0667)"
470538,101001242306,01/05/2015 10:41:14 AM,01/05/2017 10:41:00 AM,10/21/2015 01:57:18 PM,ONTIME,Closed,Case Closed. Closed date : 2015-10-21 13:57:18.283 Case Resolved Sidewalk repaired 10/2015    If you have any further questions  or feel that this case was closed  or reallocated in error  please do not hesitate to contact me.    Michael Somers  Senior Civil Engineer  Construction Management Division  Boston Public Works  617-635-3831	  Michael.Somers@Boston.gov,Sidewalk Repair/Concrete/Dist 7,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,,,20 Winborough St  Mattapan  MA  02126,8.0,08,5.0,E18,Hyde Park,9.0,Ward 18,1805.0,R1,20 Winborough St,2126.0,Address,150556.0,42.2655,-71.1054,Employee Generated,"(42.2655, -71.1054)"
470591,101001242393,01/05/2015 12:16:08 PM,01/05/2016 12:16:07 PM,11/06/2015 07:16:48 AM,ONTIME,Closed,Case Closed. Closed date : 2015-11-06 07:16:48.787 Case Noted The sidewalk that is the responsibility of PWD is repaired.  The sidewalk is question is not PWD responsibility.    If you have any further questions  or feel that this case was closed  or reallocated in error  please do not hesitate to contact me.    Michael Somers  Senior Civil Engineer  Construction Management Division  Boston Public Works  617-635-3831	  Michael.Somers@Boston.gov,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Sidewalk Repair,PWDx,,,60 Eutaw St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,107.0,R3,60 Eutaw St,2128.0,Address,54721.0,42.3795,-71.0373,Employee Generated,"(42.3795, -71.0373)"
470638,101001242451,01/05/2015 01:33:15 PM,01/05/2016 01:33:15 PM,,OVERDUE,Open,,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PARK_New Tree Requests,PARK,,,27 Winborough St  Mattapan  MA  02126,8.0,08,5.0,E18,Hyde Park,9.0,Ward 18,1805.0,R1,27 Winborough St,2126.0,Address,150559.0,42.2655,-71.1049,City Worker App,"(42.2655, -71.1049)"
471315,101001243415,01/07/2015 07:20:59 AM,01/07/2017 07:20:00 AM,,ONTIME,Open,,Sidewalk Repair/Concrete/North End,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,,,40-42 Prince St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,303.0,RC,40-42 Prince St,2113.0,Address,112891.0,42.3646,-71.0547,Constituent Call,"(42.3646, -71.0547)"
471316,101001243416,01/07/2015 07:23:26 AM,01/07/2016 07:23:26 AM,01/07/2015 10:13:05 AM,ONTIME,Closed,Case Closed Duplicate of Existing Case,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,,,40-42 Prince St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,303.0,RC,40-42 Prince St,2113.0,Address,112891.0,42.3646,-71.0547,Constituent Call,"(42.3646, -71.0547)"
471318,101001243418,01/07/2015 07:29:30 AM,01/07/2017 07:29:00 AM,09/10/2015 11:07:57 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-10 11:07:57.713 Duplicate of Existing Case Duplicate of case 101001202037    If you have any further questions  or feel that this case was closed  or reallocated in error  please do not hesitate to contact me.    Michael Somers  Senior Civil Engineer  Construction Management Division  Boston Public Works  617-635-3831	  Michael.Somers@Boston.gov,Sidewalk Repair/Concrete/Dist 3,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,,,47 Greenwich St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1506.0,R2,47 Greenwich St,2122.0,Address,66866.0,42.3038,-71.0572,Employee Generated,"(42.3038, -71.0572)"
471471,101001243642,01/07/2015 12:15:25 PM,01/07/2016 12:15:25 PM,02/24/2015 08:46:18 AM,ONTIME,Closed,Case Closed Case Noted,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,,,576 Poplar St  Roslindale  MA  02131,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1822.0,R1,576 Poplar St,2131.0,Address,111944.0,42.2707,-71.1319,Employee Generated,"(42.2707, -71.1319)"
471649,101001243903,01/08/2015 07:03:17 AM,01/08/2017 07:03:00 AM,01/08/2016 12:38:15 PM,ONTIME,Closed,Case Closed. Closed date : 2016-01-08 12:38:15.12 Duplicate of Existing Case Duplicate of existing case 101001191227    If you have any further questions  or feel that this case was closed in error  please do not hesitate to contact me.    Michael Somers  Senior Civil Engineer  Construction Management Division  Boston Public Works  617-635-3831  Michael.Somers@Boston.gov,Sidewalk Repair/Red Brick/South End,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,,,24 Dwight St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,CM,24 Dwight St,2118.0,Address,50348.0,42.3441,-71.0688,Employee Generated,"(42.3441, -71.0688)"
473018,101001245872,01/12/2015 10:17:45 AM,01/12/2016 10:17:44 AM,01/16/2015 11:12:02 AM,ONTIME,Closed,Case Closed Case Invalid OK ON ARRIVAL NO BWSC ISSUE WITH SIDEWALK 1/15,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,BWSC_All Cases,BWSC,,,776 Columbus Ave  Mission Hill  MA  02120,9.0,10B,7.0,D4,Roxbury,13.0,Ward 9,904.0,R4,776 Columbus Ave,2120.0,Address,212369.0,42.337,-71.0864,Employee Generated,"(42.337, -71.0864)"
