,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
599687,101001437301,07/27/2015 10:30:00 AM,08/10/2015 10:30:00 AM,07/27/2015 10:52:31 AM,ONTIME,Closed,Case Closed. Closed date : 2015-07-27 10:52:31.393 Case Noted Duplicate of crm #437046,Sign Shop WO,Transportation - Traffic Division,Operations,Sign Shop WO,BTDT_District 06,BTDT,,,INTERSECTION of Hereford St & Newbury St  Boston  MA,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,509.0,,INTERSECTION Hereford St & Newbury St,,Intersection,5887.0,42.3488,-71.0856,Employee Generated,"(42.3488, -71.0856)"
603864,101001502886,08/04/2015 10:16:19 AM,08/18/2015 10:16:19 AM,10/26/2015 01:22:20 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-26 13:22:20.16 Case Resolved,Sign Shop WO,Transportation - Traffic Division,Operations,Sign Shop WO,BTDT_Sign Shop_Sign Installation,BTDT,,,INTERSECTION of Bradeen St & Washington St  Roslindale  MA,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1911.0,,INTERSECTION Bradeen St & Washington St,,Intersection,1813.0,42.2912,-71.1231,Employee Generated,"(42.2912, -71.1231)"
603988,101001503051,08/04/2015 12:41:18 PM,08/18/2015 12:41:18 PM,08/12/2015 07:47:26 AM,ONTIME,Closed,Case Closed. Closed date : 2015-08-12 07:47:26.797 Case Resolved Work completed 8/7/15.,Sign Shop WO,Transportation - Traffic Division,Operations,Sign Shop WO,BTDT_Sign Shop_Sign Installation,BTDT,,,INTERSECTION of Gardner St & Harvard Ave  Allston  MA,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2104.0,,INTERSECTION Gardner St & Harvard Ave,,Intersection,5212.0,42.3535,-71.1322,Employee Generated,"(42.3535, -71.1322)"
609262,101001520104,08/13/2015 08:58:55 AM,08/27/2015 08:58:56 AM,10/26/2015 01:34:59 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-26 13:34:59.11 Case Resolved,Sign Shop WO,Transportation - Traffic Division,Operations,Sign Shop WO,BTDT_Sign Shop_Sign Installation,BTDT,,,INTERSECTION of Lexington Ave & River St  Hyde Park  MA,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1815.0,,INTERSECTION Lexington Ave & River St,,Intersection,6852.0,42.2608,-71.1148,Constituent Call,"(42.2608, -71.1148)"
609276,101001520128,08/13/2015 09:07:48 AM,08/27/2015 09:07:48 AM,10/26/2015 01:35:32 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-26 13:35:32.543 Case Resolved,Sign Shop WO,Transportation - Traffic Division,Operations,Sign Shop WO,BTDT_Sign Shop_Sign Installation,BTDT,,,INTERSECTION of Lexington Ave & Westminster St  Hyde Park  MA,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1815.0,,INTERSECTION Lexington Ave & Westminster St,,Intersection,6851.0,42.2643,-71.1169,Constituent Call,"(42.2643, -71.1169)"
632165,101001581471,09/17/2015 01:27:00 PM,10/01/2015 01:27:17 PM,10/26/2015 12:43:22 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-26 12:43:22.627 Case Resolved,Sign Shop WO,Transportation - Traffic Division,Operations,Sign Shop WO,BTDT_Sign Shop_Sign Installation,BTDT,,,25 Walk Hill St  Jamaica Plain  MA  02130,12.0,02,6.0,E13,Jamaica Plain,10.0,19,1907.0,E,25 Walk Hill St,2130.0,Address,141634.0,42.2946,-71.1159,Constituent Call,"(42.2946, -71.1159)"
637964,101001599819,09/28/2015 02:35:13 PM,10/12/2015 02:35:13 PM,10/26/2015 01:49:05 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-26 13:49:05.223 Case Resolved,Sign Shop WO,Transportation - Traffic Division,Operations,Sign Shop WO,BTDT_Sign Shop_Sign Installation,BTDT,,,INTERSECTION of Columbia Rd & K St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,701.0,,INTERSECTION Columbia Rd & K St,,Intersection,3261.0,42.3297,-71.0372,Employee Generated,"(42.3297, -71.0372)"
638016,101001599881,09/28/2015 03:07:01 PM,10/12/2015 03:07:01 PM,10/26/2015 01:49:40 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-26 13:49:40.5 Case Resolved,Sign Shop WO,Transportation - Traffic Division,Operations,Sign Shop WO,BTDT_Sign Shop_Sign Installation,BTDT,,,57-59 South St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1909.0,C,57-59 South St,2130.0,Address,128854.0,42.3078,-71.1158,Constituent Call,"(42.3078, -71.1158)"
638062,101001599956,09/28/2015 03:46:41 PM,10/12/2015 03:46:41 PM,10/26/2015 01:50:13 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-26 13:50:13.843 Case Resolved,Sign Shop WO,Transportation - Traffic Division,Operations,Sign Shop WO,BTDT_Sign Shop_Sign Installation,BTDT,,,INTERSECTION of Brainerd Rd & Redford St  Allston  MA,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2105.0,,INTERSECTION Brainerd Rd & Redford St,,Intersection,1859.0,42.3473,-71.134,Constituent Call,"(42.3473, -71.134)"
638068,101001599966,09/28/2015 03:51:36 PM,10/12/2015 03:51:36 PM,10/26/2015 01:24:52 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-26 13:24:52.837 Case Resolved,Sign Shop WO,Transportation - Traffic Division,Operations,Sign Shop WO,BTDT_Sign Shop_Sign Installation,BTDT,,,77 Cohasset St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 20,2002.0,R2,77 Cohasset St,2131.0,Address,34321.0,42.2841,-71.1322,Constituent Call,"(42.2841, -71.1322)"
