,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
478195,101001253489,01/25/2015 11:29:31 AM,02/02/2015 08:30:00 AM,,OVERDUE,Open,Case Closed ROA: Refer to Other Agency/Division,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/54c519d16963753f0d6c486b/report.jpg,,1390 Boylston St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 21,2101.0,C,1390 Boylston St,2215.0,Address,18099.0,42.3432,-71.1021,Citizens Connect App,"(42.3432, -71.1021)"
481407,101001257774,01/28/2015 11:12:22 AM,02/04/2015 11:12:22 AM,03/25/2015 07:25:12 AM,OVERDUE,Closed,Case Closed Case Noted no violation found,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,INFO_Reallocation From Dept,INFO,,,INTERSECTION of Boylston St & Charles St S  Boston  MA,4.0,1C,2.0,A1,Downtown / Financial District,6.0,Ward 5,501.0,,INTERSECTION Boylston St & Charles St S,,Intersection,1781.0,42.3525,-71.0675,Self Service,"(42.3525, -71.0675)"
481709,101001258143,01/28/2015 12:31:14 PM,02/04/2015 12:31:13 PM,01/28/2015 01:08:33 PM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,28 Hemman St  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 18,1810.0,R1,28 Hemman St,2131.0,Address,72765.0,42.278,-71.1315,Self Service,"(42.278, -71.1315)"
481751,101001258191,01/28/2015 12:40:59 PM,02/04/2015 12:40:59 PM,01/31/2015 10:40:59 AM,ONTIME,Closed,Case Closed Case Resolved Case Closed,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,PWDx_District 02: Jamaica Plain,PWDx,,,INTERSECTION of Bourne St & Catherine St  Roslindale  MA,12.0,02,6.0,E13,Jamaica Plain,10.0,Ward 19,1907.0,,INTERSECTION Bourne St & Catherine St,,Intersection,1693.0,42.2888,-71.113,Self Service,"(42.2888, -71.113)"
485462,101001263209,01/29/2015 08:01:22 PM,02/06/2015 08:30:00 AM,02/01/2015 02:26:26 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,PWDx_Requests for Snow Plowing,PWDx,,,34 Bardwell St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1909.0,R3,34 Bardwell St,2130.0,Address,8179.0,42.3079,-71.1176,Self Service,"(42.3079, -71.1176)"
486662,101001265244,01/30/2015 05:23:24 PM,02/09/2015 08:30:00 AM,,OVERDUE,Open,Case Closed NOVIO: No Violation Found/No Cause,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Back St & Harvard Brg  Boston  MA,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,509.0,,INTERSECTION Back St & Harvard Brg,,Intersection,864.0,42.3514,-71.0897,Self Service,"(42.3514, -71.0897)"
523961,101001318455,02/26/2015 08:23:23 PM,03/06/2015 08:30:00 AM,03/06/2015 08:31:38 AM,OVERDUE,Closed,Case Closed TICKET: Ticket Issued,Ground Maintenance: Iacono/Readville Playground,Inspectional Services,Code Enforcement,Snow Removal,PARK_Maintenance_Region 3,PARK,https://mayors24.cityofboston.gov/media/boston/report/photos/54efc70304859c1f0a341cf0/photo_20150226_202145.jpg,,INTERSECTION of Fleet St & Milton St  Hyde Park  MA,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1820.0,,INTERSECTION Fleet St & Milton St,,Intersection,4949.0,42.2387,-71.1349,Citizens Connect App,"(42.2387, -71.1349)"
524024,101001318551,02/27/2015 12:46:25 AM,03/06/2015 08:30:00 AM,03/05/2015 02:29:51 PM,ONTIME,Closed,Case Closed TICKET: Ticket Issued,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,INFO_Reallocation From Dept,INFO,,,430 William F McClellan Hwy  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,113.0,I,430 William F McClellan Hwy,2128.0,Address,156611.0,42.3931,-71.0132,Citizens Connect App,"(42.3931, -71.0132)"
525572,101001320959,03/02/2015 09:21:49 AM,03/09/2015 09:21:49 AM,03/16/2015 08:25:34 AM,OVERDUE,Closed,Case Closed TICKET: Ticket Issued,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Buttonwood St & Columbia Rd  Dorchester  MA,7.0,03,3.0,C6,Dorchester,7.0,Ward 13,1307.0,,INTERSECTION Buttonwood St & Columbia Rd,,Intersection,2266.0,42.3211,-71.0559,Constituent Call,"(42.3211, -71.0559)"
526023,101001321578,03/02/2015 02:34:53 PM,03/09/2015 02:34:53 PM,03/05/2015 10:26:29 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Snow Removal,Inspectional Services,Code Enforcement,Snow Removal,PWDx_District 07: South Dorchester,PWDx,,,118 Richmond St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1611.0,R1,118 Richmond St,2124.0,Address,115798.0,42.2753,-71.0629,Self Service,"(42.2753, -71.0629)"
