,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470043,101001241615,01/03/2015 10:13:42 AM,01/06/2015 08:30:00 AM,01/03/2015 10:15:15 AM,ONTIME,Closed,Case Closed Case Invalid,Space Savers,Public Works Department,Sanitation,Space Savers,PWDx_Space Saver Removal,PWDx,,,11 Courtland Rd  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1411.0,R3,11 Courtland Rd,2126.0,Address,43812.0,42.2864,-71.0946,Constituent Call,"(42.2864, -71.0946)"
472675,101001245379,01/10/2015 08:18:28 PM,01/13/2015 08:30:00 AM,01/11/2015 02:28:29 AM,ONTIME,Closed,Case Closed Case Resolved pwd removed space saver,Space Savers,Public Works Department,Sanitation,Space Savers,PWDx_District 10A: Roxbury,PWDx,,,7-21 Cornelia St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,13.0,10,1001.0,,7-21 Cornelia St,2120.0,Address,353129.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
472728,101001245472,01/11/2015 11:52:00 AM,01/13/2015 08:30:00 AM,01/11/2015 12:22:46 PM,ONTIME,Closed,Case Closed Case Resolved removed,Space Savers,Public Works Department,Sanitation,Space Savers,PWDx_District 10A: Roxbury,PWDx,,,9 Cornelia St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,13.0,10,1001.0,,9 Cornelia St,2120.0,Address,354149.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
472738,101001245486,01/11/2015 12:46:35 PM,01/13/2015 08:30:00 AM,01/11/2015 01:11:03 PM,ONTIME,Closed,Case Closed Case Resolved space saver removed,Space Savers,Public Works Department,Sanitation,Space Savers,PWDx_District 10A: Roxbury,PWDx,,https://cityworker.cityofboston.gov:8443/attachments/report/54b2b705d052affa7e49ef9f/closed_photo/Report.jpg,9 Cornelia St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,13.0,10,1001.0,,9 Cornelia St,2120.0,Address,354149.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
473332,101001246376,01/13/2015 08:22:21 AM,01/14/2015 08:30:00 AM,01/13/2015 02:00:30 PM,ONTIME,Closed,Case Closed Case Resolved cones picked up,Space Savers,Public Works Department,Sanitation,Space Savers,PWDx_District 05: South Boston,PWDx,,,644-646 E Eighth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,702.0,R2,644-646 E Eighth St,2127.0,Address,52358.0,42.3316,-71.0357,Constituent Call,"(42.3316, -71.0357)"
477834,101001252978,01/24/2015 08:31:23 AM,01/27/2015 08:30:00 AM,01/24/2015 10:10:20 AM,ONTIME,Closed,Case Closed Case Noted,Space Savers,Public Works Department,Sanitation,Space Savers,PWDx_District 10B: Roxbury,PWDx,,,35 Dale St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1203.0,R1,35 Dale St,2119.0,Address,45729.0,42.3209,-71.0839,Constituent Call,"(42.3209, -71.0839)"
477837,101001252982,01/24/2015 08:46:12 AM,01/27/2015 08:30:00 AM,01/26/2015 08:14:39 AM,ONTIME,Closed,Case Closed Case Resolved,Space Savers,Public Works Department,Sanitation,Space Savers,PWDx_District 05: South Boston,PWDx,,,236-238 E St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,602.0,R3,236-238 E St,2127.0,Address,50540.0,42.3357,-71.052,Constituent Call,"(42.3357, -71.052)"
477879,101001253033,01/24/2015 10:03:57 AM,01/27/2015 08:30:00 AM,01/26/2015 08:14:27 AM,ONTIME,Closed,Case Closed Case Resolved,Space Savers,Public Works Department,Sanitation,Space Savers,PWDx_District 05: South Boston,PWDx,,,INTERSECTION of H St & E Sixth St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,606.0,,INTERSECTION H St & E Sixth St,,Intersection,5536.0,42.333,-71.0415,Constituent Call,"(42.333, -71.0415)"
477882,101001253037,01/24/2015 10:12:42 AM,01/27/2015 08:30:00 AM,01/26/2015 06:35:13 PM,ONTIME,Closed,Case Closed Case Noted will resolve after storm,Space Savers,Public Works Department,Sanitation,Space Savers,PWDx_District 09: East Boston,PWDx,,,59 Putnam St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,108.0,,59 Putnam St,2128.0,Address,344178.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
477951,101001253122,01/24/2015 12:10:02 PM,01/27/2015 08:30:00 AM,01/26/2015 08:14:13 AM,ONTIME,Closed,Case Closed Case Resolved,Space Savers,Public Works Department,Sanitation,Space Savers,PWDx_District 05: South Boston,PWDx,,,INTERSECTION of E Broadway & O St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,607.0,,INTERSECTION E Broadway & O St,,Intersection,1989.0,42.3357,-71.0292,Constituent Call,"(42.3357, -71.0292)"
