,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470568,101001242357,01/05/2015 11:32:10 AM,07/04/2015 11:32:10 AM,,OVERDUE,Open,,Squalid Living Conditions,Inspectional Services,Housing,Squalid Living Conditions,ISD_Housing (INTERNAL),ISD,,,3-5 Duval St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2205.0,R2,3-5 Duval St,2135.0,Address,50306.0,42.3605,-71.1399,Self Service,"(42.3605, -71.1399)"
472550,101001245192,01/09/2015 07:32:02 PM,07/08/2015 07:32:02 PM,,OVERDUE,Open,,Squalid Living Conditions,Inspectional Services,Housing,Squalid Living Conditions,ISD_Housing (INTERNAL),ISD,,,135 Washington St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2110.0,A,135 Washington St,2135.0,Address,329114.0,42.3454,-71.1452,Constituent Call,"(42.3454, -71.1452)"
473231,101001246244,01/12/2015 06:43:16 PM,07/11/2015 06:43:16 PM,,OVERDUE,Open,,Squalid Living Conditions,Inspectional Services,Housing,Squalid Living Conditions,ISD_Housing (INTERNAL),ISD,,,40 West St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1813.0,R1,40 West St,2136.0,Address,147976.0,42.2581,-71.1178,Self Service,"(42.2581, -71.1178)"
475269,101001249223,01/18/2015 07:47:16 PM,07/17/2015 07:47:15 PM,,OVERDUE,Open,,Squalid Living Conditions,Inspectional Services,Housing,Squalid Living Conditions,ISD_Housing (INTERNAL),ISD,,,67 Ceylon St  Dorchester  MA  02121,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1401.0,R2,67 Ceylon St,2121.0,Address,28548.0,42.3109,-71.0729,Self Service,"(42.3109, -71.0729)"
476820,101001251352,01/21/2015 03:25:02 PM,07/20/2015 03:25:02 PM,,OVERDUE,Open,,Squalid Living Conditions,Inspectional Services,Housing,Squalid Living Conditions,ISD_Housing (INTERNAL),ISD,,,34 Arcadia St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1508.0,R3,34 Arcadia St,2122.0,Address,178986.0,42.3013,-71.0628,Constituent Call,"(42.3013, -71.0628)"
477507,101001252466,01/23/2015 10:30:36 AM,07/22/2015 10:30:36 AM,,OVERDUE,Open,,Squalid Living Conditions,Inspectional Services,Housing,Squalid Living Conditions,ISD_Housing (INTERNAL),ISD,,,114 Bremen St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,104.0,R3,114 Bremen St,2128.0,Address,19764.0,42.3714,-71.0362,Constituent Call,"(42.3714, -71.0362)"
478470,101001254184,01/26/2015 11:41:43 AM,07/25/2015 11:41:43 AM,,OVERDUE,Open,,Squalid Living Conditions,Inspectional Services,Housing,Squalid Living Conditions,ISD_Housing (INTERNAL),ISD,,,28 Julian St  Dorchester  MA  02125,7.0,03,7.0,B2,Roxbury,13.0,Ward 13,1301.0,R3,28 Julian St,2125.0,Address,260147.0,42.3195,-71.0764,Constituent Call,"(42.3195, -71.0764)"
487881,101001267136,02/02/2015 10:33:06 AM,08/01/2015 10:33:06 AM,,OVERDUE,Open,,Squalid Living Conditions,Inspectional Services,Housing,Squalid Living Conditions,ISD_Housing (INTERNAL),ISD,,,54 Irving St  Boston  MA  02114,3.0,1B,1.0,A1,Beacon Hill,3.0,Ward 3,306.0,A,54 Irving St,2114.0,Address,166590.0,42.3598,-71.0662,Constituent Call,"(42.3598, -71.0662)"
493370,101001274584,02/04/2015 12:26:28 PM,08/03/2015 12:26:28 PM,03/05/2015 09:55:30 AM,ONTIME,Closed,Case Closed :,Squalid Living Conditions,Inspectional Services,Housing,Squalid Living Conditions,ISD_Housing (INTERNAL),ISD,,,12 Westminster St  Mission Hill  MA  02120,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,A,12 Westminster St,2120.0,Address,148623.0,42.3354,-71.0829,Constituent Call,"(42.3354, -71.0829)"
498980,101001283217,02/09/2015 11:55:05 AM,08/08/2015 11:55:05 AM,,OVERDUE,Open,,Squalid Living Conditions,Inspectional Services,Housing,Squalid Living Conditions,ISD_Housing (INTERNAL),ISD,,,74 Elmont St  Dorchester  MA  02121,7.0,03,4.0,B3,Dorchester,8.0,Ward 14,1402.0,R3,74 Elmont St,2121.0,Address,229977.0,42.2998,-71.078,Constituent Call,"(42.2998, -71.078)"
