,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469490,101001240794,01/01/2015 11:40:21 AM,01/06/2015 08:30:00 AM,01/02/2015 08:28:07 AM,ONTIME,Closed,Case Closed Case Noted delivered,Sticker Request,Public Works Department,Recycling,Sticker Request,PWDx_Sticker Request,PWDx,,,23 Oak St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,206.0,R1,23 Oak St,2129.0,Address,104586.0,42.3805,-71.0686,Self Service,"(42.3805, -71.0686)"
469524,101001240836,01/01/2015 02:18:50 PM,01/06/2015 08:30:00 AM,01/02/2015 09:46:52 AM,ONTIME,Closed,Case Closed Case Resolved Stickers placed at location 9:46 am 1/2/15,Sticker Request,Public Works Department,Recycling,Sticker Request,PWDx_Sticker Request,PWDx,,https://cityworker.cityofboston.gov:8443/attachments/report/54a59d9cd052affa7e4917c2/closed_photo/Report.jpg,21 Warwick St  Mission Hill  MA  02120,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,904.0,R1,21 Warwick St,2120.0,Address,143363.0,42.3364,-71.0842,Self Service,"(42.3364, -71.0842)"
469528,101001240841,01/01/2015 02:44:48 PM,01/06/2015 08:30:00 AM,01/06/2015 06:28:14 AM,ONTIME,Closed,Case Closed Case Noted  Delivered on 1/6 thank you.,Sticker Request,Public Works Department,Recycling,Sticker Request,PWDx_Sticker Request,PWDx,,,42 Bradford St  Roxbury  MA  02118,,,0.0,,South End,0.0,03,,,42 Bradford St,2118.0,Address,349572.0,42.3594,-71.0587,Self Service,"(0, 0)"
469530,101001240843,01/01/2015 02:47:34 PM,01/06/2015 08:30:00 AM,01/02/2015 08:26:06 AM,ONTIME,Closed,Case Closed Case Resolved deliver recycle sticker on .1/2/15.,Sticker Request,Public Works Department,Recycling,Sticker Request,PWDx_Sticker Request,PWDx,,,58 Cresthill Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2211.0,R1,58 Cresthill Rd,2135.0,Address,44331.0,42.3559,-71.1583,Self Service,"(42.3559, -71.1583)"
469544,101001240862,01/01/2015 05:00:36 PM,01/06/2015 08:30:00 AM,01/02/2015 07:51:05 AM,ONTIME,Closed,Case Closed Case Noted delivered,Sticker Request,Public Works Department,Recycling,Sticker Request,PWDx_Sticker Request,PWDx,,,34 Hanson St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,CD,34 Hanson St,2118.0,Address,69307.0,42.3439,-71.0707,Self Service,"(42.3439, -71.0707)"
469567,101001240897,01/01/2015 10:22:53 PM,01/06/2015 08:30:00 AM,01/02/2015 07:39:05 AM,ONTIME,Closed,Case Closed Case Resolved dropped sticker off to above address at 7:39am,Sticker Request,Public Works Department,Recycling,Sticker Request,PWDx_Sticker Request,PWDx,,,526-528 Lagrange St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2013.0,R2,526-528 Lagrange St,2132.0,Address,82810.0,42.2839,-71.1619,Self Service,"(42.2839, -71.1619)"
469623,101001240982,01/02/2015 08:34:14 AM,01/06/2015 08:34:13 AM,01/02/2015 09:52:56 AM,ONTIME,Closed,Case Closed Case Noted dropped stickers off to above address at 9:52am,Sticker Request,Public Works Department,Recycling,Sticker Request,PWDx_Sticker Request,PWDx,,,117 Metropolitan Ave  Roslindale  MA  02131,12.0,06,5.0,E5,Roslindale,10.0,Ward 18,1810.0,R1,117 Metropolitan Ave,2131.0,Address,94787.0,42.2795,-71.1306,Self Service,"(42.2795, -71.1306)"
469833,101001241278,01/02/2015 12:21:58 PM,01/06/2015 12:21:58 PM,01/03/2015 07:55:44 AM,ONTIME,Closed,Case Closed Case Resolved delivered,Sticker Request,Public Works Department,Recycling,Sticker Request,PWDx_Sticker Request,PWDx,,,213 W Ninth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,705.0,R3,213 W Ninth St,2127.0,Address,102893.0,42.3329,-71.0523,Constituent Call,"(42.3329, -71.0523)"
469891,101001241370,01/02/2015 01:54:21 PM,01/06/2015 01:54:21 PM,01/03/2015 01:38:45 PM,ONTIME,Closed,Case Closed Case Noted delivered on 1/3,Sticker Request,Public Works Department,Recycling,Sticker Request,PWDx_Sticker Request,PWDx,,,120 Bynner St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,R2,120 Bynner St,2130.0,Address,200186.0,42.3239,-71.114,Self Service,"(42.3239, -71.114)"
469939,101001241458,01/02/2015 03:18:18 PM,01/06/2015 03:18:18 PM,01/03/2015 09:59:20 AM,ONTIME,Closed,Case Closed Case Resolved Sticker placed at location 9:59 am 1/3/14,Sticker Request,Public Works Department,Recycling,Sticker Request,PWDx_Sticker Request,PWDx,,https://cityworker.cityofboston.gov:8443/attachments/report/54a6fd0bd052affa7e49350b/closed_photo/Report.jpg,252 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,106.0,R2,252 Saratoga St,2128.0,Address,122582.0,42.3782,-71.0324,Self Service,"(42.3782, -71.0324)"
