,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470022,101001241583,01/03/2015 06:06:20 AM,01/06/2015 08:30:00 AM,01/03/2015 07:02:37 AM,ONTIME,Closed,Case Closed Case Resolved Picked Up  & Made Safe. 19' Concrete Rect'  Wired For Overhead,PRINTED,Public Works Department,Street Lights,Street Light Knock Downs,PWDx_Street Light Knock Downs,PWDx,,,440-470 Blue Hill Ave  Dorchester  MA  02121,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1401.0,C,440-470 Blue Hill Ave,2121.0,Address,156699.0,42.3097,-71.0822,Constituent Call,"(42.3097, -71.0822)"
470191,101001241820,01/03/2015 09:45:00 PM,01/06/2015 08:30:00 AM,01/07/2015 09:53:50 AM,OVERDUE,Closed,Case Closed Case Resolved CREW PICKED UP KOED POLE MADE AREA SAFE,PRINTED,Public Works Department,Street Lights,Street Light Knock Downs,PWDx_Street Light Knock Downs,PWDx,,,367 River St  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 18,1804.0,R2,367 River St,2126.0,Address,116586.0,42.2704,-71.0879,Constituent Call,"(42.2704, -71.0879)"
470707,101001242554,01/05/2015 03:22:00 PM,01/16/2015 03:22:00 PM,07/08/2015 10:06:03 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-07-08 22:06:03.727 Case Resolved new 24' concrete pole installed with a 209 LED stranded fixture and overhead feed  complete,PRINTED,Public Works Department,Street Lights,Street Light Knock Downs,PWDx_Street Light Knockdown Replacement,PWDx,,,805 Parker St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1005.0,R2,805 Parker St,2120.0,Address,107875.0,42.3288,-71.0992,Constituent Call,"(42.3288, -71.0992)"
470749,101001242616,01/05/2015 04:31:00 PM,01/06/2015 04:31:00 PM,01/05/2015 10:44:42 PM,ONTIME,Closed,Case Closed Case Resolved picked up and made safe,Street Light Knock Downs////printed,Public Works Department,Street Lights,Street Light Knock Downs,PWDx_Street Light Knock Downs,PWDx,,,INTERSECTION of Bird St & Hancock St  Dorchester  MA,7.0,03,7.0,B2,Dorchester,13.0,Ward 13,1305.0,,INTERSECTION Bird St & Hancock St,,Intersection,1454.0,42.3148,-71.0659,Constituent Call,"(42.3148, -71.0659)"
470756,101001242625,01/05/2015 04:46:30 PM,01/06/2015 04:46:30 PM,01/05/2015 10:44:11 PM,ONTIME,Closed,Case Closed Case Resolved picked up and made safe,Street Light Knock Downs////printed,Public Works Department,Street Lights,Street Light Knock Downs,PWDx_Street Light Knock Downs,PWDx,,,INTERSECTION of Bird St & Hancock St  Dorchester  MA,7.0,03,7.0,B2,Dorchester,13.0,Ward 13,1305.0,,INTERSECTION Bird St & Hancock St,,Intersection,1454.0,42.3148,-71.0659,Constituent Call,"(42.3148, -71.0659)"
470874,101001242791,01/06/2015 08:25:22 AM,01/07/2015 08:30:00 AM,01/07/2015 09:52:31 AM,OVERDUE,Closed,Case Closed Case Resolved CREW PICKED UP KOED LIGHT POLE MADE AREA SAFE,PRINTED KOED POLE @ #385 NEPONSET AVE,Public Works Department,Street Lights,Street Light Knock Downs,PWDx_Street Light Knock Downs,PWDx,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
471093,101001243120,01/06/2015 01:38:34 PM,01/07/2015 01:38:33 PM,01/07/2015 01:42:49 PM,OVERDUE,Closed,Case Closed Case Resolved CREW PICKED UP KOED POLE MADE CABLES & AREA SAFE WILL ISSUE WORK ORDER TO INSTALL NEW LIGHT POLE,PRINTED,Public Works Department,Street Lights,Street Light Knock Downs,PWDx_Street Light Knock Downs,PWDx,,,INTERSECTION of Ames St & Westview St  Dorchester  MA,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1410.0,,INTERSECTION Ames St & Westview St,,Intersection,402.0,42.2899,-71.0838,Constituent Call,"(42.2899, -71.0838)"
471301,101001243397,01/07/2015 12:41:28 AM,01/08/2015 08:30:00 AM,01/10/2015 09:04:57 PM,OVERDUE,Closed,Case Closed Case Referred to External Agency reported to DCR,Street Light Knock Downs,Public Works Department,Street Lights,Street Light Knock Downs,INFO_Reallocation From Dept,INFO,,,1171 Boylston St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,502.0,A,1171 Boylston St,2215.0,Address,18063.0,42.3468,-71.0936,Constituent Call,"(42.3468, -71.0936)"
471466,101001243630,01/07/2015 12:02:44 PM,01/08/2015 12:02:44 PM,01/07/2015 08:19:28 PM,ONTIME,Closed,Case Closed Case Resolved made slcb safe. tristan kenny,PRINTED,Public Works Department,Street Lights,Street Light Knock Downs,PWDx_Street Light Knock Downs,PWDx,,,INTERSECTION of Dorchester Ave & Harbor View St  Dorchester  MA,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1308.0,,INTERSECTION Dorchester Ave & Harbor View St,,Intersection,4190.0,42.3176,-71.0567,Constituent Call,"(42.3176, -71.0567)"
472252,101001244756,01/09/2015 10:09:52 AM,01/12/2015 10:09:51 AM,01/13/2015 10:02:03 AM,OVERDUE,Closed,Case Closed Case Resolved CREW PICKED UP KOED LIGHT POLE MADE AREA & CABLES SAFE  WILL ISSUE WORK ORDER TO INSTALL  NEW POLE,Street Lighting Pole Knockdown//PRINTED,Public Works Department,Street Lights,Street Light Knock Downs,PWDx_Street Light Knock Downs,PWDx,,,INTERSECTION of Eustis St & Harrison Ave  Roxbury  MA,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,804.0,,INTERSECTION Eustis St & Harrison Ave,,Intersection,4664.0,42.331,-71.0809,Constituent Call,"(42.331, -71.0809)"
