,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469452,101001240735,01/01/2015 12:25:23 AM,01/16/2015 08:30:00 AM,01/02/2015 04:17:43 PM,ONTIME,Closed,Case Closed Duplicate of Existing Case duplicate of existing w/o,PRINTED,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,145-151 Ipswich St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,502.0,C,145-151 Ipswich St,2215.0,Address,157262.0,42.3474,-71.0944,Citizens Connect App,"(42.3474, -71.0944)"
469453,101001240736,01/01/2015 12:25:36 AM,01/16/2015 08:30:00 AM,04/28/2015 08:49:50 AM,OVERDUE,Closed,Case Closed Case Resolved Rebuilt luminaires and now lights are operational.,PRINTED,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light_Pending_Contractor (Internal),PWDx,,,145-151 Ipswich St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,502.0,C,145-151 Ipswich St,2215.0,Address,157262.0,42.3474,-71.0944,Citizens Connect App,"(42.3474, -71.0944)"
469547,101001240865,01/01/2015 05:39:47 PM,01/16/2015 08:30:00 AM,01/16/2015 06:33:02 PM,OVERDUE,Closed,Case Closed Case Resolved repaired,PRINTED,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,INTERSECTION of Freeport St & Southwick St  Dorchester  MA,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1610.0,,INTERSECTION Freeport St & Southwick St,,Intersection,5126.0,42.2917,-71.0481,Citizens Connect App,"(42.2917, -71.0481)"
469552,101001240876,01/01/2015 07:04:03 PM,01/16/2015 08:30:00 AM,04/15/2015 03:52:17 PM,,Closed,Case Closed Case Resolved missing pull box. installed overhead. md/jd,PRINTED,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,701-703 Centre St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1908.0,CC,701-703 Centre St,2130.0,Address,28167.0,42.3116,-71.1146,Citizens Connect App,"(42.3116, -71.1146)"
469553,101001240877,01/01/2015 07:07:28 PM,01/16/2015 08:30:00 AM,01/06/2015 04:13:00 PM,ONTIME,Closed,Case Closed Case Resolved located bad leg of power in pb #13. jumped to good leg. jd/md,PRINTED,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,INTERSECTION of Asticou Rd & Washington St  Jamaica Plain  MA,12.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1902.0,,INTERSECTION Asticou Rd & Washington St,,Intersection,689.0,42.3005,-71.1147,Citizens Connect App,"(42.3005, -71.1147)"
469555,101001240879,01/01/2015 07:13:14 PM,01/16/2015 08:30:00 AM,01/06/2015 04:09:13 PM,ONTIME,Closed,Case Closed Case Resolved replaced fuse in pole. md/jd,PRINTED,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,141 South St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1110.0,CM,141 South St,2130.0,Address,128690.0,42.3052,-71.1149,Citizens Connect App,"(42.3052, -71.1149)"
469570,101001240901,01/01/2015 11:25:20 PM,01/16/2015 08:30:00 AM,01/06/2015 08:58:19 AM,ONTIME,Closed,Case Closed Case Resolved Contractor Mark.    Made new secondary reconnect & photocell light is on.  1/5/15,Street Light Outages   // SENT TO MAVERICK //,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light_Pending_Contractor (Internal),PWDx,,,42 Wyman St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,CM,42 Wyman St,2130.0,Address,153080.0,42.3212,-71.1056,Self Service,"(42.3212, -71.1056)"
469578,101001240910,01/02/2015 07:02:34 AM,01/16/2015 08:30:00 AM,01/08/2015 06:17:33 AM,ONTIME,Closed,Case Closed Case Resolved Repaired 2 Units In Area,PRINTED,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a688cc0485ee8a710d42f3/report.jpg,,INTERSECTION of Atlantic Ave & Summer St  Boston  MA,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,,INTERSECTION Atlantic Ave & Summer St,,Intersection,732.0,42.3527,-71.0554,Citizens Connect App,"(42.3527, -71.0554)"
469579,101001240911,01/02/2015 07:04:46 AM,01/16/2015 08:30:00 AM,01/06/2015 01:16:44 AM,ONTIME,Closed,Case Closed Case Resolved Repaired 1 Unit On Bridge,picture of outage on moakley bridge,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a6894f0485ee8a710d42ff/report.jpg,,64 Sleeper St  Boston  MA  02210,6.0,05,2.0,C6,Boston,5.0,06,601.0,E,64 Sleeper St,2210.0,Address,128152.0,42.3528,-71.0493,Citizens Connect App,"(42.3528, -71.0493)"
469580,101001240912,01/02/2015 07:06:04 AM,01/16/2015 08:30:00 AM,01/07/2015 03:19:54 PM,ONTIME,Closed,Case Closed Case Resolved Per Contractor no problem found  all lights were on at street.   Mark  1/6/15,Street Light Outages/sent to contractor queue,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light_Pending_Contractor (Internal),PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a6899f0485ee8a710d430b/report.jpg,,51 Sleeper St  Boston  MA  02210,6.0,05,2.0,C6,Boston,5.0,06,601.0,C,51 Sleeper St,2210.0,Address,128151.0,42.3524,-71.0486,Citizens Connect App,"(42.3524, -71.0486)"
469650,101001241028,01/02/2015 09:08:46 AM,01/16/2015 09:08:46 AM,01/16/2015 06:06:11 PM,OVERDUE,Closed,Case Closed Case Resolved repaired. kb/vic,PRINTED,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,250-250A Shawmut Ave  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,4.0,Ward 3,307.0,R3,250-250A Shawmut Ave,2118.0,Address,126059.0,42.3434,-71.0681,Self Service,"(42.3434, -71.0681)"
469699,101001241088,01/02/2015 09:48:57 AM,01/20/2015 09:48:00 AM,01/22/2015 11:20:54 AM,OVERDUE,Closed,Case Closed Case Resolved CREW CHECKED CONTROL PANEL SAID IT IS WORKING NORMAL NO PROBLEM FOUND T. HARVEY  K. HOGE,on constant////printed,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,621 Commonwealth Ave  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,510.0,C,621 Commonwealth Ave,2215.0,Address,41171.0,42.3498,-71.1013,Self Service,"(42.3498, -71.1013)"
469889,101001241368,01/02/2015 01:53:49 PM,01/16/2015 01:43:00 PM,01/02/2015 02:03:17 PM,ONTIME,Closed,Case Closed Case Noted Street Lighting Contractor Surveyed the Street and reported no trouble found no lights out.,Street Light Outages,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light_Pending_Contractor (Internal),PWDx,,,33 Louder's Ln  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1902.0,R1,33 Louder's Ln,2130.0,Address,87525.0,42.3054,-71.1266,Employee Generated,"(42.3054, -71.1266)"
469916,101001241409,01/02/2015 02:44:58 PM,01/16/2015 02:44:58 PM,01/02/2015 09:27:30 PM,ONTIME,Closed,Case Closed Case Resolved rescured LED. kb.jd,hanging equipment?////printed,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,75 Putnam St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,108.0,RC,75 Putnam St,2128.0,Address,113676.0,42.3801,-71.0335,Self Service,"(42.3801, -71.0335)"
469925,101001241420,01/02/2015 02:57:25 PM,01/16/2015 02:57:25 PM,01/07/2015 11:19:18 AM,ONTIME,Closed,Case Closed Case Noted checked operations found normal.Futher problems or questions call 617-635-3126 TY Dominic,traffic signal request,Public Works Department,Street Lights,Street Light Outages,BTDT_Traffic Signal_Repair,BTDT,https://mayors24.cityofboston.gov/media/boston/report/photos/54a6f81404855a39b2f89205/report.jpg,,INTERSECTION of Elmwood St & Malcolm X Blvd  Mission Hill  MA,7.0,10B,7.0,B2,Roxbury,13.0,Ward 9,905.0,,INTERSECTION Elmwood St & Malcolm X Blvd,,Intersection,4557.0,42.3313,-71.0938,Citizens Connect App,"(42.3313, -71.0938)"
469962,101001241495,01/02/2015 04:01:57 PM,01/16/2015 04:01:57 PM,01/12/2015 11:55:02 AM,ONTIME,Closed,Case Closed Case Resolved Installed arm & 70 LED light is on.   Contractor  Mark  1/9/15,LAMP #N1378020  156 Weld St/sent,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light_Pending_Contractor (Internal),PWDx,,,156 Weld St  Roslindale  MA  02132,9.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2006.0,R1,156 Weld St,2132.0,Address,147064.0,42.2937,-71.1384,Constituent Call,"(42.2937, -71.1384)"
469980,101001241523,01/02/2015 05:46:06 PM,01/20/2015 08:30:00 AM,01/16/2015 06:09:47 PM,ONTIME,Closed,Case Closed Case Resolved light replaced with new LED,outage////printed,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a71f8d04855a39b2f892a6/report.jpg,,463 Shawmut Ave  Roxbury  MA  02118,4.0,1C,7.0,D4,South End,6.0,Ward 9,902.0,R1,463 Shawmut Ave,2118.0,Address,126328.0,42.3391,-71.0757,Citizens Connect App,"(42.3391, -71.0757)"
469984,101001241527,01/02/2015 06:01:32 PM,01/20/2015 08:30:00 AM,03/25/2015 08:49:18 AM,OVERDUE,Closed,Case Closed Case Resolved Replaced photocell  light is on  3/24/15 contractor,200 a street////printed,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light_Pending_Contractor (Internal),PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a7233404855a39b2f892b4/report.jpg,,168-170 A St  Boston  MA  02210,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,601.0,CL,168-170 A St,2210.0,Address,15.0,42.3447,-71.0532,Citizens Connect App,"(42.3447, -71.0532)"
470010,101001241567,01/02/2015 10:20:22 PM,01/20/2015 08:30:00 AM,01/06/2015 01:17:56 AM,ONTIME,Closed,Case Closed Case Resolved Repaired 1 Unit,outage/printed for jim,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a75fd304855a39b2f89370/report.jpg,,268-272 Commonwealth Ave  Boston  MA  02116,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,508.0,E,268-272 Commonwealth Ave,2116.0,Address,39886.0,42.3499,-71.0837,Citizens Connect App,"(42.3499, -71.0837)"
470013,101001241570,01/02/2015 10:23:32 PM,01/20/2015 08:30:00 AM,01/09/2015 12:02:04 PM,ONTIME,Closed,Case Closed Case Resolved Replaced inc bulb light is on.  contractor Mark 1/8/15,outage///sent,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light_Pending_Contractor (Internal),PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a7609a04855a39b2f8937e/report.jpg,,INTERSECTION of Commonwealth Ave & Fairfield St  Boston  MA,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,508.0,,INTERSECTION Commonwealth Ave & Fairfield St,,Intersection,3395.0,42.3505,-71.0826,Citizens Connect App,"(42.3505, -71.0826)"
470014,101001241571,01/02/2015 10:24:34 PM,01/20/2015 08:30:00 AM,01/30/2015 04:38:24 AM,OVERDUE,Closed,Case Closed Case Resolved Already repaired,outage/printed for jim,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a760d704855a39b2f8938a/report.jpg,,INTERSECTION of Commonwealth Ave & Fairfield St  Boston  MA,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,508.0,,INTERSECTION Commonwealth Ave & Fairfield St,,Intersection,3395.0,42.3505,-71.0826,Citizens Connect App,"(42.3505, -71.0826)"
470015,101001241572,01/02/2015 10:28:31 PM,01/20/2015 08:30:00 AM,01/02/2015 10:37:47 PM,ONTIME,Closed,Case Closed Duplicate of Existing Case duplicate,Street Light Outages,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/54a761c204855a39b2f89396/report.jpg,,INTERSECTION of Commonwealth Ave & Fairfield St  Boston  MA,4.0,1C,8.0,D4,Back Bay,14.0,Ward 5,508.0,,INTERSECTION Commonwealth Ave & Fairfield St,,Intersection,3395.0,42.3505,-71.0826,Citizens Connect App,"(42.3505, -71.0826)"
470020,101001241579,01/03/2015 01:55:43 AM,01/20/2015 08:30:00 AM,01/03/2015 01:56:28 AM,ONTIME,Closed,Case Closed Case Resolved Replaced Starter & Lamp,Street Light Outages,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
470021,101001241581,01/03/2015 02:12:42 AM,01/20/2015 08:30:00 AM,01/03/2015 02:14:24 AM,ONTIME,Closed,Case Closed Case Resolved Pulled New Feed  Replaced Pendant Fixture,Street Light Outages,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
470025,101001241586,01/03/2015 06:30:06 AM,01/20/2015 08:30:00 AM,04/08/2015 11:31:38 PM,OVERDUE,Closed,Case Closed Case Resolved replace lamp. conary/joubert,PRINTED,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,INTERSECTION of Bremen St & Neptune Rd  East Boston  MA,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,,INTERSECTION Bremen St & Neptune Rd,,Intersection,1914.0,42.3802,-71.0257,Citizens Connect App,"(42.3802, -71.0257)"
