,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
616990,101001530094,08/25/2015 02:41:00 PM,09/01/2015 02:41:20 PM,,OVERDUE,Open,,Sidewalk Repair Make Safe,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,PWDx_Engineering_Design,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/55dcb6d80485668337246d38/report.jpg,,809-811 Harrison Ave  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 8,802.0,CM,809-811 Harrison Ave,2118.0,Address,166047.0,42.3359,-71.0742,Citizens Connect App,"(42.3359, -71.0742)"
618020,101001541431,08/26/2015 05:35:00 PM,09/03/2015 08:30:00 AM,09/03/2015 02:54:55 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-09-03 14:54:55.173 Case Resolved permit removed from tree  see attached photo at notes,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,PWDx_District 1C: Downtown,PWDx,https://mayors24.cityofboston.gov/media/boston/report/photos/55de311e0485668337248213/report.jpg,,69 Myrtle St  Boston  MA  02114,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,504.0,CD,69 Myrtle St,2114.0,Address,99795.0,42.3594,-71.0669,Citizens Connect App,"(42.3594, -71.0669)"
618518,101001542093,08/27/2015 12:27:00 PM,09/03/2015 12:27:59 PM,09/01/2015 10:51:48 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-01 10:51:48.277 Case Resolved,Ground Maintenance: Westland Ave. Gates,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,PARK_Maintenance_Region 3,PARK,https://mayors24.cityofboston.gov/media/boston/report/photos/55df3a9d0485668337248e58/report.jpg,,56 Fenway  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 4,407.0,RC,56 Fenway,2215.0,Address,165233.0,42.3446,-71.09,Citizens Connect App,"(42.3446, -71.09)"
618963,101001542702,08/28/2015 07:22:00 AM,09/04/2015 08:30:00 AM,09/03/2015 12:02:00 PM,ONTIME,Closed,Case Closed. Closed date : 2015-09-03 12:02:00.673 Case Resolved Duly noted,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,BTDT_Permits & Special Events,BTDT,https://mayors24.cityofboston.gov/media/boston/report/photos/55e044820485668337249a5c/report.jpg,,18-20 E Springfield St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 8,802.0,CD,18-20 E Springfield St,2118.0,Address,129790.0,42.3365,-71.0755,Citizens Connect App,"(42.3365, -71.0755)"
619637,101001543583,08/28/2015 10:00:00 PM,09/08/2015 08:30:00 AM,,OVERDUE,Open,,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Brainerd Rd & Walbridge St  Allston  MA,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2108.0,,INTERSECTION Brainerd Rd & Walbridge St,,Intersection,1858.0,42.3468,-71.1347,Citizens Connect App,"(42.3468, -71.1347)"
619705,101001543670,08/29/2015 08:22:00 AM,09/08/2015 08:30:00 AM,,OVERDUE,Open,,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/55e1a406048566833724ac2c/report.jpg,,24 Long Ave  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2107.0,R2,24 Long Ave,2134.0,Address,87075.0,42.3494,-71.1361,Citizens Connect App,"(42.3494, -71.1361)"
619724,101001543690,08/29/2015 08:52:00 AM,09/08/2015 08:30:00 AM,,OVERDUE,Open,,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/55e1ab03048566833724ac8f/photo_20150829_085113.jpg,,30 Chiswick Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2115.0,A,30 Chiswick Rd,2135.0,Address,32432.0,42.3387,-71.1506,Citizens Connect App,"(42.3387, -71.1506)"
619733,101001543701,08/29/2015 09:09:00 AM,09/08/2015 08:30:00 AM,,OVERDUE,Open,,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,https://mayors24.cityofboston.gov/media/boston/report/photos/55e1af05048566833724ace2/report.jpg,,28-30 Cortes St  Boston  MA  02116,4.0,1C,2.0,A1,Back Bay,6.0,Ward 5,501.0,,28-30 Cortes St,2116.0,Address,172458.0,42.3479,-71.0702,Citizens Connect App,"(42.3479, -71.0702)"
619821,101001543818,08/29/2015 12:28:00 PM,09/08/2015 08:30:00 AM,08/30/2015 09:44:46 PM,ONTIME,Closed,Case Closed. Closed date : 2015-08-30 21:44:46.713 Case Resolved legimate sign,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,BTDT_Parking Enforcement,BTDT,https://mayors24.cityofboston.gov/media/boston/report/photos/55e1ddd4048566833724b012/report.jpg,,363 Maverick St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,101.0,R2,363 Maverick St,2128.0,Address,93063.0,42.3661,-71.0299,Citizens Connect App,"(42.3661, -71.0299)"
619886,101001543897,08/29/2015 02:54:10 PM,09/08/2015 08:30:00 AM,08/30/2015 07:54:28 AM,ONTIME,Closed,Case Closed. Closed date : 2015-08-30 07:54:28.253 Case Noted Please attach picture of sign  please. Thank you.,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,"INFO03_Mobile ""Other"" Requests",INFO,,,15-19 Walbridge St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2108.0,CM,15-19 Walbridge St,2134.0,Address,141366.0,42.3472,-71.1354,Citizens Connect App,"(42.3472, -71.1354)"
619936,101001543969,08/29/2015 05:52:00 PM,09/08/2015 08:30:00 AM,08/31/2015 01:10:46 PM,ONTIME,Closed,Case Closed Case Resolved  Hanger removed.,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,PARK_Tree Emergencies,PARK,https://mayors24.cityofboston.gov/media/boston/report/photos/55e229ae048566833724b492/report.jpg,,10 Wigglesworth St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1003.0,R4,10 Wigglesworth St,2120.0,Address,149609.0,42.3343,-71.1032,Citizens Connect App,"(42.3343, -71.1032)"
620106,101001544306,08/30/2015 01:24:00 PM,09/08/2015 08:30:00 AM,08/31/2015 02:52:33 AM,ONTIME,Closed,Case Closed. Closed date : 2015-08-31 02:52:33.877 Case Resolved area checked all clear,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,BTDT_Parking Enforcement,BTDT,https://mayors24.cityofboston.gov/media/boston/report/photos/55e33c66048566833724c18b/report.jpg,,152 Newton St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2213.0,CD,152 Newton St,2135.0,Address,102251.0,42.3557,-71.1693,Citizens Connect App,"(42.3557, -71.1693)"
620228,101001544503,08/30/2015 07:16:00 PM,09/08/2015 08:30:00 AM,09/01/2015 07:58:34 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-01 07:58:34.31 Case Resolved no savers foumd,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,PWDx_District 07: South Dorchester,PWDx,,https://cityworker.cityofboston.gov:8443/attachments/report/55e38f00d052051e478e8abc/closed_photo/Report.jpg,734-738 Washington St  Dorchester  MA  02124,8.0,07,4.0,C11,Dorchester,8.0,Ward 17,1709.0,CL,734-738 Washington St,2124.0,Address,146161.0,42.2862,-71.0709,Citizens Connect App,"(42.2862, -71.0709)"
620686,101001545134,08/31/2015 12:03:47 PM,09/08/2015 12:03:47 PM,08/31/2015 12:16:32 PM,ONTIME,Closed,Case Closed. Closed date : 2015-08-31 12:16:32.67 Case Resolved Officer spoke with driver of truck and is moving it.,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,BTDT_Parking Enforcement,BTDT,,,559 E Fifth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,606.0,R3,559 E Fifth St,2127.0,Address,164731.0,42.3338,-71.038,Citizens Connect App,"(42.3338, -71.038)"
620769,101001545252,08/31/2015 01:23:00 PM,09/08/2015 01:23:56 PM,09/21/2015 07:52:28 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-09-21 07:52:28.507 Case Resolved Work completed 9/18/15.,Student Move-in Issues,Mayor's 24 Hour Hotline,General Request,Student Move-in Issues,BTDT_Sign Shop_Sign Installation,BTDT,https://mayors24.cityofboston.gov/media/boston/report/photos/55e48dc5048566833724d68b/report.jpg,,52 Westland Ave  Boston  MA  02115,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 4,407.0,A,52 Westland Ave,2115.0,Address,148492.0,42.3434,-71.0882,Citizens Connect App,"(42.3434, -71.0882)"
