,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469951,101001241477,01/02/2015 03:33:48 PM,02/01/2015 03:33:48 PM,11/10/2015 08:57:27 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-11-10 08:57:27.03 VIOCOR: Violation Corrected,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,31 Selden St  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1710.0,R3,31 Selden St,2124.0,Address,124897.0,42.2816,-71.0778,Constituent Call,"(42.2816, -71.0778)"
470896,101001242822,01/06/2015 08:56:28 AM,02/05/2015 08:56:28 AM,03/25/2015 12:13:56 PM,OVERDUE,Closed,Case Closed VIOCOR: Violation Corrected,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
471482,101001243653,01/07/2015 12:21:06 PM,02/06/2015 12:21:06 PM,01/14/2015 09:59:22 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,35 Calumet St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1003.0,R3,35 Calumet St,2120.0,Address,24977.0,42.3328,-71.1056,Constituent Call,"(42.3328, -71.1056)"
472857,101001245664,01/12/2015 08:26:17 AM,02/11/2015 08:26:16 AM,,OVERDUE,Open,,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,265 Hancock St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1504.0,R1,265 Hancock St,2122.0,Address,68912.0,42.3089,-71.0593,Constituent Call,"(42.3089, -71.0593)"
472863,101001245670,01/12/2015 08:30:10 AM,02/11/2015 08:30:10 AM,04/08/2015 10:33:25 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,1205 Dorchester Ave  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1504.0,CL,1205 Dorchester Ave,2125.0,Address,48261.0,42.3097,-71.0582,Constituent Call,"(42.3097, -71.0582)"
472873,101001245684,01/12/2015 08:38:48 AM,02/11/2015 08:38:48 AM,,OVERDUE,Open,,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
472890,101001245708,01/12/2015 08:44:27 AM,02/11/2015 08:44:27 AM,,OVERDUE,Open,,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,128 Hamilton St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1503.0,RL,128 Hamilton St,2125.0,Address,68416.0,42.3069,-71.0676,Constituent Call,"(42.3069, -71.0676)"
472893,101001245711,01/12/2015 08:46:43 AM,02/11/2015 08:46:43 AM,03/25/2015 12:10:32 PM,OVERDUE,Closed,Case Closed VIOCOR: Violation Corrected,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,138 Hamilton St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1503.0,RL,138 Hamilton St,2125.0,Address,68424.0,42.3066,-71.0672,Constituent Call,"(42.3066, -71.0672)"
472910,101001245729,01/12/2015 08:58:56 AM,02/11/2015 08:58:56 AM,,OVERDUE,Open,,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,480 Quincy St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1504.0,R1,480 Quincy St,2125.0,Address,114113.0,42.3088,-71.0657,Constituent Call,"(42.3088, -71.0657)"
473954,101001247281,01/14/2015 01:12:42 PM,02/13/2015 01:12:42 PM,01/30/2015 09:13:30 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Trash on Vacant Lot,Inspectional Services,Environmental Services,Trash on Vacant Lot,ISD_Environmental Services (INTERNAL),ISD,,,139 Stoughton St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1309.0,R1,139 Stoughton St,2125.0,Address,131109.0,42.3148,-71.0607,Constituent Call,"(42.3148, -71.0607)"
