,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469574,101001240905,01/02/2015 05:40:16 AM,06/30/2016 05:40:16 AM,01/05/2015 08:59:38 AM,ONTIME,Closed,Case Closed Case Resolved Removed two larg limb from City side walk. Done by Tree Ctew,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Emergencies,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54a6758bd052065cdb4cccfd/photo/Report.jpg,,680 Beacon St  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,510.0,C,680 Beacon St,2215.0,Address,161924.0,42.3487,-71.0984,City Worker App,"(42.3487, -71.0984)"
469597,101001240935,01/02/2015 08:02:30 AM,06/30/2016 08:02:29 AM,01/02/2015 08:06:29 AM,ONTIME,Closed,Case Closed Case Resolved  The tree was pruned by Northern Tree Service  to the City of Boston tree pruning specifications.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Maintenance Request,PARK,,,341 Tremont St  Boston  MA  02116,4.0,1C,2.0,A1,Back Bay,6.0,Ward 5,501.0,E,341 Tremont St,2116.0,Address,321494.0,42.3487,-71.0672,Employee Generated,"(42.3487, -71.0672)"
469598,101001240937,01/02/2015 08:03:02 AM,06/30/2016 08:03:01 AM,01/02/2015 08:06:29 AM,ONTIME,Closed,Case Closed Case Resolved  The tree was pruned by Northern Tree Service  to the City of Boston tree pruning specifications.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Maintenance Request,PARK,,,347 Tremont St  Boston  MA  02116,4.0,1C,2.0,A1,Back Bay,6.0,Ward 5,501.0,E,347 Tremont St,2116.0,Address,321506.0,42.3486,-71.0674,Employee Generated,"(42.3486, -71.0674)"
469599,101001240938,01/02/2015 08:03:30 AM,06/30/2016 08:03:29 AM,01/02/2015 08:06:29 AM,ONTIME,Closed,Case Closed Case Resolved  The tree was pruned by Northern Tree Service  to the City of Boston tree pruning specifications.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Maintenance Request,PARK,,,351 Tremont St  Boston  MA  02116,4.0,1C,2.0,A1,Back Bay,6.0,Ward 5,501.0,E,351 Tremont St,2116.0,Address,321518.0,42.3485,-71.0675,Employee Generated,"(42.3485, -71.0675)"
469612,101001240966,01/02/2015 08:27:16 AM,06/30/2016 08:27:15 AM,01/02/2015 08:27:45 AM,ONTIME,Closed,Case Closed Case Resolved The tree was pruned by Northern Tree Service  to the City of Boston tree pruning specifications.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Maintenance Request,PARK,,,49 Chestnut St  Boston  MA  02108,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,503.0,R1,49 Chestnut St,2108.0,Address,31431.0,42.3574,-71.0688,Employee Generated,"(42.3574, -71.0688)"
469828,101001241273,01/02/2015 12:17:00 PM,06/30/2016 12:17:15 PM,12/30/2015 01:42:53 PM,ONTIME,Closed,Case Closed. Closed date : 2015-12-30 13:42:53.957 Case Resolved Tree was removed by North-Eastern Tree Service. A new tree request case will be made for this location. If you have any questions please call the Park Line at 617-635-7275.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Maintenance Request,PARK,,,68 Montclair Ave  Roslindale  MA  02132,9.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2006.0,R1,68 Montclair Ave,2132.0,Address,96527.0,42.2915,-71.1412,Self Service,"(42.2915, -71.1412)"
470708,101001242555,01/05/2015 03:26:18 PM,07/03/2016 03:26:17 PM,01/06/2015 11:03:49 AM,ONTIME,Closed,Case Closed Case Resolved  Removed hanger . Done by Tree Crew.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Emergencies,PARK,,,INTERSECTION of Grovenor Rd & Pond St  Jamaica Plain  MA,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1905.0,,INTERSECTION Grovenor Rd & Pond St,,Intersection,5513.0,42.3149,-71.1149,Constituent Call,"(42.3149, -71.1149)"
470899,101001242827,01/06/2015 09:00:52 AM,07/04/2016 09:00:51 AM,07/23/2015 02:02:26 PM,ONTIME,Closed,Case Closed. Closed date : 2015-07-23 14:02:26.08 Case Resolved The tree was pruned by Northern Tree Service  to the City of Boston tree pruning specifications.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Maintenance Request,PARK,,,741 Beechmont St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1822.0,R1,741 Beechmont St,2136.0,Address,13426.0,42.2687,-71.127,Employee Generated,"(42.2687, -71.127)"
470901,101001242830,01/06/2015 09:02:26 AM,07/04/2016 09:02:25 AM,07/23/2015 03:02:31 PM,ONTIME,Closed,Case Closed. Closed date : 2015-07-23 15:02:31.937 Case Resolved The tree was pruned by Northern Tree Service  to the City of Boston tree pruning specifications.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Maintenance Request,PARK,,,46 Joan Rd  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1819.0,R1,46 Joan Rd,2136.0,Address,79819.0,42.2524,-71.1441,Employee Generated,"(42.2524, -71.1441)"
470906,101001242836,01/06/2015 09:04:02 AM,07/04/2016 09:04:01 AM,09/28/2015 07:18:45 AM,ONTIME,Closed,Case Closed. Closed date : 2015-09-28 07:18:45.147 Case Resolved The tree was pruned by Northern Tree Service  to the City of Boston tree pruning specifications.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Maintenance Request,PARK,,,19 Dodge Rd  Hyde Park  MA  02136,10.0,08,5.0,E-18,Hyde Park,10.0,Ward 18,1819.0,,19 Dodge Rd,2136.0,Address,99531.0,42.3594,-71.0587,Employee Generated,"(0, 0)"
470920,101001242858,01/06/2015 09:18:31 AM,07/04/2016 09:18:20 AM,04/01/2015 09:18:41 AM,ONTIME,Closed,Case Closed Case Resolved The tree was pruned by Northern Tree Service  to the City of Boston tree pruning specifications.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Maintenance Request,PARK,,,121-127 Main St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,201.0,CM,121-127 Main St,2129.0,Address,88408.0,42.3745,-71.0634,Constituent Call,"(42.3745, -71.0634)"
471131,101001243174,01/06/2015 02:30:36 PM,07/04/2016 02:30:35 PM,06/02/2015 09:09:21 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-02 09:09:21.09 Case Resolved The tree was pruned by Northern Tree Service  to the City of Boston tree pruning specifications.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Maintenance Request,PARK,,,450 Shawmut Ave  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 9,901.0,R1,450 Shawmut Ave,2118.0,Address,126306.0,42.3392,-71.0749,Employee Generated,"(42.3392, -71.0749)"
471213,101001243282,01/06/2015 04:12:09 PM,07/04/2016 04:12:09 PM,01/08/2015 01:32:13 PM,ONTIME,Closed,Case Closed Case Resolved Remove limb from City street .Done by Tree Crew.,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Emergencies,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54ac4fa5d052065cdb4cf75d/photo/Report.jpg,,34-36 Williams Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1816.0,R1,34-36 Williams Ave,2136.0,Address,149993.0,42.2503,-71.1181,City Worker App,"(42.2503, -71.1181)"
471327,101001243427,01/07/2015 07:43:11 AM,07/05/2016 07:43:11 AM,01/07/2015 09:55:57 AM,ONTIME,Closed,Case Closed Case Noted duplicate of 1243428,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Maintenance Request,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54ad29ddd052065cdb4cf854/photo/Report.jpg,,22 Codman Hill Ave  Dorchester  MA  02124,8.0,07,3.0,B3,Dorchester,7.0,Ward 17,1704.0,R2,22 Codman Hill Ave,2124.0,Address,34134.0,42.2795,-71.0714,City Worker App,"(42.2795, -71.0714)"
471328,101001243428,01/07/2015 07:43:13 AM,07/05/2016 07:43:13 AM,01/08/2015 07:46:29 AM,ONTIME,Closed,Case Closed Duplicate of Existing Case  Duplicate of case # 1243338,Tree Maintenance Requests,Parks & Recreation Department,Trees,Tree Maintenance Requests,PARK_Tree Emergencies,PARK,https://cityworker.cityofboston.gov:8443/attachments/report/54ad29ded052065cdb4cf864/photo/Report.jpg,,22 Codman Hill Ave  Dorchester  MA  02124,8.0,07,3.0,B3,Dorchester,7.0,Ward 17,1704.0,R2,22 Codman Hill Ave,2124.0,Address,34134.0,42.2795,-71.0714,City Worker App,"(42.2795, -71.0714)"
