,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470448,101001242174,01/05/2015 09:15:36 AM,07/03/2016 09:15:36 AM,,ONTIME,Open,,Park Maintenance:,Parks & Recreation Department,Trees,Tree in Park,PARK_Tree in Park,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Self Service,"(0, 0)"
476243,101001250454,01/20/2015 02:01:14 PM,07/18/2016 02:01:14 PM,,ONTIME,Open,,Tree In Park: McLean Playground; East Boston,Parks & Recreation Department,Trees,Tree in Park,PARK_Tree in Park,PARK,,,550 Bennington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,1,111.0,,550 Bennington St,2128.0,Address,342518.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
521126,101001314362,02/24/2015 12:42:47 PM,02/24/2016 12:42:45 PM,,ONTIME,Open,,Tree In Park: McLean Playground; East Boston,Parks & Recreation Department,Trees,Tree in Park,PARK_Tree in Park,PARK,,,548 Bennington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,111.0,R3,548 Bennington St,2128.0,Address,14779.0,42.3825,-71.0194,Constituent Call,"(42.3825, -71.0194)"
529759,101001327320,03/09/2015 07:48:47 AM,03/08/2016 07:48:44 AM,,ONTIME,Open,,Tree In Park: Parkman Playground; Jamaica Plain,Parks & Recreation Department,Trees,Tree in Park,PARK_Tree in Park,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call,"(0, 0)"
538366,101001339658,03/23/2015 11:25:47 AM,03/22/2016 11:25:47 AM,,ONTIME,Open,,Park Maintenance: Mahoney Park,Parks & Recreation Department,Trees,Tree in Park,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,1800 Soldiers Field Rd  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2212.0,C,1800 Soldiers Field Rd,2135.0,Address,128309.0,42.3587,-71.156,Self Service,"(42.3587, -71.156)"
540307,101001342275,03/26/2015 08:05:52 AM,03/25/2016 08:05:49 AM,03/27/2015 01:13:54 PM,ONTIME,Closed,Case Closed Case Resolved trees were removed by northeastern tree service,Tree In Park: Forsyth Park; Fenway/Kenmore,Parks & Recreation Department,Trees,Tree in Park,PARK_Tree Emergencies,PARK,,,225 Hemenway St  Boston  MA  02115,4.0,10A,8.0,D4,Boston,14.0,4,407.0,,225 Hemenway St,2115.0,Address,344774.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
540540,101001342613,03/26/2015 11:48:42 AM,03/25/2016 11:48:41 AM,07/01/2015 07:55:11 AM,ONTIME,Closed,Case Closed. Closed date : 2015-07-01 07:55:11.13 Case Resolved Tree was removed by North-Eastern Tree Service.,Tree In Park: Hobart Park; Allston Brighton,Parks & Recreation Department,Trees,Tree in Park,PARK_Tree in Park,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
542227,101001345031,03/30/2015 02:02:20 PM,03/29/2016 02:02:17 PM,04/21/2015 08:03:15 AM,ONTIME,Closed,Case Closed Case Resolved  Trees were pruned by Northern Tree Service.,Tree In Park: Mt. Bowdoin Green; Dorchester,Parks & Recreation Department,Trees,Tree in Park,PARK_Tree in Park,PARK,,,18 Bowdoin Ave  Dorchester  MA  02121,7.0,03,4.0,C11,Dorchester,8.0,14,1404.0,,18 Bowdoin Ave,2121.0,Address,342537.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
543454,101001346725,04/01/2015 10:46:38 AM,03/31/2016 10:46:36 AM,04/01/2015 10:48:19 AM,ONTIME,Closed,Case Closed Case Resolved Limb removed by tree crew.,Tree In Park: Allen Park; Dorchester,Parks & Recreation Department,Trees,Tree in Park,PARK_Tree in Park,PARK,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
544904,101001348726,04/03/2015 11:29:15 AM,04/02/2016 11:29:13 AM,,ONTIME,Open,,Tree In Park: Back Bay Fens; Fenway/Kenmore,Parks & Recreation Department,Trees,Tree in Park,PARK_Tree in Park,PARK,,,35 Fenway   Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,04,407.0,E,35 Fenway,2215.0,Address,342001.0,42.3594,-71.0587,Employee Generated,"(0, 0)"
