,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
472686,101001245404,01/11/2015 12:19:31 AM,,,ONTIME,Open,,Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,686-692 Washington St  Boston  MA  02111,4.0,1C,2.0,A1,Boston,4.0,03,308.0,C,686-692 Washington St,2111.0,Address,145752.0,42.3512,-71.0627,Constituent Call,"(42.3512, -71.0627)"
473081,101001245975,01/12/2015 11:59:22 AM,,01/12/2015 12:04:48 PM,ONTIME,Closed,Case Closed Case Invalid Wrong Address,Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,686-692 Washington St  Boston  MA  02111,4.0,1C,2.0,A1,Boston,4.0,03,308.0,C,686-692 Washington St,2111.0,Address,145752.0,42.3512,-71.0627,Constituent Call,"(42.3512, -71.0627)"
473085,101001245981,01/12/2015 12:06:16 PM,,,ONTIME,Open,,Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,692 Washington St  Boston  MA  02111,4.0,1C,2.0,A1,Boston,4.0,03,308.0,C,692 Washington St,2111.0,Address,332074.0,42.3512,-71.0627,Constituent Call,"(42.3512, -71.0627)"
473393,101001246474,01/13/2015 09:37:30 AM,,,ONTIME,Open,,Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,962-968 Massachusetts Ave  Roxbury  MA  02118,6.0,1C,7.0,C6,South Boston / South Boston Waterfront,13.0,Ward 8,806.0,C,962-968 Massachusetts Ave,2118.0,Address,92678.0,42.329,-71.0681,Constituent Call,"(42.329, -71.0681)"
474345,101001247858,01/15/2015 12:07:48 PM,,,ONTIME,Open,,Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,11 HF-13 Thacher St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,304.0,CD,11 HF-13 Thacher St,2113.0,Address,134620.0,42.3654,-71.057,Constituent Call,"(42.3654, -71.057)"
498100,101001281994,02/07/2015 05:54:16 PM,,02/07/2015 05:55:58 PM,ONTIME,Closed,Case Closed Case Resolved Caller canceled the case out.,Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,15 Verdun St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1611.0,R2,15 Verdun St,2124.0,Address,139954.0,42.2826,-71.0598,Constituent Call,"(42.2826, -71.0598)"
501470,101001286349,02/10/2015 04:40:44 PM,,,ONTIME,Open,,Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,655 Metropolitan Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,18,1815.0,E,655 Metropolitan Ave,2136.0,Address,94996.0,42.2629,-71.1179,Constituent Call,"(42.2629, -71.1179)"
512561,101001301739,02/17/2015 03:24:21 PM,,02/17/2015 04:14:01 PM,ONTIME,Closed,Case Closed Case Invalid No Case Details,Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,1501 Commonwealth Ave  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2109.0,E,1501 Commonwealth Ave,2135.0,Address,37764.0,42.3473,-71.1413,Constituent Call,"(42.3473, -71.1413)"
520364,101001313284,02/24/2015 07:13:09 AM,,,ONTIME,Open,,Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Calumet St & Tremont St  Boston  MA,9.0,10A,8.0,B2,Mission Hill,14.0,Ward 10,1003.0,,INTERSECTION Calumet St & Tremont St,,Intersection,2318.0,42.3341,-71.1048,Constituent Call,"(42.3341, -71.1048)"
525839,101001321334,03/02/2015 12:44:06 PM,,03/02/2015 05:37:06 PM,ONTIME,Closed,Case Closed Case Invalid TESTING,Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
