,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469798,101001241234,01/02/2015 11:35:42 AM,01/03/2015 11:35:42 AM,01/14/2015 09:51:57 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Unsafe/Dangerous Conditions,Inspectional Services,Building,Unsafe Dangerous Conditions,ISD_Building (INTERNAL),ISD,,,135 W Seventh St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,602.0,R3,135 W Seventh St,2127.0,Address,309236.0,42.3355,-71.053,Constituent Call,"(42.3355, -71.053)"
469873,101001241345,01/02/2015 01:32:57 PM,01/03/2015 01:32:57 PM,01/05/2015 03:19:17 PM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Unsafe/Dangerous Conditions,Inspectional Services,Building,Unsafe Dangerous Conditions,ISD_Building (INTERNAL),ISD,,,100-102 Warren St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1201.0,RC,100-102 Warren St,2119.0,Address,143203.0,42.327,-71.0829,Constituent Call,"(42.327, -71.0829)"
469938,101001241457,01/02/2015 03:17:27 PM,01/03/2015 03:17:27 PM,03/02/2015 11:14:30 AM,OVERDUE,Closed,Case Closed NOBASE: No Basis,Unsafe/Dangerous Conditions,Inspectional Services,Building,Unsafe Dangerous Conditions,ISD_Building (INTERNAL),ISD,,,5 Euclid St  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1708.0,R1,5 Euclid St,2124.0,Address,54510.0,42.2887,-71.0717,Constituent Call,"(42.2887, -71.0717)"
470795,101001242681,01/05/2015 06:58:58 PM,01/06/2015 06:58:58 PM,01/07/2015 03:55:11 PM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Unsafe/Dangerous Conditions,Inspectional Services,Building,Unsafe Dangerous Conditions,ISD_Building (INTERNAL),ISD,,,16 Greenwich St  Dorchester  MA  02122,7.0,03,3.0,C11,Dorchester,8.0,Ward 15,1506.0,R2,16 Greenwich St,2122.0,Address,66848.0,42.3035,-71.0587,Self Service,"(42.3035, -71.0587)"
471013,101001242987,01/06/2015 10:46:16 AM,01/07/2015 10:46:16 AM,03/20/2015 03:00:36 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsafe/Dangerous Conditions,Inspectional Services,Building,Unsafe Dangerous Conditions,ISD_Building (INTERNAL),ISD,,,159 Dorchester St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 7,704.0,CM,159 Dorchester St,2127.0,Address,48895.0,42.3344,-71.0486,Constituent Call,"(42.3344, -71.0486)"
471142,101001243191,01/06/2015 02:47:35 PM,01/07/2015 02:47:35 PM,01/07/2015 03:51:13 PM,OVERDUE,Closed,Case Closed VIOLFND: Violation Found,Unsafe/Dangerous Conditions,Inspectional Services,Building,Unsafe Dangerous Conditions,ISD_Building (INTERNAL),ISD,,,22 Marion St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,108.0,R2,22 Marion St,2128.0,Address,90018.0,42.3802,-71.0385,Constituent Call,"(42.3802, -71.0385)"
471144,101001243194,01/06/2015 02:50:38 PM,01/07/2015 02:50:37 PM,02/03/2015 09:07:49 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Unsafe/Dangerous Conditions,Inspectional Services,Building,Unsafe Dangerous Conditions,ISD_Building (INTERNAL),ISD,,,17-19 Newhall St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1609.0,R2,17-19 Newhall St,2122.0,Address,102117.0,42.2886,-71.0513,Constituent Call,"(42.2886, -71.0513)"
471146,101001243196,01/06/2015 02:51:26 PM,01/07/2015 02:51:26 PM,01/07/2015 02:52:54 PM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Unsafe/Dangerous Conditions,Inspectional Services,Building,Unsafe Dangerous Conditions,ISD_Building (INTERNAL),ISD,,,34-38 Prince St  Boston  MA  02113,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,303.0,RC,34-38 Prince St,2113.0,Address,112888.0,42.3645,-71.0545,Constituent Call,"(42.3645, -71.0545)"
471149,101001243199,01/06/2015 02:54:23 PM,01/07/2015 02:54:23 PM,01/20/2015 03:02:32 PM,OVERDUE,Closed,Case Closed PERMIS: Permit Issued,Unsafe/Dangerous Conditions,Inspectional Services,Building,Unsafe Dangerous Conditions,ISD_Building (INTERNAL),ISD,,,12 Boyd St  Dorchester  MA  02124,7.0,03,4.0,C11,Dorchester,8.0,Ward 15,1505.0,R3,12 Boyd St,2124.0,Address,17910.0,42.3002,-71.0681,Constituent Call,"(42.3002, -71.0681)"
471152,101001243202,01/06/2015 02:56:40 PM,01/07/2015 02:56:40 PM,01/07/2015 02:57:07 PM,OVERDUE,Closed,Case Closed NOBASE: No Basis,Unsafe/Dangerous Conditions,Inspectional Services,Building,Unsafe Dangerous Conditions,ISD_Building (INTERNAL),ISD,,,280 Friend St  Boston  MA  02114,3.0,1B,1.0,A1,Downtown / Financial District,3.0,03,306.0,,280 Friend St,2114.0,Address,344155.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
