,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471659,101001243915,01/08/2015 08:02:46 AM,01/12/2015 08:30:00 AM,01/12/2015 08:37:26 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,0 Longwood Ave  Boston  MA  02215,4.0,10A,8.0,B2,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 4,410.0,E,0 Longwood Ave,2215.0,Address,87160.0,42.3396,-71.1092,Constituent Call,"(42.3396, -71.1092)"
484205,101001261363,01/29/2015 11:01:03 AM,02/02/2015 11:01:03 AM,02/02/2015 08:44:47 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,260 Bowdoin St  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,15,1503.0,,260 Bowdoin St,2125.0,Address,354503.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
511790,101001300667,02/17/2015 10:28:27 AM,02/19/2015 10:28:27 AM,02/25/2015 08:30:53 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,1150 Saratoga St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,112.0,C,1150 Saratoga St,2128.0,Address,122468.0,42.3845,-70.9991,Constituent Call,"(42.3845, -70.9991)"
512268,101001301339,02/17/2015 01:11:52 PM,02/19/2015 01:11:52 PM,02/18/2015 02:57:36 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,120 Cambridge St  Boston  MA  02114,3.0,1B,1.0,A1,Beacon Hill,3.0,Ward 3,306.0,C,120 Cambridge St,2114.0,Address,162856.0,42.361,-71.0633,Constituent Call,"(42.361, -71.0633)"
538843,101001340280,03/24/2015 08:20:09 AM,03/26/2015 08:30:00 AM,03/24/2015 03:28:02 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,1727 Centre St  West Roxbury  MA  02132,9.0,06,6.0,E5,West Roxbury,10.0,20,2007.0,,1727 Centre St,2132.0,Address,352134.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
540931,101001343243,03/27/2015 09:21:06 AM,03/31/2015 09:21:06 AM,03/27/2015 03:45:41 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,950 American Legion Hwy  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,18,1808.0,,950 American Legion Hwy,2136.0,Address,347022.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
549633,101001355196,04/13/2015 02:57:30 PM,04/15/2015 02:57:30 PM,04/13/2015 02:58:15 PM,ONTIME,Closed,Case Closed Case Invalid,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,650 American Legion Hwy  Roslindale  MA  02131,12.0,02,5.0,E18,Roslindale,10.0,Ward 18,1807.0,C,650 American Legion Hwy,2131.0,Address,156846.0,42.284,-71.1109,Constituent Call,"(42.284, -71.1109)"
559808,101001369675,05/04/2015 01:57:00 PM,05/06/2015 01:57:57 PM,05/06/2015 08:26:42 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-06 08:26:42.84 VIOISS: Violation Filed,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,250 Northern Ave  Boston  MA  02210,,,0.0,,South Boston / South Boston Waterfront,0.0,06,,,250 Northern Ave,2210.0,Address,342824.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
568661,101001382785,05/21/2015 06:14:00 PM,05/27/2015 08:30:00 AM,05/27/2015 07:29:03 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-27 07:29:03.273 NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,1590 Tremont St  Mission Hill  MA  02120,9.0,10A,8.0,B2,Mission Hill,14.0,10,1003.0,,1590 Tremont St,2120.0,Address,351745.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
570109,101001394963,05/26/2015 01:44:00 PM,05/28/2015 01:44:45 PM,05/28/2015 08:27:32 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-28 08:27:32.903 VIOISS: Violation Filed,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,924 Morton St  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,17,1710.0,,924 Morton St,2124.0,Address,354377.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
571359,101001396698,05/28/2015 09:43:58 AM,06/01/2015 09:43:58 AM,06/02/2015 07:52:22 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-06-02 07:52:22.31 NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,662 Centre St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,19,1906.0,,662 Centre St,2130.0,Address,352518.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
572321,101001398044,05/29/2015 11:23:30 AM,06/02/2015 11:23:30 AM,06/02/2015 08:38:21 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-02 08:38:21.757 NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,1106-1110 Boylston St  Boston  MA  02215,4.0,10A,8.0,D4,Back Bay,14.0,Ward 4,406.0,C,1106-1110 Boylston St,2215.0,Address,17997.0,42.3468,-71.0886,Constituent Call,"(42.3468, -71.0886)"
576153,101001403681,06/05/2015 06:44:00 PM,06/10/2015 08:30:00 AM,06/08/2015 03:37:56 PM,ONTIME,Closed,Case Closed. Closed date : 2015-06-08 15:37:56.853 VIOISS: Violation Filed,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,75 Francis St  Boston  MA  02115,4.0,10A,8.0,B2,Boston,14.0,04,410.0,E,75 Francis St,2115.0,Address,158148.0,42.3361,-71.1075,Self Service,"(42.3361, -71.1075)"
578542,101001407283,06/11/2015 09:25:10 AM,06/15/2015 09:25:08 AM,06/12/2015 09:21:55 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-12 09:21:55.13 NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,3700 Washington St  Jamaica Plain  MA  02130,12.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1108.0,C,3700 Washington St,2130.0,Address,144970.0,42.3005,-71.1128,Constituent Call,"(42.3005, -71.1128)"
579087,101001408100,06/12/2015 08:09:48 AM,06/16/2015 08:30:00 AM,06/15/2015 07:58:47 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-15 07:58:47.117 NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,650 Atlantic Ave  Boston  MA  02110,3.0,1B,1.0,A1,Boston,3.0,03,301.0,C,650 Atlantic Ave,2110.0,Address,157899.0,42.3519,-71.0554,Constituent Call,"(42.3519, -71.0554)"
598483,101001435635,07/23/2015 05:43:00 PM,07/28/2015 08:30:00 AM,07/24/2015 03:28:46 PM,ONTIME,Closed,Case Closed. Closed date : 2015-07-24 15:28:46.097 NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,71 Summer St  Boston  MA  02111,3.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,C,71 Summer St,2111.0,Address,132048.0,42.3541,-71.059,Constituent Call,"(42.3541, -71.059)"
601327,101001439415,07/29/2015 12:51:00 PM,07/31/2015 12:51:47 PM,07/31/2015 08:03:16 AM,ONTIME,Closed,Case Closed. Closed date : 2015-07-31 08:03:16.65 NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Employees,Inspectional Services,Health,Unsanitary Conditions - Employees,ISD_Health (INTERNAL),ISD,,,957 Dorchester Ave  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1307.0,C,957 Dorchester Ave,2125.0,Address,156514.0,42.3182,-71.0569,Constituent Call,"(42.3182, -71.0569)"
