,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469663,101001241045,01/02/2015 09:22:00 AM,01/06/2015 09:21:59 AM,01/02/2015 03:42:24 PM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Establishment,Inspectional Services,Health,Unsanitary Conditions - Establishment,ISD_Health (INTERNAL),ISD,,,1281 Hyde Park Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1818.0,C,1281 Hyde Park Ave,2136.0,Address,156201.0,42.2553,-71.1245,Constituent Call,"(42.2553, -71.1245)"
471436,101001243585,01/07/2015 11:26:25 AM,01/09/2015 11:26:25 AM,01/08/2015 03:33:47 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Establishment,Inspectional Services,Health,Unsanitary Conditions - Establishment,ISD_Health (INTERNAL),ISD,,,75 Francis St  Boston  MA  02115,4.0,10A,8.0,B2,Boston,14.0,04,410.0,E,75 Francis St,2115.0,Address,158148.0,42.3361,-71.1075,Constituent Call,"(42.3361, -71.1075)"
471605,101001243846,01/07/2015 06:31:03 PM,01/12/2015 08:30:00 AM,01/12/2015 03:33:02 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Establishment,Inspectional Services,Health,Unsanitary Conditions - Establishment,ISD_Health (INTERNAL),ISD,,,1003 Massachusetts Ave  Roxbury  MA  02119,7.0,10B,7.0,C6,Roxbury,13.0,08,806.0,C,1003 Massachusetts Ave,2119.0,Address,91935.0,42.3281,-71.0683,Self Service,"(42.3281, -71.0683)"
471900,101001244261,01/08/2015 01:00:56 PM,01/12/2015 01:00:55 PM,01/09/2015 08:59:28 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Establishment,Inspectional Services,Health,Unsanitary Conditions - Establishment,ISD_Health (INTERNAL),ISD,,,120 Brookline Ave  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,502.0,C,120 Brookline Ave,2215.0,Address,22081.0,42.3456,-71.0999,Constituent Call,"(42.3456, -71.0999)"
472095,101001244522,01/08/2015 07:43:46 PM,01/13/2015 08:30:00 AM,01/12/2015 08:48:10 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Establishment,Inspectional Services,Health,Unsanitary Conditions - Establishment,ISD_Health (INTERNAL),ISD,,,4 Avery St  Boston  MA  02111,3.0,1C,2.0,A1,Boston,4.0,03,308.0,CC,4 Avery St,2111.0,Address,7254.0,42.3531,-71.0629,Self Service,"(42.3531, -71.0629)"
473739,101001246972,01/14/2015 08:19:21 AM,01/16/2015 08:30:00 AM,01/14/2015 03:26:35 PM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Establishment,Inspectional Services,Health,Unsanitary Conditions - Establishment,ISD_Health (INTERNAL),ISD,,,88 E Newton St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 8,802.0,E,88 E Newton St,2118.0,Address,155949.0,42.3369,-71.0709,Constituent Call,"(42.3369, -71.0709)"
473807,101001247074,01/14/2015 09:48:09 AM,01/16/2015 09:48:08 AM,01/20/2015 07:21:45 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Establishment,Inspectional Services,Health,Unsanitary Conditions - Establishment,ISD_Health (INTERNAL),ISD,,,120 Fisher Ave  Mission Hill  MA  02120,9.0,10A,6.0,B2,Mission Hill,11.0,Ward 10,1006.0,E,120 Fisher Ave,2120.0,Address,156580.0,42.3276,-71.1051,Constituent Call,"(42.3276, -71.1051)"
474258,101001247750,01/15/2015 10:19:46 AM,01/20/2015 10:19:46 AM,01/15/2015 10:21:45 AM,ONTIME,Closed,Case Closed Case Invalid Wrong Address,Unsanitary Conditions - Establishment,Inspectional Services,Health,Unsanitary Conditions - Establishment,ISD_Health (INTERNAL),ISD,,,1513 Washington St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 9,901.0,RC,1513 Washington St,2118.0,Address,330237.0,42.34,-71.0724,Constituent Call,"(42.34, -71.0724)"
474261,101001247754,01/15/2015 10:22:45 AM,01/20/2015 10:22:45 AM,01/16/2015 08:27:49 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Unsanitary Conditions - Establishment,Inspectional Services,Health,Unsanitary Conditions - Establishment,ISD_Health (INTERNAL),ISD,,,1513 Washington St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 9,901.0,RC,1513 Washington St,2118.0,Address,330237.0,42.34,-71.0724,Constituent Call,"(42.34, -71.0724)"
474631,101001248277,01/16/2015 09:02:15 AM,01/21/2015 09:02:15 AM,01/20/2015 08:53:22 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Establishment,Inspectional Services,Health,Unsanitary Conditions - Establishment,ISD_Health (INTERNAL),ISD,,,1010 Massachusetts Ave  Roxbury  MA  02118,6.0,1C,7.0,C6,South Boston / South Boston Waterfront,13.0,08,806.0,,1010 Massachusetts Ave,2118.0,Address,345943.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
