,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469827,101001241272,01/02/2015 12:15:56 PM,01/06/2015 12:15:55 PM,01/06/2015 11:06:15 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,7 Allstate Rd  Dorchester  MA  02125,6.0,03,2.0,C6,Dorchester,5.0,Ward 7,708.0,C,7 Allstate Rd,2125.0,Address,2338.0,42.3293,-71.0633,Constituent Call,"(42.3293, -71.0633)"
469832,101001241277,01/02/2015 12:21:13 PM,01/06/2015 12:21:13 PM,01/06/2015 08:57:52 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,460 Blue Hill Ave  Dorchester  MA  02121,7.0,03,4.0,B2,Dorchester,13.0,14,1401.0,C,460 Blue Hill Ave,2121.0,Address,156120.0,42.3089,-71.0825,Constituent Call,"(42.3089, -71.0825)"
469934,101001241448,01/02/2015 03:10:42 PM,01/06/2015 03:10:42 PM,01/05/2015 03:43:40 PM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,154 Maverick St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,103.0,E,154 Maverick St,2128.0,Address,92958.0,42.3699,-71.0379,Constituent Call,"(42.3699, -71.0379)"
469960,101001241492,01/02/2015 03:53:17 PM,01/06/2015 03:53:17 PM,01/08/2015 07:21:26 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,3704 Washington St  Jamaica Plain  MA  02130,12.0,02,6.0,E13,Jamaica Plain,11.0,Ward 11,1108.0,C,3704 Washington St,2130.0,Address,144972.0,42.3004,-71.1129,Constituent Call,"(42.3004, -71.1129)"
471091,101001243118,01/06/2015 01:37:20 PM,01/08/2015 01:37:20 PM,01/08/2015 03:21:55 PM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,INTERSECTION of Essex St & South St  Boston  MA,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,,INTERSECTION Essex St & South St,,Intersection,4638.0,42.3521,-71.0572,Constituent Call,"(42.3521, -71.0572)"
471125,101001243167,01/06/2015 02:21:37 PM,01/08/2015 02:21:35 PM,01/07/2015 09:39:09 AM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,154 Maverick St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,103.0,E,154 Maverick St,2128.0,Address,92958.0,42.3699,-71.0379,Constituent Call,"(42.3699, -71.0379)"
471181,101001243240,01/06/2015 03:27:14 PM,01/08/2015 03:27:13 PM,01/07/2015 09:27:43 AM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,INTERSECTION of Essex St & South St  Boston  MA,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,,INTERSECTION Essex St & South St,,Intersection,4638.0,42.3521,-71.0572,Constituent Call,"(42.3521, -71.0572)"
471190,101001243253,01/06/2015 03:37:21 PM,01/08/2015 03:37:21 PM,01/12/2015 08:22:25 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,7 Allstate Rd  Dorchester  MA  02125,6.0,03,2.0,C6,Dorchester,5.0,Ward 7,708.0,C,7 Allstate Rd,2125.0,Address,2338.0,42.3293,-71.0633,Constituent Call,"(42.3293, -71.0633)"
471671,101001243942,01/08/2015 08:30:54 AM,01/12/2015 08:30:53 AM,01/12/2015 08:22:29 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,7 Allstate Rd  Dorchester  MA  02125,6.0,03,2.0,C6,Dorchester,5.0,Ward 7,708.0,C,7 Allstate Rd,2125.0,Address,2338.0,42.3293,-71.0633,Constituent Call,"(42.3293, -71.0633)"
472491,101001245114,01/09/2015 03:48:06 PM,01/13/2015 03:48:06 PM,01/12/2015 03:48:36 PM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,650 American Legion Hwy  Roslindale  MA  02131,12.0,02,5.0,E18,Roslindale,10.0,Ward 18,1807.0,C,650 American Legion Hwy,2131.0,Address,156846.0,42.284,-71.1109,Constituent Call,"(42.284, -71.1109)"
474209,101001247683,01/15/2015 09:14:04 AM,01/20/2015 09:14:04 AM,01/20/2015 07:12:17 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,870 River St  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,18,1815.0,I,870 River St,2136.0,Address,341267.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
474403,101001247945,01/15/2015 01:18:07 PM,01/20/2015 01:18:07 PM,01/20/2015 08:53:18 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,1010-1022 Massachusetts Ave  Roxbury  MA  02118,6.0,1C,7.0,C6,South Boston / South Boston Waterfront,13.0,Ward 8,806.0,E,1010-1022 Massachusetts Ave,2118.0,Address,91936.0,42.3279,-71.0673,Self Service,"(42.3279, -71.0673)"
474632,101001248278,01/16/2015 09:02:48 AM,01/21/2015 09:02:48 AM,01/20/2015 08:56:07 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,INTERSECTION of Chatham Row & State St  Boston  MA,3.0,1C,1.0,A1,Downtown / Financial District,3.0,Ward 3,306.0,,INTERSECTION Chatham Row & State St,,Intersection,2840.0,42.3593,-71.0543,Self Service,"(42.3593, -71.0543)"
475162,101001249071,01/17/2015 11:20:36 PM,01/22/2015 08:30:00 AM,01/26/2015 08:51:38 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Unsanitary Conditions - Food,Inspectional Services,Health,Unsanitary Conditions - Food,ISD_Health (INTERNAL),ISD,,,1-7 Brighton Ave  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,14.0,Ward 21,2103.0,C,1-7 Brighton Ave,2134.0,Address,20065.0,42.3524,-71.1253,Self Service,"(42.3524, -71.1253)"
