,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469558,101001240883,01/01/2015 07:29:59 PM,05/01/2015 07:29:59 PM,,OVERDUE,Open,,Unsatisfactory Living Conditions,Inspectional Services,Housing,Unsatisfactory Living Conditions,ISD_Housing (INTERNAL),ISD,,,247 Walnut Ave  Roxbury  MA  02119,9.0,10B,7.0,B2,Roxbury,13.0,Ward 11,1103.0,A,247 Walnut Ave,2119.0,Address,327372.0,42.3181,-71.0913,Constituent Call,"(42.3181, -71.0913)"
469627,101001240992,01/02/2015 08:42:29 AM,05/02/2015 08:42:29 AM,,OVERDUE,Open,,Unsatisfactory Living Conditions,Inspectional Services,Housing,Unsatisfactory Living Conditions,ISD_Housing (INTERNAL),ISD,,,188 Washington St  Brighton  MA  02135,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2111.0,R2,188 Washington St,2135.0,Address,329172.0,42.3463,-71.1472,Constituent Call,"(42.3463, -71.1472)"
469773,101001241197,01/02/2015 11:07:47 AM,05/02/2015 11:07:47 AM,,OVERDUE,Open,,Unsatisfactory Living Conditions,Inspectional Services,Housing,Unsatisfactory Living Conditions,ISD_Housing (INTERNAL),ISD,,,21 Salem St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,Ward 2,206.0,R3,21 Salem St,2129.0,Address,305351.0,42.3776,-71.0658,Constituent Call,"(42.3776, -71.0658)"
469778,101001241207,01/02/2015 11:16:16 AM,05/02/2015 11:16:16 AM,03/05/2015 10:55:28 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsatisfactory Living Conditions,Inspectional Services,Housing,Unsatisfactory Living Conditions,ISD_Housing (INTERNAL),ISD,,,216 Northampton St  Roxbury  MA  02118,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,A,216 Northampton St,2118.0,Address,284611.0,42.338,-71.0803,Constituent Call,"(42.338, -71.0803)"
469835,101001241280,01/02/2015 12:26:18 PM,05/02/2015 12:26:18 PM,,OVERDUE,Open,,Unsatisfactory Living Conditions,Inspectional Services,Housing,Unsatisfactory Living Conditions,ISD_Housing (INTERNAL),ISD,,,33 Clifford St  Roxbury  MA  02119,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1204.0,R3,33 Clifford St,2119.0,Address,33950.0,42.3198,-71.0802,Constituent Call,"(42.3198, -71.0802)"
469855,101001241318,01/02/2015 01:10:18 PM,05/02/2015 01:10:18 PM,,OVERDUE,Open,,Unsatisfactory Living Conditions,Inspectional Services,Housing,Unsatisfactory Living Conditions,ISD_Housing (INTERNAL),ISD,,,30 Julian St  Dorchester  MA  02125,7.0,03,7.0,B2,Roxbury,13.0,Ward 13,1301.0,CD,30 Julian St,2125.0,Address,80306.0,42.3195,-71.0763,Constituent Call,"(42.3195, -71.0763)"
469929,101001241429,01/02/2015 03:04:25 PM,05/02/2015 03:04:25 PM,03/05/2015 03:25:04 PM,ONTIME,Closed,Case Closed :,Unsatisfactory Living Conditions,Inspectional Services,Housing,Unsatisfactory Living Conditions,ISD_Housing (INTERNAL),ISD,,,121 Saint Andrew Rd  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,112.0,R2,121 Saint Andrew Rd,2128.0,Address,303279.0,42.3832,-70.9996,Constituent Call,"(42.3832, -70.9996)"
470272,101001241924,01/04/2015 01:32:15 PM,05/04/2015 01:32:15 PM,,OVERDUE,Open,,Unsatisfactory Living Conditions,Inspectional Services,Housing,Unsatisfactory Living Conditions,ISD_Housing (INTERNAL),ISD,,,33 Adamson St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2202.0,R3,33 Adamson St,2134.0,Address,1050.0,42.3582,-71.1357,Constituent Call,"(42.3582, -71.1357)"
470512,101001242269,01/05/2015 10:21:13 AM,05/05/2015 10:21:13 AM,,OVERDUE,Open,,Unsatisfactory Living Conditions,Inspectional Services,Housing,Unsatisfactory Living Conditions,ISD_Housing (INTERNAL),ISD,,,90 W Newton St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 9,901.0,E,90 W Newton St,2118.0,Address,283132.0,42.3406,-71.076,Constituent Call,"(42.3406, -71.076)"
470564,101001242351,01/05/2015 11:28:21 AM,05/05/2015 11:28:20 AM,03/05/2015 01:31:37 PM,ONTIME,Closed,Case Closed ADCLSD: Administratively Closed,Unsatisfactory Living Conditions,Inspectional Services,Housing,Unsatisfactory Living Conditions,ISD_Housing (INTERNAL),ISD,,,59 Washington St  Dorchester  MA  02121,7.0,03,4.0,B2,Dorchester,13.0,14,1403.0,,59 Washington St,2121.0,Address,332524.0,42.3063,-71.0819,Constituent Call,"(42.3063, -71.0819)"
