,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470039,101001241607,01/03/2015 09:53:07 AM,04/03/2015 09:53:06 AM,02/19/2015 02:27:19 PM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,33 Woolson St  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1405.0,R3,33 Woolson St,2126.0,Address,339001.0,42.2816,-71.0906,Constituent Call,"(42.2816, -71.0906)"
470278,101001241935,01/04/2015 02:01:07 PM,04/04/2015 02:01:07 PM,03/05/2015 09:07:50 AM,ONTIME,Closed,Case Closed NOVIO: No Violation Found/No Cause,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,90 Columbia Rd  Dorchester  MA  02121,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1403.0,A,90 Columbia Rd,2121.0,Address,35449.0,42.3051,-71.0817,Constituent Call,"(42.3051, -71.0817)"
470894,101001242819,01/06/2015 08:55:12 AM,04/06/2015 08:55:12 AM,,OVERDUE,Open,,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,418 Talbot Ave  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,8.0,Ward 16,1603.0,R3,418 Talbot Ave,2124.0,Address,317769.0,42.2899,-71.0688,Constituent Call,"(42.2899, -71.0688)"
471554,101001243780,01/07/2015 03:24:28 PM,04/07/2015 03:24:28 PM,,OVERDUE,Open,,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,123 Brown Ave  Roslindale  MA  02131,12.0,02,5.0,E5,Roslindale,10.0,Ward 19,1910.0,R2,123 Brown Ave,2131.0,Address,198663.0,42.2836,-71.1211,Constituent Call,"(42.2836, -71.1211)"
472543,101001245182,01/09/2015 06:17:35 PM,04/09/2015 06:17:34 PM,,OVERDUE,Open,,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,354 Sumner St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,101.0,R2,354 Sumner St,2128.0,Address,132416.0,42.367,-71.035,Constituent Call,"(42.367, -71.035)"
472561,101001245204,01/09/2015 08:22:01 PM,04/09/2015 08:22:00 PM,,OVERDUE,Open,,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,3 Edwin St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1606.0,A,3 Edwin St,2124.0,Address,228436.0,42.2887,-71.063,Constituent Call,"(42.2887, -71.063)"
472625,101001245297,01/10/2015 12:26:55 PM,04/10/2015 12:26:54 PM,,OVERDUE,Open,,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,104 Hazleton St  Mattapan  MA  02126,8.0,07,4.0,B3,Greater Mattapan,9.0,14,1408.0,R2,104 Hazleton St,2126.0,Address,72232.0,42.2816,-71.0973,Constituent Call,"(42.2816, -71.0973)"
473708,101001246929,01/14/2015 06:52:01 AM,04/14/2015 06:52:01 AM,05/29/2015 02:54:21 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-05-29 14:54:21.187 :,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,54 Mount Pleasant Ave  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,803.0,A,54 Mount Pleasant Ave,2119.0,Address,278760.0,42.3265,-71.0788,Constituent Call,"(42.3265, -71.0788)"
474120,101001247536,01/14/2015 08:21:02 PM,04/14/2015 08:21:02 PM,,OVERDUE,Open,,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,3-4 Kavanaugh Way  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1206.0,A,3-4 Kavanaugh Way,2121.0,Address,80708.0,42.3147,-71.0828,Constituent Call,"(42.3147, -71.0828)"
474196,101001247659,01/15/2015 08:48:00 AM,04/15/2015 08:48:00 AM,11/12/2015 02:31:54 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-11-12 14:31:54.437 :,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,472 Commonwealth Ave  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,510.0,RC,472 Commonwealth Ave,2215.0,Address,217020.0,42.3486,-71.0937,Constituent Call,"(42.3486, -71.0937)"
474804,101001248554,01/16/2015 12:35:02 PM,04/16/2015 12:35:02 PM,,OVERDUE,Open,,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,1 Fairland St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,804.0,R3,1 Fairland St,2119.0,Address,232404.0,42.3256,-71.0779,Constituent Call,"(42.3256, -71.0779)"
475473,101001249478,01/19/2015 09:02:48 PM,04/19/2015 09:02:48 PM,,OVERDUE,Open,,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,949 Blue Hill Ave  Dorchester  MA  02124,8.0,07,4.0,B3,Greater Mattapan,9.0,Ward 14,1411.0,R3,949 Blue Hill Ave,2124.0,Address,190359.0,42.292,-71.0893,Constituent Call,"(42.292, -71.0893)"
476299,101001250531,01/20/2015 02:42:34 PM,04/20/2015 02:42:34 PM,,OVERDUE,Open,,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,29 Riverdale St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 22,2202.0,R2,29 Riverdale St,2134.0,Address,116798.0,42.3626,-71.133,Self Service,"(42.3626, -71.133)"
476766,101001251274,01/21/2015 02:32:49 PM,04/21/2015 02:32:49 PM,,OVERDUE,Open,,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,1330 Commonwealth Ave  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2108.0,CD,1330 Commonwealth Ave,2134.0,Address,37393.0,42.3479,-71.135,Constituent Call,"(42.3479, -71.135)"
478177,101001253446,01/25/2015 10:07:02 AM,04/25/2015 10:07:01 AM,01/30/2015 09:56:56 AM,ONTIME,Closed,Case Closed :,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,90 Columbia Rd  Dorchester  MA  02121,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1403.0,A,90 Columbia Rd,2121.0,Address,35449.0,42.3051,-71.0817,Constituent Call,"(42.3051, -71.0817)"
480833,101001257098,01/28/2015 08:54:46 AM,04/28/2015 08:54:45 AM,03/14/2015 10:41:30 AM,ONTIME,Closed,Case Closed :,Unsatisfactory Utilities - Electrical  Plumbing,Inspectional Services,Housing,Unsatisfactory Utilities - Electrical  Plumbing,ISD_Housing (INTERNAL),ISD,,,55 Colonial Ave  Dorchester  MA  02124,8.0,07,4.0,B3,Dorchester,9.0,Ward 17,1705.0,R4,55 Colonial Ave,2124.0,Address,209877.0,42.2905,-71.0774,Constituent Call,"(42.2905, -71.0774)"
