,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
471184,101001243243,01/06/2015 03:30:40 PM,07/05/2015 03:29:00 PM,01/06/2015 04:38:14 PM,ONTIME,Closed,Case Closed Case Resolved installed 4 #4 cables on tremont street from boylston to syuart. repaired lateral cables as best as possible. spliced in all pb's and returned system to normal operation. kb/vm/rk,cable install////printed,Public Works Department,Street Lights,Upgrade Existing Lighting,PWDx_Street Light_Upgrade Existing Lighting,PWDx,,,0 Tremont St  Boston  MA  02108,3.0,1C,1.0,A1,Downtown / Financial District,3.0,Ward 3,306.0,E,0 Tremont St,2108.0,Address,136756.0,42.3583,-71.0598,Employee Generated,"(42.3583, -71.0598)"
476827,101001251365,01/21/2015 03:30:00 PM,07/20/2015 03:30:42 PM,,OVERDUE,Open,,PRINTED,Public Works Department,Street Lights,Upgrade Existing Lighting,PWDx_Street Light_Upgrade Existing Lighting,PWDx,,,365 Sumner St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,101.0,R2,365 Sumner St,2128.0,Address,132427.0,42.3664,-71.0349,Constituent Call,"(42.3664, -71.0349)"
550282,101001356088,04/14/2015 01:02:44 PM,06/13/2015 01:02:44 PM,07/10/2015 03:03:50 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-07-10 15:03:50.893 Case Resolved Floodlight installed and operational,Upgrade Existing Lighting  //  PRINTED,Public Works Department,Street Lights,Upgrade Existing Lighting,PWDx_Street Light_Upgrade Existing Lighting,PWDx,,,665 Beech St  Roslindale  MA  02131,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1822.0,R1,665 Beech St,2131.0,Address,13315.0,42.2711,-71.1276,Constituent Call,"(42.2711, -71.1276)"
552163,101001358750,04/17/2015 10:22:35 AM,06/16/2015 10:22:35 AM,05/29/2015 08:09:21 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-29 08:09:21.79 Case Resolved Installed one 29' concrete post -w- single #11 LED standard fixture Pulled all new #10 triplex cable and spliced and insulated cables and checked out unit.  NOTE: Conduit was jammed -w- debris. took a while to clear out and snake new cables from pullbox to fixture.  G McCarthy  J Felder  W Santry  H Tyra.  EP 5-28-15,PRINTED,Public Works Department,Street Lights,Upgrade Existing Lighting,PWDx_Street Light_Upgrade Existing Lighting,PWDx,,,1138-1140 Washington St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 17,1713.0,RC,1138-1140 Washington St,2124.0,Address,145935.0,42.2727,-71.0692,Constituent Call,"(42.2727, -71.0692)"
552452,101001359159,04/17/2015 03:33:01 PM,06/16/2015 03:32:00 PM,04/17/2015 09:44:29 PM,ONTIME,Closed,Case Closed Case Resolved Spliced in cables in pullbox to energize light at #7 Parkman St K Buckley K Kelley,splicing in nstar////printed,Public Works Department,Street Lights,Upgrade Existing Lighting,PWDx_Street Light_Upgrade Existing Lighting,PWDx,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
557837,101001366710,04/29/2015 03:36:37 PM,06/28/2015 03:36:36 PM,05/11/2015 05:16:27 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-11 17:16:27.087 Case Resolved r and r 4 LED and reinstall overhead. mike/john,LED conversion request////printed,Public Works Department,Street Lights,Upgrade Existing Lighting,PWDx_Street Light_Upgrade Existing Lighting,PWDx,,,62 Waverly St  Roxbury  MA  02119,7.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1204.0,R1,62 Waverly St,2119.0,Address,146558.0,42.3205,-71.0788,Constituent Call,"(42.3205, -71.0788)"
564076,101001376085,05/12/2015 08:37:00 PM,07/11/2015 08:37:02 PM,05/28/2015 08:26:06 AM,ONTIME,Closed,Case Closed. Closed date : 2015-05-28 08:26:06.52 Case Resolved REPLACED POLE AND FIXTURE AND TIED IN   J.FELDER /H.TYRA /J.PETERSON / J.HENNESSEY,PRINTED,Public Works Department,Street Lights,Upgrade Existing Lighting,PWDx_Street Light_Upgrade Existing Lighting,PWDx,,,28 Shafter St  Dorchester  MA  02121,7.0,03,4.0,B3,Dorchester,8.0,Ward 14,1402.0,R1,28 Shafter St,2121.0,Address,125899.0,42.2997,-71.0774,Constituent Call,"(42.2997, -71.0774)"
564354,101001376483,05/13/2015 10:36:00 AM,07/12/2015 10:36:27 AM,12/31/2015 10:25:44 AM,OVERDUE,Closed,Case Closed. Closed date : 2015-12-31 10:25:44.06 Case Noted Good afternoon. I happened to see your request to have your street light replaced and came out and checked on it myself. I just wanted to let you know that I have issued a new service request to have our contractor  Maverick Construction  install a new sub base and pull box. Service request # 1685368. Once this is completed  we can put up a new 24' concrete pole with a new LED standard fixture on it. I am sorry that this has taken so long. At least we finally have the ball rolling on this. I hope you have a wonderful new years.,PRINTED,Public Works Department,Street Lights,Upgrade Existing Lighting,PWDx_Street Light_Upgrade Existing Lighting,PWDx,,,432-432R Chelsea St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,110.0,R3,432-432R Chelsea St,2128.0,Address,30565.0,42.3806,-71.0266,Constituent Call,"(42.3806, -71.0266)"
568878,101001383121,05/22/2015 10:20:00 AM,07/21/2015 10:20:22 AM,05/22/2015 02:31:35 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-22 14:31:35.213 Case Resolved pole to be removed and replaced,PRINTED,Public Works Department,Street Lights,Upgrade Existing Lighting,PWDx_Street Light_Upgrade Existing Lighting,PWDx,,,1208 Dorchester Ave  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,8.0,15,1506.0,,1208 Dorchester Ave,2125.0,Address,351624.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
575228,101001402348,06/04/2015 10:17:00 AM,08/03/2015 10:17:00 AM,06/04/2015 10:20:06 AM,ONTIME,Closed,Case Closed. Closed date : 2015-06-04 10:20:06.58 Case Resolved Light upgraded 6/2/15.,Upgrade Existing Lighting,Public Works Department,Street Lights,Upgrade Existing Lighting,PWDx_Street Light_Upgrade Existing Lighting,PWDx,,,,,,,,,,,,,,,,,42.3594,-71.0587,Employee Generated,"(0, 0)"
