,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469489,101001240793,01/01/2015 11:33:26 AM,01/06/2015 08:30:00 AM,01/06/2015 02:51:00 PM,OVERDUE,Closed,Case Closed Case Resolved  assigned to ciu,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,95 Brook Farm Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2017.0,E,95 Brook Farm Rd,2132.0,Address,21939.0,42.2915,-71.1683,Constituent Call,"(42.2915, -71.1683)"
469537,101001240853,01/01/2015 03:50:26 PM,01/06/2015 08:30:00 AM,01/06/2015 02:51:00 PM,OVERDUE,Closed,Case Closed Case Resolved  assigned to ciu,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,130 Mount Vernon St  Boston  MA  02108,3.0,1B,8.0,A1,Beacon Hill,14.0,Ward 5,505.0,R1,130 Mount Vernon St,2108.0,Address,98513.0,42.3576,-71.0708,Constituent Call,"(42.3576, -71.0708)"
470004,101001241559,01/02/2015 09:34:11 PM,01/07/2015 08:30:00 AM,01/06/2015 02:51:00 PM,ONTIME,Closed,Case Closed Case Resolved  assigned to ciu,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,489-489A E Broadway  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,604.0,RC,489-489A E Broadway,2127.0,Address,20899.0,42.3353,-71.0453,Constituent Call,"(42.3353, -71.0453)"
470102,101001241698,01/03/2015 03:09:41 PM,01/07/2015 08:30:00 AM,01/06/2015 02:51:00 PM,ONTIME,Closed,Case Closed Case Resolved  assigned to ciu,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,489-489A E Broadway  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,604.0,RC,489-489A E Broadway,2127.0,Address,20899.0,42.3353,-71.0453,Constituent Call,"(42.3353, -71.0453)"
470252,101001241891,01/04/2015 11:21:49 AM,01/07/2015 08:30:00 AM,01/08/2015 02:15:39 PM,OVERDUE,Closed,Case Closed Case Resolved assigned to ciu,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,130 Northampton St  Roxbury  MA  02118,7.0,10B,7.0,D4,Roxbury,13.0,Ward 9,903.0,RC,130 Northampton St,2118.0,Address,284431.0,42.3361,-71.078,Constituent Call,"(42.3361, -71.078)"
471217,101001243288,01/06/2015 04:20:13 PM,01/08/2015 04:20:13 PM,01/07/2015 06:13:31 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,245 Summer St  Boston  MA  02111,4.0,1C,2.0,A1,Downtown / Financial District,4.0,Ward 3,308.0,EA,245 Summer St,2111.0,Address,131985.0,42.3514,-71.0539,Constituent Call,"(42.3514, -71.0539)"
471300,101001243395,01/07/2015 12:27:26 AM,01/09/2015 08:30:00 AM,01/07/2015 06:12:20 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,58 Oakton Ave  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1609.0,R1,58 Oakton Ave,2122.0,Address,104903.0,42.2871,-71.0516,Constituent Call,"(42.2871, -71.0516)"
471306,101001243402,01/07/2015 03:40:14 AM,01/09/2015 08:30:00 AM,01/07/2015 06:11:10 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,7 Upham Ave  Dorchester  MA  02125,7.0,03,7.0,C11,Dorchester,13.0,Ward 13,1305.0,R2,7 Upham Ave,2125.0,Address,139490.0,42.3153,-71.0655,Constituent Call,"(42.3153, -71.0655)"
471307,101001243403,01/07/2015 03:41:46 AM,01/09/2015 08:30:00 AM,01/07/2015 06:10:33 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,14 Shepton St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1606.0,R3,14 Shepton St,2124.0,Address,126726.0,42.2896,-71.0627,Constituent Call,"(42.2896, -71.0627)"
471640,101001243894,01/08/2015 06:12:25 AM,01/12/2015 08:30:00 AM,01/08/2015 02:15:20 PM,ONTIME,Closed,Case Closed Case Resolved assigned to ciu,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,317-319 W Third St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,604.0,A,317-319 W Third St,2127.0,Address,135407.0,42.3371,-71.0464,Constituent Call,"(42.3371, -71.0464)"
472103,101001244531,01/08/2015 08:21:49 PM,01/13/2015 08:30:00 AM,01/09/2015 06:04:05 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,6 Edna Rd  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1611.0,R1,6 Edna Rd,2124.0,Address,51308.0,42.2806,-71.0554,Constituent Call,"(42.2806, -71.0554)"
472123,101001244563,01/08/2015 09:42:06 PM,01/13/2015 08:30:00 AM,01/09/2015 06:03:07 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,67 Maple St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2018.0,R1,67 Maple St,2132.0,Address,89367.0,42.2889,-71.1551,Constituent Call,"(42.2889, -71.1551)"
472554,101001245197,01/09/2015 08:01:02 PM,01/14/2015 08:30:00 AM,01/12/2015 06:09:08 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,41 Groveland St  Mattapan  MA  02126,8.0,07,3.0,B3,Dorchester,7.0,Ward 17,1714.0,R1,41 Groveland St,2126.0,Address,67613.0,42.2731,-71.0772,Constituent Call,"(42.2731, -71.0772)"
472557,101001245200,01/09/2015 08:03:12 PM,01/14/2015 08:30:00 AM,01/12/2015 06:08:26 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,165 Bay State Rd  Boston  MA  02215,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 5,510.0,A,165 Bay State Rd,2215.0,Address,8996.0,42.3506,-71.101,Constituent Call,"(42.3506, -71.101)"
472597,101001245254,01/10/2015 09:08:45 AM,01/14/2015 08:30:00 AM,01/12/2015 06:07:35 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,120-122 Meridian St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,104.0,RC,120-122 Meridian St,2128.0,Address,94390.0,42.3735,-71.0392,Constituent Call,"(42.3735, -71.0392)"
472707,101001245439,01/11/2015 10:02:10 AM,01/14/2015 08:30:00 AM,01/12/2015 06:06:38 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,28 Wadsworth St  Allston  MA  02134,11.0,04,9.0,D14,Allston / Brighton,15.0,Ward 21,2104.0,R1,28 Wadsworth St,2134.0,Address,141284.0,42.3551,-71.1254,Constituent Call,"(42.3551, -71.1254)"
472758,101001245511,01/11/2015 01:49:54 PM,01/14/2015 08:30:00 AM,01/12/2015 06:05:51 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,1480 Commonwealth Ave  Brighton  MA  02135,11.0,04,9.0,D14,Brighton,15.0,21,2109.0,,1480 Commonwealth Ave,2135.0,Address,352673.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
473215,101001246219,01/12/2015 05:23:34 PM,01/15/2015 08:30:00 AM,01/13/2015 05:49:49 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,12 Schirmer Rd  West Roxbury  MA  02132,9.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2019.0,R2,12 Schirmer Rd,2132.0,Address,123758.0,42.2921,-71.1495,Constituent Call,"(42.2921, -71.1495)"
473226,101001246235,01/12/2015 06:04:08 PM,01/15/2015 08:30:00 AM,01/13/2015 05:48:53 AM,ONTIME,Closed,Case Closed Case Resolved ASSIGNED TO CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,196 W Brookline St  Roxbury  MA  02118,4.0,1C,2.0,D4,South End,6.0,Ward 4,403.0,R1,196 W Brookline St,2118.0,Address,22333.0,42.3432,-71.0768,Constituent Call,"(42.3432, -71.0768)"
473311,101001246335,01/13/2015 06:50:03 AM,01/15/2015 08:30:00 AM,01/13/2015 09:30:45 AM,ONTIME,Closed,Case Closed Case Resolved assigned to ciu,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,19 Buchanan Rd  Roslindale  MA  02132,9.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2006.0,R1,19 Buchanan Rd,2132.0,Address,23157.0,42.2961,-71.1355,Constituent Call,"(42.2961, -71.1355)"
473415,101001246502,01/13/2015 10:00:38 AM,01/15/2015 10:00:38 AM,01/13/2015 12:20:29 PM,ONTIME,Closed,Case Closed Case Resolved  assigned to CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,193 Clare Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R2,193 Clare Ave,2136.0,Address,32971.0,42.2714,-71.1195,Constituent Call,"(42.2714, -71.1195)"
473417,101001246504,01/13/2015 10:02:08 AM,01/15/2015 10:02:08 AM,01/13/2015 12:20:29 PM,ONTIME,Closed,Case Closed Case Resolved  assigned to CIU,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,804 Hyde Park Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R1,804 Hyde Park Ave,2136.0,Address,77646.0,42.2723,-71.1198,Constituent Call,"(42.2723, -71.1198)"
