,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469475,101001240772,01/01/2015 09:33:25 AM,,04/09/2015 11:46:23 AM,ONTIME,Closed,Case Closed Case Resolved Made safe futher questions call.617-635-3126 TY Dominic,Utility Casting Repair,Public Works Department,Highway Maintenance,Utility Casting Repair,BTDT_Traffic Signal_Repair,BTDT,https://cityworker.cityofboston.gov:8443/attachments/report/54a55ab1d052065cdb4ccb42/photo/Report.jpg,,73 Tremont St  Boston  MA  02108,3.0,1B,1.0,A1,Boston,3.0,03,306.0,,73 Tremont St,2108.0,Address,347781.0,42.3594,-71.0587,City Worker App,"(0, 0)"
470830,101001242733,01/06/2015 06:29:40 AM,,01/08/2015 08:04:53 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Department Construction Inspection Unit (CIU) has identified the casting cover needing replacement as belonging to Crown Castle.    Crown Castle has been notified to repair the casting as soon as possible.     The location has been entered into the CIU data base that tracks repairs to be made by utility companies or private contractors.    The CIU will monitor the progress of the repair.     Sincerely     Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Utility Casting Repair,Public Works Department,Highway Maintenance,Utility Casting Repair,PWDx_Utility Casting Repair,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54abc723d052065cdb4ced2a/photo/Report.jpg,,INTERSECTION of Dudley St & Magazine St  Roxbury  MA,7.0,03,7.0,B2,Roxbury,13.0,Ward 8,805.0,,INTERSECTION Dudley St & Magazine St,,Intersection,4278.0,42.3252,-71.0749,City Worker App,"(42.3252, -71.0749)"
487385,101001266327,02/01/2015 05:43:59 AM,,02/26/2015 09:59:07 AM,ONTIME,Closed,Case Closed Case Resolved National Grid has been notified to repair the sunken patch.      The CIU has entered into the database that is tracking eroded castings and sunken patches that  need patching after the snow storms.    The CIU will monitor the progress of the repair.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Utility Casting Repair,Public Works Department,Highway Maintenance,Utility Casting Repair,PWDx_Utility Casting Repair,PWDx,,,2000 Centre St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2014.0,C,2000 Centre St,2132.0,Address,27777.0,42.2817,-71.1576,City Worker App,"(42.2817, -71.1576)"
515475,101001306026,02/19/2015 09:19:37 AM,,04/03/2015 11:28:19 AM,ONTIME,Closed,Case Closed Case Resolved REPAIRED FRAME & COVER ON METER BOX 3/30,Utility Casting Repair,Public Works Department,Highway Maintenance,Utility Casting Repair,BWSC_All Cases,BWSC,https://cityworker.cityofboston.gov:8443/attachments/report/54e5f0f5d052841a638fdfdf/photo/Report.jpg,,257 Chelsea St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,105.0,R3,257 Chelsea St,2128.0,Address,205999.0,42.3762,-71.0313,City Worker App,"(42.3762, -71.0313)"
515504,101001306071,02/19/2015 09:29:30 AM,,02/23/2015 07:42:30 AM,ONTIME,Closed,Case Closed Case Resolved The Public Works Construction Inspection Unit (CIU) has identified  the defective cast iron structure as belonging to N.Star Electric    N.Star Electric has been notified that they must repair the casting ASAP    The location has been entered into the CIU data base that tracks repairs to be made by utility companies or private contractors.    The CIU will monitor the progress of the repair.    Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Utility Casting Repair,Public Works Department,Highway Maintenance,Utility Casting Repair,PWDx_Utility Casting Repair,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54e5f347d052841a638fe000/photo/Report.jpg,,77 Horace St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,111.0,R2,77 Horace St,2128.0,Address,75346.0,42.3822,-71.0167,City Worker App,"(42.3822, -71.0167)"
519582,101001312101,02/23/2015 11:04:54 AM,,02/26/2015 09:15:50 AM,ONTIME,Closed,Case Closed Case Resolved National Grid has been notified to repair the sunken patch.      The CIU has entered into the database that is tracking eroded castings and sunken patches that  need patching after the snow storms.    The CIU will monitor the progress of the repair.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Utility Casting Repair,Public Works Department,Highway Maintenance,Utility Casting Repair,PWDx_Utility Casting Repair,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54eb4fa4d052841a638ff54a/photo/Report.jpg,,6-4 Columbia Rd  Dorchester  MA  02121,7.0,03,4.0,B2,Greater Mattapan,13.0,Ward 14,1403.0,RC,6-4 Columbia Rd,2121.0,Address,35314.0,42.3037,-71.0846,City Worker App,"(42.3037, -71.0846)"
524963,101001319941,02/28/2015 11:17:42 AM,,03/23/2015 12:49:03 PM,ONTIME,Closed,Case Closed Case Resolved HYDRANT REPAIRED 3/20,Utility Casting Repair,Public Works Department,Highway Maintenance,Utility Casting Repair,BWSC_All Cases,BWSC,https://cityworker.cityofboston.gov:8443/attachments/report/54f1ea22d052841a63902a44/photo/Report.jpg,,INTERSECTION of Congress St & Hanover St  Boston  MA,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,306.0,,INTERSECTION Congress St & Hanover St,,Intersection,3428.0,42.3616,-71.0576,City Worker App,"(42.3616, -71.0576)"
529998,101001327683,03/09/2015 10:53:22 AM,,03/10/2015 11:20:30 AM,ONTIME,Closed,Case Closed Case Resolved The Construction Inspection Unit (CIU) Inspector determined this casting as belonging to National Grid.    National Grid has been notified and informed to make the necessary repairs ASAP,Utility Casting Repair,Public Works Department,Highway Maintenance,Utility Casting Repair,PWDx_Utility Casting Repair,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/54fdb3dfd052dab9f2a8308c/photo/Report.jpg,,135 Grampian Way  Dorchester  MA  02125,7.0,03,3.0,C11,Dorchester,7.0,Ward 13,1310.0,R2,135 Grampian Way,2125.0,Address,65660.0,42.3099,-71.049,City Worker App,"(42.3099, -71.049)"
534199,101001333938,03/16/2015 11:06:18 AM,,03/18/2015 08:04:43 AM,ONTIME,Closed,Case Closed Case Resolved National Grid has been notified to repair the sunken patch within 5 business days.      The CIU has entered into the database that is tracking eroded castings and sunken patches that  need patching after the snow storms.    The CIU will monitor the progress of the repair.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Utility Casting Repair,Public Works Department,Highway Maintenance,Utility Casting Repair,PWDx_Utility Casting Repair,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/5506f165d052dab9f2a88e16/photo/Report.jpg,,121 E Cottage St  Dorchester  MA  02125,,,0.0,,Dorchester,0.0,07,,,121 E Cottage St,2125.0,Address,348864.0,42.3594,-71.0587,City Worker App,"(0, 0)"
534821,101001334830,03/17/2015 10:31:14 AM,,03/18/2015 08:30:29 PM,ONTIME,Closed,Case Closed Case Resolved case location 1474 dot ave. replaced. clif,Utility Casting Repair/printed,Public Works Department,Highway Maintenance,Utility Casting Repair,PWDx_Street Light_General Lighting Request,PWDx,https://cityworker.cityofboston.gov:8443/attachments/report/55083aacd052dab9f2a89e30/photo/Report.jpg,,8 Centervale Park  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1601.0,R1,8 Centervale Park,2124.0,Address,27264.0,42.2965,-71.0637,City Worker App,"(42.2965, -71.0637)"
