,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
469465,101001240759,01/01/2015 08:35:00 AM,,05/11/2015 06:53:24 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-11 18:53:24.1 Case Resolved Repaired water main 1/1/15,Watermain Break,Boston Water & Sewer Commission,Water Issues,Watermain Break,BWSC_All Cases,BWSC,,,95 Brook Farm Rd  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2017.0,E,95 Brook Farm Rd,2132.0,Address,21939.0,42.2915,-71.1683,Constituent Call,"(42.2915, -71.1683)"
473315,101001246340,01/13/2015 07:19:33 AM,,01/15/2015 11:51:30 AM,ONTIME,Closed,Case Closed Case Resolved Repaired leak on water main 1/13/15,Watermain Break,Boston Water & Sewer Commission,Water Issues,Watermain Break,BWSC_All Cases,BWSC,,,31 Willers St  West Roxbury  MA  02132,12.0,06,6.0,E5,West Roxbury,10.0,Ward 20,2003.0,R1,31 Willers St,2132.0,Address,149778.0,42.2598,-71.1498,Constituent Call,"(42.2598, -71.1498)"
473722,101001246944,01/14/2015 07:54:03 AM,,01/16/2015 11:12:28 AM,ONTIME,Closed,Case Closed Case Resolved LUTO(LEAKING FIRE PIPE)  FOR 26 WORCESTER ST OWNER NOTIFIED AND PROPERTY POSTED 1/16,Watermain Break,Boston Water & Sewer Commission,Water Issues,Watermain Break,BWSC_All Cases,BWSC,,,INTERSECTION of Shawmut Ave & W Springfield St  Roxbury  MA,4.0,1C,7.0,D4,South End,6.0,Ward 9,902.0,,INTERSECTION Shawmut Ave & W Springfield St,,Intersection,8347.0,42.3378,-71.0773,Constituent Call,"(42.3378, -71.0773)"
474123,101001247543,01/14/2015 08:38:26 PM,,01/15/2015 12:09:30 PM,ONTIME,Closed,Case Closed Case Invalid No eform,Watermain Break,Boston Water & Sewer Commission,Water Issues,Watermain Break,BWSC_All Cases,BWSC,,,25-33 Corey St  Charlestown  MA  02129,3.0,1A,1.0,A15,Charlestown,2.0,02,202.0,E,25-33 Corey St,2129.0,Address,341455.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
482725,101001259365,01/28/2015 05:19:58 PM,,01/29/2015 10:55:52 AM,ONTIME,Closed,Case Closed Case Noted This was a leaking fire pipe gate shut off stopped leak 1/28 owner to repair gate,Watermain Break,Boston Water & Sewer Commission,Water Issues,Watermain Break,BWSC_All Cases,BWSC,,,3 Appleton St  Boston  MA  02116,4.0,1C,2.0,D4,Boston,6.0,05,501.0,,3 Appleton St,2116.0,Address,352132.0,42.3594,-71.0587,Constituent Call,"(0, 0)"
495181,101001277390,02/05/2015 09:55:00 AM,,05/11/2015 05:08:08 PM,ONTIME,Closed,Case Closed. Closed date : 2015-05-11 17:08:08.057 Case Noted Water cleared on arrival,Watermain Break,Boston Water & Sewer Commission,Water Issues,Watermain Break,BWSC_All Cases,BWSC,,,INTERSECTION of Canal St & Causeway St  Boston  MA,3.0,1B,1.0,A1,Downtown / Financial District,3.0,Ward 3,306.0,,INTERSECTION Canal St & Causeway St,,Intersection,2404.0,42.3655,-71.0611,Constituent Call,"(42.3655, -71.0611)"
508546,101001296566,02/15/2015 05:58:23 PM,,02/17/2015 09:20:01 AM,ONTIME,Closed,Case Closed Case Noted Dug & repaired leak 2/15,Watermain Break,Boston Water & Sewer Commission,Water Issues,Watermain Break,BWSC_All Cases,BWSC,,,INTERSECTION of Washington St & Melnea Cass Blvd  Roxbury  MA,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,804.0,,INTERSECTION Washington St & Melnea Cass Blvd,,Intersection,6040.0,42.3329,-71.081,Constituent Call,"(42.3329, -71.081)"
508564,101001296585,02/15/2015 06:08:18 PM,,02/17/2015 09:21:15 AM,ONTIME,Closed,Case Closed Case Resolved Dug & repaired leak 2/15,Watermain Break,Boston Water & Sewer Commission,Water Issues,Watermain Break,BWSC_All Cases,BWSC,,,INTERSECTION of Harrison Ave & Melnea Cass Blvd  Roxbury  MA,7.0,10B,7.0,B2,Roxbury,13.0,Ward 8,804.0,,INTERSECTION Harrison Ave & Melnea Cass Blvd,,Intersection,5673.0,42.3321,-71.0794,Constituent Call,"(42.3321, -71.0794)"
511043,101001299597,02/16/2015 08:01:24 PM,,02/17/2015 09:12:25 AM,ONTIME,Closed,Case Closed Case Noted UNABLE TO LOCATE S/W CONTROL  6' OF SNOW. COULD NOT GAIN ENTRANCE TO BLDG. NO SIGN OF LEAK. CALLED CUSTOMER NUMBER IN SYSTEM NO VOICEMAIL. NEED CONTACT INFO AND PROPERTY ACCESS TO FURTHER INVESTIGATE. 2/16,Watermain Break,Boston Water & Sewer Commission,Water Issues,Watermain Break,BWSC_All Cases,BWSC,,,215 Bolton St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,603.0,R1,215 Bolton St,2127.0,Address,16837.0,42.3385,-71.0476,Constituent Call,"(42.3385, -71.0476)"
519483,101001311951,02/23/2015 10:09:32 AM,,02/24/2015 01:09:11 PM,ONTIME,Closed,Case Closed Case Resolved REPAIRED LEAK 2/23,Watermain Break,Boston Water & Sewer Commission,Water Issues,Watermain Break,BWSC_All Cases,BWSC,,,INTERSECTION of Blue Hill Ave & Quincy St  Dorchester  MA,7.0,03,7.0,B2,Roxbury,13.0,Ward 13,1301.0,,INTERSECTION Blue Hill Ave & Quincy St,,Intersection,1584.0,42.3146,-71.0788,Constituent Call,"(42.3146, -71.0788)"
