,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470329,101001241998,01/04/2015 08:54:45 PM,01/08/2015 08:30:00 AM,01/09/2015 08:05:44 AM,OVERDUE,Closed,Case Closed Case Resolved N.Star Electric responding to an electric outage at Causeway St activated an emergency permit    Emergency work must be performed no matter what time of day or night in the interest of public safety and the protection of private property.    Unfortunately the work went into the overnight hours.    The job is now complete.    The city apologizes for the inconvenience this necessary work caused.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Construction Inspection Unit (CIU)  Boston Public Works Department  617-635-4951 Office,Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,PWDx_Work Hours-Loud Noise Complaints,PWDx,,,INTERSECTION of Beverly St & Causeway St  Boston  MA,3.0,1B,8.0,A1,Downtown / Financial District,3.0,Ward 3,305.0,,INTERSECTION Beverly St & Causeway St,,Intersection,1393.0,42.3663,-71.0596,Constituent Call,"(42.3663, -71.0596)"
473251,101001246271,01/12/2015 08:35:22 PM,01/16/2015 08:30:00 AM,01/13/2015 07:53:17 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) Supervisor  Mark Cardarelli called the constituent and left a voice mail explaining the following:    National Grid responding to a gas leak on your street activated an emergency permit.    Emergency work must be performed no matter what time of day or night in the interest of public safety and the protection of private property.    This proved to be a very difficult repair  resulting in National Grid working into the night.     The emergency work has now been completed.    The city apologizes for the inconvenience this necessary work caused.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Construction Inspection Unit (CIU)  Boston Public Works Department  617-635-4951 Office,Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,PWDx_Work Hours-Loud Noise Complaints,PWDx,,,927 E Fourth St  South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,609.0,R3,927 E Fourth St,2127.0,Address,60115.0,42.3348,-71.026,Constituent Call,"(42.3348, -71.026)"
474133,101001247556,01/14/2015 09:21:26 PM,01/21/2015 08:30:00 AM,01/20/2015 08:15:28 AM,ONTIME,Closed,Case Closed Case Resolved As of Friday January 16th  the Boston Public Works Construction Inspection Unit (CIU) Inspector went to the location in question and found no sign of  street excavation work construction which would require someone to be working in the middle of the night.    This may have been a once time occurrence relating to non street excavation work.    If you would like  you can call the number listed below to further discuss the case.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,PWDx_Work Hours-Loud Noise Complaints,PWDx,,,INTERSECTION of Hemenway St & Westland Entrance  Boston  MA,4.0,10A,8.0,D4,Fenway / Kenmore / Audubon Circle / Longwood,14.0,Ward 4,407.0,,INTERSECTION Hemenway St & Westland Entrance,,Intersection,5856.0,42.344,-71.0899,Constituent Call,"(42.344, -71.0899)"
475303,101001249272,01/19/2015 07:42:43 AM,01/23/2015 08:30:00 AM,10/13/2015 12:49:11 PM,OVERDUE,Closed,Case Closed. Closed date : 2015-10-13 12:49:11.427 Case Resolved We apologize for the inconvenience you experienced during our roadway restoration work. The work at the time was necessary  however all construction is now completed. If you have any futher questions or concerns you may direct them to the Construction Management Division of Public Works at 617-635-4950 or contact the BOS:311 Hotline and request that a note be appended to your case.  Sincerely   Kevin Linskey Senior Civil Engineer Boston Public Works Department 617-635-4951 Office,Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,PWDx_Roadway Repair_Reconstruction,PWDx,,,294-296 Seaver St  Dorchester  MA  02121,9.0,10B,7.0,B2,Roxbury,13.0,Ward 12,1207.0,EA,294-296 Seaver St,2121.0,Address,124169.0,42.3058,-71.0854,Constituent Call,"(42.3058, -71.0854)"
476410,101001250706,01/21/2015 04:08:29 AM,01/26/2015 08:30:00 AM,01/22/2015 07:53:50 AM,ONTIME,Closed,Case Closed Case Resolved National Grid responding to a gas leak on your street activated an emergency permit.    Emergency work must be performed no matter what time of day or night in the interest of public safety and the protection of private property.    This  has proved to be a very difficult repair  resulting in National Grid working around the clock the last several days.    The CIU called National Grid who stated  hopefully the work will be completed sometime today.    The CIU will monitor the location.    The city apologizes for the inconvenience this necessary work caused.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office  617-438-8517 Cell,Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,PWDx_Work Hours-Loud Noise Complaints,PWDx,,,59 Wyman St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 10,1009.0,R3,59 Wyman St,2130.0,Address,339698.0,42.3206,-71.1057,Constituent Call,"(42.3206, -71.1057)"
476909,101001251499,01/21/2015 10:28:18 PM,01/27/2015 08:30:00 AM,01/22/2015 07:51:34 AM,ONTIME,Closed,Case Closed Case Resolved National Grid responding to a gas leak on your street activated an emergency permit.    Emergency work must be performed no matter what time of day or night in the interest of public safety and the protection of private property.    This proved to be a very difficult repair  resulting in National Grid working into the night.     The CIU called National Grid this morning and the work is still ongoing. Hopefully the work will be completed sometime today.    The city apologizes for the inconvenience this necessary work caused.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office  617-438-8517 Cell,Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,PWDx_Work Hours-Loud Noise Complaints,PWDx,,,37 Saint Gregory St  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 17,1713.0,R1,37 Saint Gregory St,2124.0,Address,121128.0,42.2759,-71.0686,Constituent Call,"(42.2759, -71.0686)"
477017,101001251680,01/22/2015 09:30:47 AM,01/27/2015 09:30:47 AM,02/05/2015 09:31:35 AM,OVERDUE,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) states the only contractor working in that area is RJV for BWSC.    We called RJV and reminded him that he must work within the hours permitted by the City    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,PWDx_Work Hours-Loud Noise Complaints,PWDx,,,INTERSECTION of E Fourth St & K St  South Boston  MA,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,Ward 6,606.0,,INTERSECTION E Fourth St & K St,,Intersection,5047.0,42.3347,-71.0374,Constituent Call,"(42.3347, -71.0374)"
477355,101001252198,01/22/2015 07:57:31 PM,01/28/2015 08:30:00 AM,01/23/2015 09:02:39 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) Inspector called the constituent and explained the following:    BWSC responding to a water main break on your street activated an emergency permit.    Emergency work must be performed no matter what time of day or night in the interest of public safety and the protection of private property.    This proved to be a very difficult repair  resulting in BWSC working into the night.     The city apologizes for the inconvenience this necessary work caused.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office  617-438-8517 Cell,Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,PWDx_Work Hours-Loud Noise Complaints,PWDx,,,2 Wilbur St  Dorchester  MA  02125,7.0,03,7.0,C11,Dorchester,13.0,Ward 13,1305.0,R1,2 Wilbur St,2125.0,Address,149657.0,42.3161,-71.0649,Constituent Call,"(42.3161, -71.0649)"
477356,101001252199,01/22/2015 08:03:45 PM,01/28/2015 08:30:00 AM,01/23/2015 09:02:48 AM,ONTIME,Closed,Case Closed Case Resolved The Boston Public Works Construction Inspection Unit (CIU) Inspector called the constituent and explained the following:    BWSC responding to a water main break on your street activated an emergency permit.    Emergency work must be performed no matter what time of day or night in the interest of public safety and the protection of private property.    This proved to be a very difficult repair  resulting in BWSC working into the night.     The city apologizes for the inconvenience this necessary work caused.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office  617-438-8517 Cell,Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,PWDx_Work Hours-Loud Noise Complaints,PWDx,,,INTERSECTION of Columbia Rd & Dudley St  Dorchester  MA,7.0,03,7.0,B2,Dorchester,13.0,Ward 7,710.0,,INTERSECTION Columbia Rd & Dudley St,,Intersection,3233.0,42.3171,-71.0652,Constituent Call,"(42.3171, -71.0652)"
485640,101001263493,01/30/2015 02:30:53 AM,02/04/2015 08:30:00 AM,01/30/2015 08:48:41 AM,ONTIME,Closed,Case Closed Case Resolved Dear Constituent     The Boston Public Works Department is in a 24/7 snow removal operation.      We are trying to remove snow from schools  bus stops  intersections etc...    This will require us to work over night.      We apologize if you were disturbed by the equipment and the workers doing that work.    If you want to discuss this further  you can call me at the number listed below.    Sincerely      Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,PWDx_Work Hours-Loud Noise Complaints,PWDx,,,76 Elmer Rd  Dorchester  MA  02124,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1608.0,R2,76 Elmer Rd,2124.0,Address,53313.0,42.2867,-71.0583,Constituent Call,"(42.2867, -71.0583)"
