,CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
470005,101001241560,01/02/2015 09:44:51 PM,01/12/2015 08:30:00 AM,01/07/2015 08:03:12 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Zoning,Inspectional Services,Building,Zoning,ISD_Building (INTERNAL),ISD,,,277-279 Border St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,01,106.0,I,277-279 Border St,2128.0,Address,17013.0,42.3774,-71.0397,Constituent Call,"(42.3774, -71.0397)"
471061,101001243068,01/06/2015 12:07:39 PM,01/13/2015 12:07:39 PM,01/09/2015 08:37:08 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Zoning,Inspectional Services,Building,Zoning,ISD_Building (INTERNAL),ISD,,,47 Prince St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1909.0,R2,47 Prince St,2130.0,Address,113093.0,42.3108,-71.1209,Constituent Call,"(42.3108, -71.1209)"
471062,101001243070,01/06/2015 12:09:10 PM,01/13/2015 12:09:10 PM,01/09/2015 08:36:43 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Zoning,Inspectional Services,Building,Zoning,ISD_Building (INTERNAL),ISD,,,53 Prince St  Jamaica Plain  MA  02130,9.0,02,6.0,E13,Jamaica Plain,11.0,Ward 19,1909.0,R2,53 Prince St,2130.0,Address,113101.0,42.311,-71.121,Constituent Call,"(42.311, -71.121)"
471635,101001243887,01/07/2015 11:47:25 PM,01/15/2015 08:30:00 AM,01/15/2015 09:49:35 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Zoning,Inspectional Services,Building,Zoning,ISD_Building (INTERNAL),ISD,,,INTERSECTION of Hackensack Rd & Leland Rd  Chestnut Hill  MA,9.0,06,6.0,E5,West Roxbury,12.0,Ward 20,2006.0,,INTERSECTION Hackensack Rd & Leland Rd,,Intersection,5541.0,42.2989,-71.144,Self Service,"(42.2989, -71.144)"
473882,101001247176,01/14/2015 11:24:09 AM,01/22/2015 11:24:09 AM,02/20/2015 09:22:47 AM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Zoning,Inspectional Services,Building,Zoning,ISD_Building (INTERNAL),ISD,,,1091 Bennington St  East Boston  MA  02128,1.0,09,1.0,A7,East Boston,1.0,Ward 1,112.0,C,1091 Bennington St,2128.0,Address,14556.0,42.3876,-71.003,Constituent Call,"(42.3876, -71.003)"
476246,101001250459,01/20/2015 02:02:04 PM,01/27/2015 02:02:04 PM,03/18/2015 10:21:40 AM,OVERDUE,Closed,Case Closed ADCLSD: Administratively Closed,Zoning,Inspectional Services,Building,Zoning,ISD_Building (INTERNAL),ISD,,,26 Ericsson St  Dorchester  MA  02122,8.0,07,3.0,C11,Dorchester,7.0,Ward 16,1610.0,I,26 Ericsson St,2122.0,Address,54169.0,42.2917,-71.0401,Constituent Call,"(42.2917, -71.0401)"
488037,101001267354,02/02/2015 12:21:24 PM,02/09/2015 12:21:24 PM,02/03/2015 11:56:16 AM,ONTIME,Closed,Case Closed ROA: Refer to Other Agency/Division,Zoning,Inspectional Services,Building,Zoning,ISD_Building (INTERNAL),ISD,,,538 Blue Hill Ave  Dorchester  MA  02121,7.0,03,4.0,B2,Roxbury,13.0,Ward 14,1403.0,C,538 Blue Hill Ave,2121.0,Address,16501.0,42.3054,-71.0842,Self Service,"(42.3054, -71.0842)"
497565,101001281114,02/06/2015 08:39:43 PM,02/17/2015 08:30:00 AM,04/10/2015 08:31:39 AM,OVERDUE,Closed,Case Closed VIOISS: Violation Filed,Zoning,Inspectional Services,Building,Zoning,ISD_Building (INTERNAL),ISD,,,396 Huntington Ave  Hyde Park  MA  02136,12.0,08,5.0,E18,Hyde Park,10.0,Ward 18,1808.0,R1,396 Huntington Ave,2136.0,Address,76569.0,42.2648,-71.1154,Self Service,"(42.2648, -71.1154)"
499364,101001283657,02/09/2015 03:21:43 PM,02/17/2015 03:21:43 PM,02/27/2015 03:40:12 PM,OVERDUE,Closed,Case Closed NOVIO: No Violation Found/No Cause,Zoning,Inspectional Services,Building,Zoning,ISD_Building (INTERNAL),ISD,,,11 W Broadway   South Boston  MA  02127,6.0,05,2.0,C6,South Boston / South Boston Waterfront,5.0,06,601.0,RC,11 W Broadway,2127.0,Address,21378.0,42.3425,-71.0569,Self Service,"(42.3425, -71.0569)"
503045,101001288682,02/11/2015 02:08:32 PM,02/19/2015 02:08:32 PM,03/03/2015 09:19:12 AM,OVERDUE,Closed,Case Closed NOACC: Closed-No Access,Zoning,Inspectional Services,Building,Zoning,ISD_Building (INTERNAL),ISD,,,24-26 Washington St  Dorchester  MA  02121,7.0,03,4.0,B2,Roxbury,13.0,14,1403.0,E,24-26 Washington St,2121.0,Address,171015.0,42.3077,-71.0823,Self Service,"(42.3077, -71.0823)"
