CASE_ENQUIRY_ID,OPEN_DT,TARGET_DT,CLOSED_DT,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location
101000295613,07/01/2011 01:32:33 AM,07/15/2011 01:32:32 AM,07/01/2011 05:06:58 AM,ONTIME,Closed,Case Closed Case Resolved replaced 100 amp fuse and reset breaker,Street Light Outages,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light Outages,PWDx,,,INTERSECTION of Groveland St & River St  Mattapan  MA,8,07,3,B3,Greater Mattapan,7,Ward 17,1714,,INTERSECTION Groveland St & River St,,Intersection,5512,42.2715,-71.0772,Employee Generated,"(42.2715, -71.0772)"
101000295614,07/01/2011 02:18:31 AM,07/05/2011 02:18:31 AM,07/01/2011 06:12:43 AM,ONTIME,Closed,Case Closed Case Scheduled Items have been scheduled for pickup.,Schedule a Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup,PWDx_Schedule a Bulk Item Pickup,PWDx,,,39 Lorraine St  Roslindale  MA  02131,12,06,5,E5,Roslindale,10,Ward 20,2008,R1,39 Lorraine St,02131,Address,87461,42.2839,-71.1447,Self Service,"(42.2839, -71.1447)"
101000295615,07/01/2011 02:28:04 AM,08/15/2011 02:28:04 AM,08/01/2011 03:21:46 PM,ONTIME,Closed,Case Closed Case Resolved No Sidewalk and poor site visability would not implement any crosswalks for these reasons.,New Sign  Crosswalk or Pavement Marking,Transportation - Traffic Division,Signs & Signals,New Sign  Crosswalk or Pavement Marking,BTDT_Engineering_New Sign and Pavement Marking Requests,BTDT,,,INTERSECTION of Corey St & Lagrange St  West Roxbury  MA,,06,6,E5,West Roxbury,12,Ward 20,2017,,INTERSECTION Corey St & Lagrange St,,Intersection,3522,42.3003,-71.1698,Self Service,"(42.3003, -71.1698)"
101000295616,07/01/2011 03:03:48 AM,07/15/2011 03:03:48 AM,07/22/2011 04:13:45 PM,OVERDUE,Closed,Case Closed Case Resolved completed,Street Light Outages,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light_Pending_Contractor (Internal),PWDx,,,235 Fairmount Ave  Hyde Park  MA  02136,12,08,5,E18,Hyde Park,10,Ward 18,1816,R2,235 Fairmount Ave,02136,Address,55708,42.2496,-71.1156,Self Service,"(42.2496, -71.1156)"
101000295617,07/01/2011 03:12:31 AM,,07/01/2011 06:12:38 AM,ONTIME,Closed,Case Closed Case Resolved,Highway Maintenance,Public Works Department,Highway Maintenance,Highway Maintenance,PWDx_District 03: North Dorchester,PWDx,,,INTERSECTION of Dorchester Ave & Hallam St  Dorchester  MA,7,03,3,C11,Dorchester,7,Ward 13,1309,,INTERSECTION Dorchester Ave & Hallam St,,Intersection,4182,42.3144,-71.0569,Constituent Call,"(42.3144, -71.0569)"
101000295618,07/01/2011 03:43:07 AM,,07/05/2011 09:16:10 AM,ONTIME,Closed,Case Closed Case Noted,Notification,Mayor's 24 Hour Hotline,Notification,Notification,INFO09_Current Events,INFO,,,7 Edge Hill St  Jamaica Plain  MA  02130,9,10A,6,E13,Jamaica Plain,11,Ward 10,1006,R2,7 Edge Hill St,02130,Address,51077,42.3243,-71.106,Constituent Call,"(42.3243, -71.106)"
101000295619,07/01/2011 05:35:41 AM,08/15/2011 05:35:41 AM,10/17/2011 12:33:28 PM,OVERDUE,Closed,Case Closed Case Noted Duplicate request,New Sign  Crosswalk or Pavement Marking,Transportation - Traffic Division,Signs & Signals,New Sign  Crosswalk or Pavement Marking,BTDT_Pavement Marking_Maintenance,BTDT,,,INTERSECTION of Arundel St & Beacon St  Boston  MA,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 21,2102,,INTERSECTION Arundel St & Beacon St,,Intersection,617,42.3471,-71.1033,Self Service,"(42.3471, -71.1033)"
101000295620,07/01/2011 06:24:38 AM,07/15/2011 06:24:38 AM,08/23/2011 10:33:03 AM,OVERDUE,Closed,Case Closed Case Resolved Job Completed.,Street Light Outages,Public Works Department,Street Lights,Street Light Outages,PWDx_Street Light_Pending_Contractor (Internal),PWDx,,,INTERSECTION of Bragdon St & Washington St  Roxbury  MA,9,10B,7,E13,Roxbury,13,Ward 11,1103,,INTERSECTION Bragdon St & Washington St,,Intersection,1853,42.3173,-71.0968,Constituent Call,"(42.3173, -71.0968)"
101000295622,07/01/2011 06:44:50 AM,07/04/2011 06:44:49 AM,07/01/2011 06:44:55 AM,ONTIME,Closed,Case Closed Internal Case,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 07: South Dorchester,PWDx,,,305 Freeport St  Dorchester  MA  02122,7,07,3,C11,Dorchester,7,Ward 16,1602,C,305 Freeport St,02122,Address,60876,42.302,-71.0519,Employee Generated,"(42.302, -71.0519)"
101000295624,07/01/2011 06:50:25 AM,,07/01/2011 06:50:29 AM,ONTIME,Closed,Case Closed Internal Case,Highway Maintenance,Public Works Department,Highway Maintenance,Highway Maintenance,PWDx_District 03: North Dorchester,PWDx,,,1053 Dorchester Ave  Dorchester  MA  02125,7,03,3,C11,Dorchester,7,Ward 13,1309,CL,1053 Dorchester Ave,02125,Address,48180,42.3145,-71.0571,Employee Generated,"(42.3145, -71.0571)"
101000295625,07/01/2011 06:55:10 AM,07/05/2011 06:55:10 AM,07/05/2011 09:42:04 AM,OVERDUE,Closed,Case Closed Case Resolved  Delivered on 7/5.  Thank you,Sticker Request,Public Works Department,Recycling,Sticker Request,PWDx_Sticker Request,PWDx,,,392 K St  South Boston  MA  02127,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 7,0701,R2,392 K St,02127,Address,260409,42.3305,-71.0371,Self Service,"(42.3305, -71.0371)"
101000295627,07/01/2011 07:14:36 AM,07/05/2011 07:14:36 AM,07/11/2011 12:13:25 PM,OVERDUE,Closed,Case Closed Case Resolved The Construction Inspection Unit (CIU) acknowledges that NStar has called in  as required  for inspection. The CIU will assign an inspector to the location.,Utility Call-In,Public Works Department,Highway Maintenance,Utility Call-In,PWDx_Utility Call-In,PWDx,,,124 Chittick Rd  Hyde Park  MA  02136,12,08,5,E18,Hyde Park,10,Ward 18,1817,R1,124 Chittick Rd,02136,Address,32565,42.2449,-71.1204,Constituent Call,"(42.2449, -71.1204)"
101000295628,07/01/2011 07:16:44 AM,07/31/2011 07:16:44 AM,07/08/2011 10:44:08 AM,ONTIME,Closed,Case Closed VIOISS: Violation Filed,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,26 Fayette St  Boston  MA  02116,4,1C,2,A1,Back Bay,6,Ward 5,0501,R4,26 Fayette St,02116,Address,56994,42.3487,-71.0675,Constituent Call,"(42.3487, -71.0675)"
101000295629,07/01/2011 07:28:09 AM,07/05/2011 07:28:08 AM,07/08/2011 10:26:28 AM,OVERDUE,Closed,Case Closed Case Resolved Location has been made safe.  Permanent repair has been scheduled.  Refer to case #101000298832 for status of the permanent repair.,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),PWDx_Highway Construction,PWDx,,,INTERSECTION of Carroll St & Lasell St  West Roxbury  MA,12,06,6,E5,West Roxbury,12,Ward 20,2017,,INTERSECTION Carroll St & Lasell St,,Intersection,2469,42.2876,-71.1686,Constituent Call,"(42.2876, -71.1686)"
101000295630,07/01/2011 07:31:50 AM,07/05/2011 07:31:46 AM,07/01/2011 12:00:42 PM,ONTIME,Closed,Case Closed Case Resolved  this has been collected.,Missed Recycling: District 06,Public Works Department,Sanitation,Missed Trash/Recycling/Yard Waste/Bulk Item,PWDx_Missed Trash\Recycling\Yard Waste\Bulk Item,PWDx,,,15 Lilac Ter  Roslindale  MA  02131,12,06,5,E5,Roslindale,10,Ward 18,1810,R1,15 Lilac Ter,02131,Address,85923,42.2818,-71.1306,Employee Generated,"(42.2818, -71.1306)"
101000295631,07/01/2011 07:33:45 AM,07/05/2011 07:33:44 AM,07/01/2011 07:42:58 AM,ONTIME,Closed,Case Closed Case Invalid,Schedule a Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup,PWDx_Schedule a Bulk Item Pickup,PWDx,,,27 Lambert Ave  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,Ward 9,0905,R3,27 Lambert Ave,02119,Address,262562,42.3279,-71.09,Employee Generated,"(42.3279, -71.09)"
101000295632,07/01/2011 07:34:19 AM,07/29/2011 07:34:16 AM,07/22/2011 03:43:34 PM,ONTIME,Closed,Case Closed Case Resolved Cart delivered by City.  7/21/11.  Serial number: 47486,Request for Recycling Cart,Public Works Department,Recycling,Request for Recycling Cart,PWDx_Recycling,PWDx,,,27 Lambert Ave  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,Ward 9,0905,R3,27 Lambert Ave,02119,Address,262562,42.3279,-71.09,Employee Generated,"(42.3279, -71.09)"
101000295633,07/01/2011 07:36:03 AM,07/05/2011 07:36:02 AM,07/01/2011 07:36:43 AM,ONTIME,Closed,Case Closed Case Scheduled Items have been scheduled for pickup.,Schedule a Bulk Item Pickup,Public Works Department,Sanitation,Schedule a Bulk Item Pickup,PWDx_Schedule a Bulk Item Pickup,PWDx,,,103 Greaton Rd  West Roxbury  MA  02132,9,06,6,E5,West Roxbury,12,Ward 20,2019,E,103 Greaton Rd,02132,Address,66156,42.2917,-71.152,Employee Generated,"(42.2917, -71.152)"
